,Date,Start (ET),Visitor,PTS,Home,PTS.1,Overtimes,Attend.,Arena,Winner,Home_team_win,Home_team_win_margin,Winner_Margin
13,Thu Oct 21 2021,19:30,Dallas Mavericks,87,Atlanta Hawks,113,0,17162.0,State Farm Arena,Atlanta Hawks,True,26,26
26,Sat Oct 23 2021,18:00,Atlanta Hawks,95,Cleveland Cavaliers,101,0,16846.0,Rocket Mortgage Fieldhouse,Cleveland Cavaliers,True,6,6
45,Mon Oct 25 2021,19:30,Detroit Pistons,104,Atlanta Hawks,122,0,14209.0,State Farm Arena,Atlanta Hawks,True,18,18
58,Wed Oct 27 2021,19:30,Atlanta Hawks,102,New Orleans Pelicans,99,0,15541.0,Smoothie King Center,Atlanta Hawks,False,-3,3
64,Thu Oct 28 2021,19:00,Atlanta Hawks,111,Washington Wizards,122,0,13653.0,Capital One Arena,Washington Wizards,True,11,11
81,Sat Oct 30 2021,19:30,Atlanta Hawks,94,Philadelphia 76ers,122,0,20031.0,Wells Fargo Center,Philadelphia 76ers,True,28,28
96,Mon Nov 1 2021,19:30,Washington Wizards,111,Atlanta Hawks,118,0,14632.0,State Farm Arena,Atlanta Hawks,True,7,7
112,Wed Nov 3 2021,19:30,Atlanta Hawks,108,Brooklyn Nets,117,0,17323.0,Barclays Center,Brooklyn Nets,True,9,9
119,Thu Nov 4 2021,19:30,Utah Jazz,116,Atlanta Hawks,98,0,16590.0,State Farm Arena,Utah Jazz,False,-18,18
136,Sat Nov 6 2021,22:00,Atlanta Hawks,117,Phoenix Suns,121,0,15412.0,Phoenix Suns Arena,Phoenix Suns,True,4,4
151,Mon Nov 8 2021,22:00,Atlanta Hawks,113,Golden State Warriors,127,0,18064.0,Chase Center,Golden State Warriors,True,14,14
155,Tue Nov 9 2021,21:00,Atlanta Hawks,98,Utah Jazz,110,0,18306.0,Vivint Smart Home Arena,Utah Jazz,True,12,12
181,Fri Nov 12 2021,21:00,Atlanta Hawks,96,Denver Nuggets,105,0,16849.0,Ball Arena,Denver Nuggets,True,9,9
192,Sun Nov 14 2021,18:00,Milwaukee Bucks,100,Atlanta Hawks,120,0,16901.0,State Farm Arena,Atlanta Hawks,True,20,20
201,Mon Nov 15 2021,19:30,Orlando Magic,111,Atlanta Hawks,129,0,13061.0,State Farm Arena,Atlanta Hawks,True,18,18
214,Wed Nov 17 2021,19:30,Boston Celtics,99,Atlanta Hawks,110,0,16445.0,State Farm Arena,Atlanta Hawks,True,11,11
