,Date,Start (ET),Visitor,PTS,Home,PTS.1,Overtimes,Attend.,Arena,Winner,Home_team_win,Home_team_win_margin,Winner_Margin
4,Wed Oct 20 2021,19:30,Boston Celtics,134,New York Knicks,138,2,19812.0,Madison Square Garden (IV),New York Knicks,True,4,4
19,Fri Oct 22 2021,19:30,Toronto Raptors,115,Boston Celtics,83,0,19156.0,TD Garden,Toronto Raptors,False,-32,32
35,Sun Oct 24 2021,19:00,Boston Celtics,107,Houston Rockets,97,0,16069.0,Toyota Center,Boston Celtics,False,-10,10
40,Mon Oct 25 2021,19:00,Boston Celtics,140,Charlotte Hornets,129,1,17238.0,Spectrum Center,Boston Celtics,False,-11,11
55,Wed Oct 27 2021,19:30,Washington Wizards,116,Boston Celtics,107,0,19156.0,TD Garden,Washington Wizards,False,-9,9
77,Sat Oct 30 2021,17:00,Boston Celtics,112,Washington Wizards,115,2,15813.0,Capital One Arena,Washington Wizards,True,3,3
97,Mon Nov 1 2021,19:30,Chicago Bulls,128,Boston Celtics,114,0,19156.0,TD Garden,Chicago Bulls,False,-14,14
109,Wed Nov 3 2021,19:00,Boston Celtics,92,Orlando Magic,79,0,12735.0,Amway Center,Boston Celtics,False,-13,13
120,Thu Nov 4 2021,19:30,Boston Celtics,95,Miami Heat,78,0,19600.0,FTX Arena,Boston Celtics,False,-17,17
135,Sat Nov 6 2021,20:30,Boston Celtics,104,Dallas Mavericks,107,0,20052.0,American Airlines Center,Dallas Mavericks,True,3,3
159,Wed Nov 10 2021,19:30,Toronto Raptors,88,Boston Celtics,104,0,19156.0,TD Garden,Boston Celtics,True,16,16
174,Fri Nov 12 2021,19:30,Milwaukee Bucks,113,Boston Celtics,122,1,19156.0,TD Garden,Boston Celtics,True,9,9
189,Sat Nov 13 2021,20:00,Boston Celtics,89,Cleveland Cavaliers,91,0,19432.0,Rocket Mortgage Fieldhouse,Cleveland Cavaliers,True,2,2
198,Mon Nov 15 2021,19:00,Boston Celtics,98,Cleveland Cavaliers,92,0,17186.0,Rocket Mortgage Fieldhouse,Boston Celtics,False,-6,6
214,Wed Nov 17 2021,19:30,Boston Celtics,99,Atlanta Hawks,110,0,16445.0,State Farm Arena,Atlanta Hawks,True,11,11
231,Fri Nov 19 2021,19:30,Los Angeles Lakers,108,Boston Celtics,130,0,19156.0,TD Garden,Boston Celtics,True,22,22
242,Sat Nov 20 2021,19:30,Oklahoma City Thunder,105,Boston Celtics,111,0,19156.0,TD Garden,Boston Celtics,True,6,6
255,Mon Nov 22 2021,19:30,Houston Rockets,90,Boston Celtics,108,0,19156.0,TD Garden,Boston Celtics,True,18,18
269,Wed Nov 24 2021,19:30,Brooklyn Nets,123,Boston Celtics,104,0,19156.0,TD Garden,Brooklyn Nets,False,-19,19
286,Fri Nov 26 2021,20:30,Boston Celtics,88,San Antonio Spurs,96,0,15360.0,AT&T Center,San Antonio Spurs,True,8,8
302,Sun Nov 28 2021,18:00,Boston Celtics,109,Toronto Raptors,97,0,19800.0,Scotiabank Arena,Boston Celtics,False,-12,12
