,Date,Start (ET),Visitor,PTS,Home,PTS.1,Overtimes,Attend.,Arena,Winner,Home_team_win,Home_team_win_margin,Winner_Margin
2,Wed Oct 20 2021,19:00,Indiana Pacers,122,Charlotte Hornets,123,0,15521.0,Spectrum Center,Charlotte Hornets,True,1,1
18,Fri Oct 22 2021,19:00,Charlotte Hornets,123,Cleveland Cavaliers,112,0,17116.0,Rocket Mortgage Fieldhouse,Charlotte Hornets,False,-11,11
34,Sun Oct 24 2021,16:00,Charlotte Hornets,111,Brooklyn Nets,95,0,17732.0,Barclays Center,Charlotte Hornets,False,-16,16
40,Mon Oct 25 2021,19:00,Boston Celtics,140,Charlotte Hornets,129,1,17238.0,Spectrum Center,Boston Celtics,False,-11,11
54,Wed Oct 27 2021,19:00,Charlotte Hornets,120,Orlando Magic,111,0,14082.0,Amway Center,Charlotte Hornets,False,-9,9
71,Fri Oct 29 2021,19:30,Charlotte Hornets,99,Miami Heat,114,0,19600.0,FTX Arena,Miami Heat,True,15,15
89,Sun Oct 31 2021,19:00,Portland Trail Blazers,113,Charlotte Hornets,125,0,14960.0,Spectrum Center,Charlotte Hornets,True,12,12
93,Mon Nov 1 2021,19:00,Cleveland Cavaliers,113,Charlotte Hornets,110,0,13889.0,Spectrum Center,Cleveland Cavaliers,False,-3,3
116,Wed Nov 3 2021,22:00,Charlotte Hornets,92,Golden State Warriors,114,0,18064.0,Chase Center,Golden State Warriors,True,22,22
131,Fri Nov 5 2021,22:00,Charlotte Hornets,110,Sacramento Kings,140,0,14905.0,Golden 1 Center,Sacramento Kings,True,30,30
145,Sun Nov 7 2021,21:00,Charlotte Hornets,106,Los Angeles Clippers,120,0,15781.0,Crypto.com Arena,Los Angeles Clippers,True,14,14
153,Mon Nov 8 2021,22:30,Charlotte Hornets,123,Los Angeles Lakers,126,1,18997.0,Crypto.com Arena,Los Angeles Lakers,True,3,3
163,Wed Nov 10 2021,20:00,Charlotte Hornets,118,Memphis Grizzlies,108,0,13880.0,FedEx Forum,Charlotte Hornets,False,-10,10
173,Fri Nov 12 2021,19:00,New York Knicks,96,Charlotte Hornets,104,0,19257.0,Spectrum Center,Charlotte Hornets,True,8,8
193,Sun Nov 14 2021,19:00,Golden State Warriors,102,Charlotte Hornets,106,0,19559.0,Spectrum Center,Charlotte Hornets,True,4,4
212,Wed Nov 17 2021,19:00,Washington Wizards,87,Charlotte Hornets,97,0,14402.0,Spectrum Center,Charlotte Hornets,True,10,10
229,Fri Nov 19 2021,19:00,Indiana Pacers,118,Charlotte Hornets,121,0,16787.0,Spectrum Center,Charlotte Hornets,True,3,3
241,Sat Nov 20 2021,19:30,Charlotte Hornets,105,Atlanta Hawks,115,0,17320.0,State Farm Arena,Atlanta Hawks,True,10,10
253,Mon Nov 22 2021,19:00,Charlotte Hornets,109,Washington Wizards,103,0,16575.0,Capital One Arena,Charlotte Hornets,False,-6,6
268,Wed Nov 24 2021,19:00,Charlotte Hornets,106,Orlando Magic,99,0,16114.0,Amway Center,Charlotte Hornets,False,-7,7
280,Fri Nov 26 2021,19:00,Minnesota Timberwolves,115,Charlotte Hornets,133,0,19314.0,Spectrum Center,Charlotte Hornets,True,18,18
296,Sat Nov 27 2021,20:00,Charlotte Hornets,143,Houston Rockets,146,1,14687.0,Toyota Center,Houston Rockets,True,3,3
306,Mon Nov 29 2021,20:00,Charlotte Hornets,119,Chicago Bulls,133,0,21366.0,United Center,Chicago Bulls,True,14,14
323,Wed Dec 1 2021,20:00,Charlotte Hornets,125,Milwaukee Bucks,127,0,17341.0,Fiserv Forum,Milwaukee Bucks,True,2,2
349,Sun Dec 5 2021,18:00,Charlotte Hornets,130,Atlanta Hawks,127,0,16383.0,State Farm Arena,Charlotte Hornets,False,-3,3
352,Mon Dec 6 2021,19:00,Philadelphia 76ers,127,Charlotte Hornets,124,1,14462.0,Spectrum Center,Philadelphia 76ers,False,-3,3
365,Wed Dec 8 2021,19:00,Philadelphia 76ers,110,Charlotte Hornets,106,0,15709.0,Spectrum Center,Philadelphia 76ers,False,-4,4
