,Date,Start (ET),Visitor,PTS,Home,PTS.1,Overtimes,Attend.,Arena,Winner,Home_team_win,Home_team_win_margin,Winner_Margin
13,Thu Oct 21 2021,19:30,Dallas Mavericks,87,Atlanta Hawks,113,0,17162.0,State Farm Arena,Atlanta Hawks,True,26,26
28,Sat Oct 23 2021,19:30,Dallas Mavericks,103,Toronto Raptors,95,0,19800.0,Scotiabank Arena,Dallas Mavericks,False,-8,8
52,Tue Oct 26 2021,20:30,Houston Rockets,106,Dallas Mavericks,116,0,19337.0,American Airlines Center,Dallas Mavericks,True,10,10
68,Thu Oct 28 2021,20:30,San Antonio Spurs,99,Dallas Mavericks,104,0,19228.0,American Airlines Center,Dallas Mavericks,True,5,5
74,Fri Oct 29 2021,22:00,Dallas Mavericks,75,Denver Nuggets,106,0,18315.0,Ball Arena,Denver Nuggets,True,31,31
88,Sun Oct 31 2021,15:30,Sacramento Kings,99,Dallas Mavericks,105,0,19231.0,American Airlines Center,Dallas Mavericks,True,6,6
103,Tue Nov 2 2021,19:30,Miami Heat,125,Dallas Mavericks,110,0,19255.0,American Airlines Center,Miami Heat,False,-15,15
115,Wed Nov 3 2021,20:30,Dallas Mavericks,109,San Antonio Spurs,108,0,16356.0,AT&T Center,Dallas Mavericks,False,-1,1
135,Sat Nov 6 2021,20:30,Boston Celtics,104,Dallas Mavericks,107,0,20052.0,American Airlines Center,Dallas Mavericks,True,3,3
149,Mon Nov 8 2021,20:30,New Orleans Pelicans,92,Dallas Mavericks,108,0,19231.0,American Airlines Center,Dallas Mavericks,True,16,16
162,Wed Nov 10 2021,20:00,Dallas Mavericks,107,Chicago Bulls,117,0,20910.0,United Center,Chicago Bulls,True,10,10
180,Fri Nov 12 2021,20:30,Dallas Mavericks,123,San Antonio Spurs,109,0,13425.0,AT&T Center,Dallas Mavericks,False,-14,14
203,Mon Nov 15 2021,20:00,Denver Nuggets,101,Dallas Mavericks,111,0,19797.0,American Airlines Center,Dallas Mavericks,True,10,10
221,Wed Nov 17 2021,22:00,Dallas Mavericks,98,Phoenix Suns,105,0,14838.0,Phoenix Suns Arena,Phoenix Suns,True,7,7
236,Fri Nov 19 2021,22:00,Dallas Mavericks,104,Phoenix Suns,112,0,17071.0,Phoenix Suns Arena,Phoenix Suns,True,8,8
247,Sun Nov 21 2021,15:30,Dallas Mavericks,91,Los Angeles Clippers,97,0,17149.0,Crypto.com Arena,Los Angeles Clippers,True,6,6
265,Tue Nov 23 2021,22:30,Dallas Mavericks,112,Los Angeles Clippers,104,1,17067.0,Crypto.com Arena,Dallas Mavericks,False,-8,8
297,Sat Nov 27 2021,20:30,Washington Wizards,120,Dallas Mavericks,114,0,20223.0,American Airlines Center,Washington Wizards,False,-6,6
309,Mon Nov 29 2021,20:30,Cleveland Cavaliers,114,Dallas Mavericks,96,0,19229.0,American Airlines Center,Cleveland Cavaliers,False,-18,18
324,Wed Dec 1 2021,20:00,Dallas Mavericks,139,New Orleans Pelicans,107,0,15558.0,Smoothie King Center,Dallas Mavericks,False,-32,32
337,Fri Dec 3 2021,20:30,New Orleans Pelicans,107,Dallas Mavericks,91,0,19218.0,American Airlines Center,New Orleans Pelicans,False,-16,16
344,Sat Dec 4 2021,20:30,Memphis Grizzlies,97,Dallas Mavericks,90,0,19396.0,American Airlines Center,Memphis Grizzlies,False,-7,7
