,Date,Start (ET),Visitor,PTS,Home,PTS.1,Overtimes,Attend.,Arena,Winner,Home_team_win,Home_team_win_margin,Winner_Margin
1,Tue Oct 19 2021,22:00,Golden State Warriors,121,Los Angeles Lakers,114,0,18997.0,Crypto.com Arena,Golden State Warriors,False,-7,7
15,Thu Oct 21 2021,22:00,Los Angeles Clippers,113,Golden State Warriors,115,0,18064.0,Chase Center,Golden State Warriors,True,2,2
38,Sun Oct 24 2021,21:00,Golden State Warriors,119,Sacramento Kings,107,0,13876.0,Golden 1 Center,Golden State Warriors,False,-12,12
50,Tue Oct 26 2021,20:00,Golden State Warriors,106,Oklahoma City Thunder,98,0,0.0,Paycom Center,Golden State Warriors,False,-8,8
69,Thu Oct 28 2021,22:00,Memphis Grizzlies,104,Golden State Warriors,101,1,18064.0,Chase Center,Memphis Grizzlies,False,-3,3
85,Sat Oct 30 2021,20:30,Oklahoma City Thunder,82,Golden State Warriors,103,0,18064.0,Chase Center,Golden State Warriors,True,21,21
116,Wed Nov 3 2021,22:00,Charlotte Hornets,92,Golden State Warriors,114,0,18064.0,Chase Center,Golden State Warriors,True,22,22
129,Fri Nov 5 2021,22:00,New Orleans Pelicans,85,Golden State Warriors,126,0,18064.0,Chase Center,Golden State Warriors,True,41,41
144,Sun Nov 7 2021,20:30,Houston Rockets,107,Golden State Warriors,120,0,18064.0,Chase Center,Golden State Warriors,True,13,13
151,Mon Nov 8 2021,22:00,Atlanta Hawks,113,Golden State Warriors,127,0,18064.0,Chase Center,Golden State Warriors,True,14,14
168,Wed Nov 10 2021,22:00,Minnesota Timberwolves,110,Golden State Warriors,123,0,18064.0,Chase Center,Golden State Warriors,True,13,13
182,Fri Nov 12 2021,22:00,Chicago Bulls,93,Golden State Warriors,119,0,18064.0,Chase Center,Golden State Warriors,True,26,26
193,Sun Nov 14 2021,19:00,Golden State Warriors,102,Charlotte Hornets,106,0,19559.0,Spectrum Center,Charlotte Hornets,True,4,4
209,Tue Nov 16 2021,19:30,Golden State Warriors,117,Brooklyn Nets,99,0,17732.0,Barclays Center,Golden State Warriors,False,-18,18
223,Thu Nov 18 2021,19:30,Golden State Warriors,104,Cleveland Cavaliers,89,0,19432.0,Rocket Mortgage Fieldhouse,Golden State Warriors,False,-15,15
230,Fri Nov 19 2021,19:00,Golden State Warriors,105,Detroit Pistons,102,0,20088.0,Little Caesars Arena,Golden State Warriors,False,-3,3
251,Sun Nov 21 2021,20:30,Toronto Raptors,104,Golden State Warriors,119,0,18064.0,Chase Center,Golden State Warriors,True,15,15
277,Wed Nov 24 2021,22:00,Philadelphia 76ers,96,Golden State Warriors,116,0,18064.0,Chase Center,Golden State Warriors,True,20,20
289,Fri Nov 26 2021,22:00,Portland Trail Blazers,103,Golden State Warriors,118,0,18064.0,Chase Center,Golden State Warriors,True,15,15
299,Sun Nov 28 2021,15:30,Golden State Warriors,105,Los Angeles Clippers,90,0,19068.0,Crypto.com Arena,Golden State Warriors,False,-15,15
315,Tue Nov 30 2021,22:00,Golden State Warriors,96,Phoenix Suns,104,0,17071.0,Phoenix Suns Arena,Phoenix Suns,True,8,8
339,Fri Dec 3 2021,22:00,Phoenix Suns,96,Golden State Warriors,118,0,18064.0,Chase Center,Golden State Warriors,True,22,22
345,Sat Dec 4 2021,20:30,San Antonio Spurs,112,Golden State Warriors,107,0,18064.0,Chase Center,San Antonio Spurs,False,-5,5
360,Mon Dec 6 2021,22:00,Orlando Magic,95,Golden State Warriors,126,0,18064.0,Chase Center,Golden State Warriors,True,31,31
375,Wed Dec 8 2021,22:00,Portland Trail Blazers,94,Golden State Warriors,104,0,18064.0,Chase Center,Golden State Warriors,True,10,10
395,Sat Dec 11 2021,20:30,Golden State Warriors,93,Philadelphia 76ers,102,0,21016.0,Wells Fargo Center,Philadelphia 76ers,True,9,9
404,Mon Dec 13 2021,19:00,Golden State Warriors,102,Indiana Pacers,100,0,17018.0,Gainbridge Fieldhouse,Golden State Warriors,False,-2,2
413,Tue Dec 14 2021,19:30,Golden State Warriors,105,New York Knicks,96,0,19812.0,Madison Square Garden (IV),Golden State Warriors,False,-9,9
432,Fri Dec 17 2021,19:30,Golden State Warriors,111,Boston Celtics,107,0,19156.0,TD Garden,Golden State Warriors,False,-4,4
441,Sat Dec 18 2021,19:30,Golden State Warriors,100,Toronto Raptors,119,0,7988.0,Scotiabank Arena,Toronto Raptors,True,19,19
455,Mon Dec 20 2021,22:00,Sacramento Kings,98,Golden State Warriors,113,0,18064.0,Chase Center,Golden State Warriors,True,15,15
476,Thu Dec 23 2021,22:00,Memphis Grizzlies,104,Golden State Warriors,113,0,18064.0,Chase Center,Golden State Warriors,True,9,9
480,Sat Dec 25 2021,17:00,Golden State Warriors,116,Phoenix Suns,107,0,17071.0,Phoenix Suns Arena,Golden State Warriors,False,-9,9
504,Tue Dec 28 2021,22:00,Denver Nuggets,89,Golden State Warriors,86,0,18064.0,Chase Center,Denver Nuggets,False,-3,3
532,Sat Jan 1 2022,21:00,Golden State Warriors,123,Utah Jazz,116,0,18306.0,Vivint Smart Home Arena,Golden State Warriors,False,-7,7
547,Mon Jan 3 2022,22:00,Miami Heat,108,Golden State Warriors,115,0,18064.0,Chase Center,Golden State Warriors,True,7,7
559,Wed Jan 5 2022,19:30,Golden State Warriors,82,Dallas Mavericks,99,0,20441.0,American Airlines Center,Dallas Mavericks,True,17,17
