,Date,Start (ET),Visitor,PTS,Home,PTS.1,Overtimes,Attend.,Arena,Winner,Home_team_win,Home_team_win_margin,Winner_Margin
7,Wed Oct 20 2021,20:00,Houston Rockets,106,Minnesota Timberwolves,124,0,16079.0,Target Center,Minnesota Timberwolves,True,18,18
21,Fri Oct 22 2021,20:00,Oklahoma City Thunder,91,Houston Rockets,124,0,15674.0,Toyota Center,Houston Rockets,True,33,33
35,Sun Oct 24 2021,19:00,Boston Celtics,107,Houston Rockets,97,0,16069.0,Toyota Center,Boston Celtics,False,-10,10
52,Tue Oct 26 2021,20:30,Houston Rockets,106,Dallas Mavericks,116,0,19337.0,American Airlines Center,Dallas Mavericks,True,10,10
66,Thu Oct 28 2021,20:00,Utah Jazz,122,Houston Rockets,91,0,15858.0,Toyota Center,Utah Jazz,False,-31,31
92,Sun Oct 31 2021,22:30,Houston Rockets,85,Los Angeles Lakers,95,0,16448.0,Crypto.com Arena,Los Angeles Lakers,True,10,10
106,Tue Nov 2 2021,22:30,Houston Rockets,117,Los Angeles Lakers,119,0,18997.0,Crypto.com Arena,Los Angeles Lakers,True,2,2
121,Thu Nov 4 2021,22:00,Houston Rockets,111,Phoenix Suns,123,0,15058.0,Phoenix Suns Arena,Phoenix Suns,True,12,12
132,Sat Nov 6 2021,17:00,Houston Rockets,94,Denver Nuggets,95,0,16046.0,Ball Arena,Denver Nuggets,True,1,1
144,Sun Nov 7 2021,20:30,Houston Rockets,107,Golden State Warriors,120,0,18064.0,Chase Center,Golden State Warriors,True,13,13
160,Wed Nov 10 2021,19:30,Detroit Pistons,112,Houston Rockets,104,0,15350.0,Toyota Center,Detroit Pistons,False,-8,8
176,Fri Nov 12 2021,20:00,Portland Trail Blazers,104,Houston Rockets,92,0,15468.0,Toyota Center,Portland Trail Blazers,False,-12,12
194,Sun Nov 14 2021,19:00,Phoenix Suns,115,Houston Rockets,89,0,16088.0,Toyota Center,Phoenix Suns,False,-26,26
204,Mon Nov 15 2021,20:00,Houston Rockets,102,Memphis Grizzlies,136,0,11482.0,FedEx Forum,Memphis Grizzlies,True,34,34
220,Wed Nov 17 2021,20:00,Houston Rockets,89,Oklahoma City Thunder,101,0,12066.0,Paycom Center,Oklahoma City Thunder,True,12,12
238,Sat Nov 20 2021,17:00,Houston Rockets,99,New York Knicks,106,0,19812.0,Madison Square Garden (IV),New York Knicks,True,7,7
255,Mon Nov 22 2021,19:30,Houston Rockets,90,Boston Celtics,108,0,19156.0,TD Garden,Boston Celtics,True,18,18
270,Wed Nov 24 2021,20:00,Chicago Bulls,113,Houston Rockets,118,0,16074.0,Toyota Center,Houston Rockets,True,5,5
296,Sat Nov 27 2021,20:00,Charlotte Hornets,143,Houston Rockets,146,1,14687.0,Toyota Center,Houston Rockets,True,3,3
307,Mon Nov 29 2021,20:00,Oklahoma City Thunder,89,Houston Rockets,102,0,12829.0,Toyota Center,Houston Rockets,True,13,13
325,Wed Dec 1 2021,20:00,Houston Rockets,114,Oklahoma City Thunder,110,0,13222.0,Paycom Center,Houston Rockets,False,-4,4
336,Fri Dec 3 2021,20:00,Orlando Magic,116,Houston Rockets,118,0,13697.0,Toyota Center,Houston Rockets,True,2,2
351,Sun Dec 5 2021,19:00,New Orleans Pelicans,108,Houston Rockets,118,0,14771.0,Toyota Center,Houston Rockets,True,10,10
371,Wed Dec 8 2021,20:00,Brooklyn Nets,104,Houston Rockets,114,0,15834.0,Toyota Center,Houston Rockets,True,10,10
385,Fri Dec 10 2021,20:00,Milwaukee Bucks,123,Houston Rockets,114,0,16319.0,Toyota Center,Milwaukee Bucks,False,-9,9
393,Sat Dec 11 2021,20:00,Houston Rockets,106,Memphis Grizzlies,113,0,17794.0,FedEx Forum,Memphis Grizzlies,True,7,7
406,Mon Dec 13 2021,19:30,Houston Rockets,132,Atlanta Hawks,126,0,14456.0,State Farm Arena,Houston Rockets,False,-6,6
415,Wed Dec 15 2021,19:00,Houston Rockets,89,Cleveland Cavaliers,124,0,17131.0,Rocket Mortgage Fieldhouse,Cleveland Cavaliers,True,35,35
428,Thu Dec 16 2021,20:00,New York Knicks,116,Houston Rockets,103,0,13857.0,Toyota Center,New York Knicks,False,-13,13
438,Sat Dec 18 2021,24:00,Houston Rockets,116,Detroit Pistons,107,0,13722.0,Little Caesars Arena,Houston Rockets,False,-9,9
452,Mon Dec 20 2021,20:00,Houston Rockets,118,Chicago Bulls,133,0,21150.0,United Center,Chicago Bulls,True,15,15
464,Wed Dec 22 2021,20:00,Houston Rockets,106,Milwaukee Bucks,126,0,17341.0,Fiserv Forum,Milwaukee Bucks,True,20,20
467,Thu Dec 23 2021,19:00,Houston Rockets,106,Indiana Pacers,118,0,15089.0,Gainbridge Fieldhouse,Indiana Pacers,True,12,12
491,Mon Dec 27 2021,19:00,Houston Rockets,99,Charlotte Hornets,123,0,19349.0,Spectrum Center,Charlotte Hornets,True,24,24
501,Tue Dec 28 2021,20:00,Los Angeles Lakers,132,Houston Rockets,123,0,18104.0,Toyota Center,Los Angeles Lakers,False,-9,9
520,Fri Dec 31 2021,19:00,Miami Heat,120,Houston Rockets,110,0,16197.0,Toyota Center,Miami Heat,False,-10,10
531,Sat Jan 1 2022,20:00,Denver Nuggets,124,Houston Rockets,111,0,18055.0,Toyota Center,Denver Nuggets,False,-13,13
540,Mon Jan 3 2022,19:00,Houston Rockets,113,Philadelphia 76ers,133,0,20026.0,Wells Fargo Center,Philadelphia 76ers,True,20,20
557,Wed Jan 5 2022,19:00,Houston Rockets,114,Washington Wizards,111,0,13014.0,Capital One Arena,Houston Rockets,False,-3,3
574,Fri Jan 7 2022,20:00,Dallas Mavericks,130,Houston Rockets,106,0,15238.0,Toyota Center,Dallas Mavericks,False,-24,24
589,Sun Jan 9 2022,19:00,Minnesota Timberwolves,141,Houston Rockets,123,0,15277.0,Toyota Center,Minnesota Timberwolves,False,-18,18
599,Mon Jan 10 2022,20:00,Philadelphia 76ers,111,Houston Rockets,91,0,13593.0,Toyota Center,Philadelphia 76ers,False,-20,20
613,Wed Jan 12 2022,20:30,Houston Rockets,128,San Antonio Spurs,124,0,11314.0,AT&T Center,Houston Rockets,False,-4,4
630,Fri Jan 14 2022,22:00,Houston Rockets,114,Sacramento Kings,126,0,12857.0,Golden 1 Center,Sacramento Kings,True,12,12
