,Date,Start (ET),Visitor,PTS,Home,PTS.1,Overtimes,Attend.,Arena,Winner,Home_team_win,Home_team_win_margin,Winner_Margin
15,Thu Oct 21 2021,22:00,Los Angeles Clippers,113,Golden State Warriors,115,0,18064.0,Chase Center,Golden State Warriors,True,2,2
33,Sat Oct 23 2021,22:30,Memphis Grizzlies,120,Los Angeles Clippers,114,0,16748.0,Crypto.com Arena,Memphis Grizzlies,False,-6,6
48,Mon Oct 25 2021,22:30,Portland Trail Blazers,86,Los Angeles Clippers,116,0,15672.0,Crypto.com Arena,Los Angeles Clippers,True,30,30
63,Wed Oct 27 2021,22:30,Cleveland Cavaliers,92,Los Angeles Clippers,79,0,13276.0,Crypto.com Arena,Cleveland Cavaliers,False,-13,13
75,Fri Oct 29 2021,22:00,Los Angeles Clippers,92,Portland Trail Blazers,111,0,16510.0,Moda Center,Portland Trail Blazers,True,19,19
101,Mon Nov 1 2021,22:30,Oklahoma City Thunder,94,Los Angeles Clippers,99,0,13722.0,Crypto.com Arena,Los Angeles Clippers,True,5,5
114,Wed Nov 3 2021,20:00,Los Angeles Clippers,126,Minnesota Timberwolves,115,0,15386.0,Target Center,Los Angeles Clippers,False,-11,11
128,Fri Nov 5 2021,20:00,Los Angeles Clippers,104,Minnesota Timberwolves,84,0,17136.0,Target Center,Los Angeles Clippers,False,-20,20
145,Sun Nov 7 2021,21:00,Charlotte Hornets,106,Los Angeles Clippers,120,0,15781.0,Crypto.com Arena,Los Angeles Clippers,True,14,14
156,Tue Nov 9 2021,22:00,Portland Trail Blazers,109,Los Angeles Clippers,117,0,14131.0,Crypto.com Arena,Los Angeles Clippers,True,8,8
172,Thu Nov 11 2021,22:30,Miami Heat,109,Los Angeles Clippers,112,0,16150.0,Crypto.com Arena,Los Angeles Clippers,True,3,3
190,Sat Nov 13 2021,22:30,Minnesota Timberwolves,102,Los Angeles Clippers,129,0,15285.0,Crypto.com Arena,Los Angeles Clippers,True,27,27
197,Sun Nov 14 2021,21:30,Chicago Bulls,100,Los Angeles Clippers,90,0,17899.0,Crypto.com Arena,Chicago Bulls,False,-10,10
211,Tue Nov 16 2021,22:30,San Antonio Spurs,92,Los Angeles Clippers,106,0,13298.0,Crypto.com Arena,Los Angeles Clippers,True,14,14
225,Thu Nov 18 2021,20:00,Los Angeles Clippers,108,Memphis Grizzlies,120,0,13419.0,FedEx Forum,Memphis Grizzlies,True,12,12
