,Date,Start (ET),Visitor,PTS,Home,PTS.1,Overtimes,Attend.,Arena,Winner,Home_team_win,Home_team_win_margin,Winner_Margin
1,Tue Oct 19 2021,22:00,Golden State Warriors,121,Los Angeles Lakers,114,0,18997.0,Crypto.com Arena,Golden State Warriors,False,-7,7
24,Fri Oct 22 2021,22:00,Phoenix Suns,115,Los Angeles Lakers,105,0,18997.0,Crypto.com Arena,Phoenix Suns,False,-10,10
39,Sun Oct 24 2021,21:30,Memphis Grizzlies,118,Los Angeles Lakers,121,0,18997.0,Crypto.com Arena,Los Angeles Lakers,True,3,3
51,Tue Oct 26 2021,20:30,Los Angeles Lakers,125,San Antonio Spurs,121,1,18354.0,AT&T Center,Los Angeles Lakers,False,-4,4
60,Wed Oct 27 2021,20:00,Los Angeles Lakers,115,Oklahoma City Thunder,123,0,15783.0,Paycom Center,Oklahoma City Thunder,True,8,8
76,Fri Oct 29 2021,22:30,Cleveland Cavaliers,101,Los Angeles Lakers,113,0,18997.0,Crypto.com Arena,Los Angeles Lakers,True,12,12
92,Sun Oct 31 2021,22:30,Houston Rockets,85,Los Angeles Lakers,95,0,16448.0,Crypto.com Arena,Los Angeles Lakers,True,10,10
106,Tue Nov 2 2021,22:30,Houston Rockets,117,Los Angeles Lakers,119,0,18997.0,Crypto.com Arena,Los Angeles Lakers,True,2,2
122,Thu Nov 4 2021,22:30,Oklahoma City Thunder,107,Los Angeles Lakers,104,0,18997.0,Crypto.com Arena,Oklahoma City Thunder,False,-3,3
137,Sat Nov 6 2021,22:30,Los Angeles Lakers,90,Portland Trail Blazers,105,0,19393.0,Moda Center,Portland Trail Blazers,True,15,15
153,Mon Nov 8 2021,22:30,Charlotte Hornets,123,Los Angeles Lakers,126,1,18997.0,Crypto.com Arena,Los Angeles Lakers,True,3,3
169,Wed Nov 10 2021,22:00,Miami Heat,117,Los Angeles Lakers,120,1,18997.0,Crypto.com Arena,Los Angeles Lakers,True,3,3
183,Fri Nov 12 2021,22:30,Minnesota Timberwolves,107,Los Angeles Lakers,83,0,18997.0,Crypto.com Arena,Minnesota Timberwolves,False,-24,24
191,Sun Nov 14 2021,15:30,San Antonio Spurs,106,Los Angeles Lakers,114,0,18997.0,Crypto.com Arena,Los Angeles Lakers,True,8,8
208,Mon Nov 15 2021,22:30,Chicago Bulls,121,Los Angeles Lakers,103,0,18997.0,Crypto.com Arena,Chicago Bulls,False,-18,18
217,Wed Nov 17 2021,19:30,Los Angeles Lakers,102,Milwaukee Bucks,109,0,17341.0,Fiserv Forum,Milwaukee Bucks,True,7,7
231,Fri Nov 19 2021,19:30,Los Angeles Lakers,108,Boston Celtics,130,0,19156.0,TD Garden,Boston Celtics,True,22,22
248,Sun Nov 21 2021,18:00,Los Angeles Lakers,121,Detroit Pistons,116,0,15532.0,Little Caesars Arena,Los Angeles Lakers,False,-5,5
263,Tue Nov 23 2021,19:30,Los Angeles Lakers,100,New York Knicks,106,0,19812.0,Madison Square Garden (IV),New York Knicks,True,6,6
267,Wed Nov 24 2021,19:00,Los Angeles Lakers,124,Indiana Pacers,116,1,15572.0,Gainbridge Fieldhouse,Los Angeles Lakers,False,-8,8
290,Fri Nov 26 2021,22:30,Sacramento Kings,141,Los Angeles Lakers,137,3,18997.0,Crypto.com Arena,Sacramento Kings,False,-4,4
303,Sun Nov 28 2021,21:30,Detroit Pistons,106,Los Angeles Lakers,110,0,18997.0,Crypto.com Arena,Los Angeles Lakers,True,4,4
317,Tue Nov 30 2021,22:00,Los Angeles Lakers,117,Sacramento Kings,92,0,12459.0,Golden 1 Center,Los Angeles Lakers,False,-25,25
340,Fri Dec 3 2021,22:00,Los Angeles Clippers,119,Los Angeles Lakers,115,0,18997.0,Crypto.com Arena,Los Angeles Clippers,False,-4,4
364,Tue Dec 7 2021,22:00,Boston Celtics,102,Los Angeles Lakers,117,0,18997.0,Crypto.com Arena,Los Angeles Lakers,True,15,15
379,Thu Dec 9 2021,20:00,Los Angeles Lakers,95,Memphis Grizzlies,108,0,16334.0,FedEx Forum,Memphis Grizzlies,True,13,13
388,Fri Dec 10 2021,20:00,Los Angeles Lakers,116,Oklahoma City Thunder,95,0,16523.0,Paycom Center,Los Angeles Lakers,False,-21,21
402,Sun Dec 12 2021,21:30,Orlando Magic,94,Los Angeles Lakers,106,0,18997.0,Crypto.com Arena,Los Angeles Lakers,True,12,12
418,Wed Dec 15 2021,19:30,Los Angeles Lakers,107,Dallas Mavericks,104,1,20270.0,American Airlines Center,Los Angeles Lakers,False,-3,3
435,Fri Dec 17 2021,22:00,Los Angeles Lakers,92,Minnesota Timberwolves,110,0,17136.0,Target Center,Minnesota Timberwolves,True,18,18
448,Sun Dec 19 2021,20:00,Los Angeles Lakers,110,Chicago Bulls,115,0,21560.0,United Center,Chicago Bulls,True,5,5
461,Tue Dec 21 2021,22:00,Phoenix Suns,108,Los Angeles Lakers,90,0,18997.0,Crypto.com Arena,Phoenix Suns,False,-18,18
477,Thu Dec 23 2021,22:30,San Antonio Spurs,138,Los Angeles Lakers,110,0,18997.0,Crypto.com Arena,San Antonio Spurs,False,-28,28
481,Sat Dec 25 2021,20:00,Brooklyn Nets,122,Los Angeles Lakers,115,0,18997.0,Crypto.com Arena,Brooklyn Nets,False,-7,7
501,Tue Dec 28 2021,20:00,Los Angeles Lakers,132,Houston Rockets,123,0,18104.0,Toyota Center,Los Angeles Lakers,False,-9,9
510,Wed Dec 29 2021,20:00,Los Angeles Lakers,99,Memphis Grizzlies,104,0,17794.0,FedEx Forum,Memphis Grizzlies,True,5,5
526,Fri Dec 31 2021,22:30,Portland Trail Blazers,106,Los Angeles Lakers,139,0,18997.0,Crypto.com Arena,Los Angeles Lakers,True,33,33
