,Date,Start (ET),Visitor,PTS,Home,PTS.1,Overtimes,Attend.,Arena,Winner,Home_team_win,Home_team_win_margin,Winner_Margin
6,Wed Oct 20 2021,20:00,Cleveland Cavaliers,121,Memphis Grizzlies,132,0,15975.0,FedEx Forum,Memphis Grizzlies,True,11,11
33,Sat Oct 23 2021,22:30,Memphis Grizzlies,120,Los Angeles Clippers,114,0,16748.0,Crypto.com Arena,Memphis Grizzlies,False,-6,6
39,Sun Oct 24 2021,21:30,Memphis Grizzlies,118,Los Angeles Lakers,121,0,18997.0,Crypto.com Arena,Los Angeles Lakers,True,3,3
62,Wed Oct 27 2021,22:00,Memphis Grizzlies,96,Portland Trail Blazers,116,0,16241.0,Moda Center,Portland Trail Blazers,True,20,20
69,Thu Oct 28 2021,22:00,Memphis Grizzlies,104,Golden State Warriors,101,1,18064.0,Chase Center,Memphis Grizzlies,False,-3,3
83,Sat Oct 30 2021,20:00,Miami Heat,129,Memphis Grizzlies,103,0,15989.0,FedEx Forum,Miami Heat,False,-26,26
99,Mon Nov 1 2021,20:00,Denver Nuggets,97,Memphis Grizzlies,106,0,12683.0,FedEx Forum,Memphis Grizzlies,True,9,9
113,Wed Nov 3 2021,20:00,Denver Nuggets,106,Memphis Grizzlies,108,0,12977.0,FedEx Forum,Memphis Grizzlies,True,2,2
125,Fri Nov 5 2021,19:00,Memphis Grizzlies,87,Washington Wizards,115,0,16302.0,Capital One Arena,Washington Wizards,True,28,28
148,Mon Nov 8 2021,20:00,Minnesota Timberwolves,118,Memphis Grizzlies,125,1,12416.0,FedEx Forum,Memphis Grizzlies,True,7,7
163,Wed Nov 10 2021,20:00,Charlotte Hornets,118,Memphis Grizzlies,108,0,13880.0,FedEx Forum,Charlotte Hornets,False,-10,10
177,Fri Nov 12 2021,20:00,Phoenix Suns,119,Memphis Grizzlies,94,0,15886.0,FedEx Forum,Phoenix Suns,False,-25,25
186,Sat Nov 13 2021,19:00,Memphis Grizzlies,101,New Orleans Pelicans,112,0,14358.0,Smoothie King Center,New Orleans Pelicans,True,11,11
204,Mon Nov 15 2021,20:00,Houston Rockets,102,Memphis Grizzlies,136,0,11482.0,FedEx Forum,Memphis Grizzlies,True,34,34
225,Thu Nov 18 2021,20:00,Los Angeles Clippers,108,Memphis Grizzlies,120,0,13419.0,FedEx Forum,Memphis Grizzlies,True,12,12
244,Sat Nov 20 2021,20:00,Memphis Grizzlies,95,Minnesota Timberwolves,138,0,17136.0,Target Center,Minnesota Timberwolves,True,43,43
260,Mon Nov 22 2021,21:00,Memphis Grizzlies,119,Utah Jazz,118,0,18306.0,Vivint Smart Home Arena,Memphis Grizzlies,False,-1,1
271,Wed Nov 24 2021,20:00,Toronto Raptors,126,Memphis Grizzlies,113,0,15409.0,FedEx Forum,Toronto Raptors,False,-13,13
284,Fri Nov 26 2021,20:00,Atlanta Hawks,132,Memphis Grizzlies,100,0,16622.0,FedEx Forum,Atlanta Hawks,False,-32,32
