,Date,Start (ET),Visitor,PTS,Home,PTS.1,Overtimes,Attend.,Arena,Winner,Home_team_win,Home_team_win_margin,Winner_Margin
14,Thu Oct 21 2021,20:00,Milwaukee Bucks,95,Miami Heat,137,0,19600.0,FTX Arena,Miami Heat,True,42,42
27,Sat Oct 23 2021,19:00,Miami Heat,91,Indiana Pacers,102,1,17147.0,Gainbridge Fieldhouse,Indiana Pacers,True,11,11
43,Mon Oct 25 2021,19:30,Orlando Magic,90,Miami Heat,107,0,19600.0,FTX Arena,Miami Heat,True,17,17
56,Wed Oct 27 2021,19:30,Miami Heat,106,Brooklyn Nets,93,0,17732.0,Barclays Center,Miami Heat,False,-13,13
71,Fri Oct 29 2021,19:30,Charlotte Hornets,99,Miami Heat,114,0,19600.0,FTX Arena,Miami Heat,True,15,15
83,Sat Oct 30 2021,20:00,Miami Heat,129,Memphis Grizzlies,103,0,15989.0,FedEx Forum,Miami Heat,False,-26,26
103,Tue Nov 2 2021,19:30,Miami Heat,125,Dallas Mavericks,110,0,19255.0,American Airlines Center,Miami Heat,False,-15,15
120,Thu Nov 4 2021,19:30,Boston Celtics,95,Miami Heat,78,0,19600.0,FTX Arena,Boston Celtics,False,-17,17
133,Sat Nov 6 2021,19:30,Utah Jazz,115,Miami Heat,118,0,19600.0,FTX Arena,Miami Heat,True,3,3
150,Mon Nov 8 2021,21:00,Miami Heat,96,Denver Nuggets,113,0,15577.0,Ball Arena,Denver Nuggets,True,17,17
169,Wed Nov 10 2021,22:00,Miami Heat,117,Los Angeles Lakers,120,1,18997.0,Crypto.com Arena,Los Angeles Lakers,True,3,3
172,Thu Nov 11 2021,22:30,Miami Heat,109,Los Angeles Clippers,112,0,16150.0,Crypto.com Arena,Los Angeles Clippers,True,3,3
184,Sat Nov 13 2021,17:00,Miami Heat,111,Utah Jazz,105,0,18306.0,Vivint Smart Home Arena,Miami Heat,False,-6,6
206,Mon Nov 15 2021,20:00,Miami Heat,103,Oklahoma City Thunder,90,0,12330.0,Paycom Center,Miami Heat,False,-13,13
216,Wed Nov 17 2021,19:30,New Orleans Pelicans,98,Miami Heat,113,0,19600.0,FTX Arena,Miami Heat,True,15,15
224,Thu Nov 18 2021,19:30,Washington Wizards,97,Miami Heat,112,0,19600.0,FTX Arena,Miami Heat,True,15,15
240,Sat Nov 20 2021,19:00,Miami Heat,100,Washington Wizards,103,0,20476.0,Capital One Arena,Washington Wizards,True,3,3
262,Tue Nov 23 2021,19:00,Miami Heat,100,Detroit Pistons,92,0,13123.0,Little Caesars Arena,Miami Heat,False,-8,8
273,Wed Nov 24 2021,20:00,Miami Heat,101,Minnesota Timberwolves,113,0,17136.0,Target Center,Minnesota Timberwolves,True,12,12
294,Sat Nov 27 2021,20:00,Miami Heat,107,Chicago Bulls,104,0,21110.0,United Center,Miami Heat,False,-3,3
305,Mon Nov 29 2021,19:30,Denver Nuggets,120,Miami Heat,111,0,19600.0,FTX Arena,Denver Nuggets,False,-9,9
322,Wed Dec 1 2021,19:30,Cleveland Cavaliers,111,Miami Heat,85,0,19600.0,FTX Arena,Cleveland Cavaliers,False,-26,26
332,Fri Dec 3 2021,19:00,Miami Heat,113,Indiana Pacers,104,0,13854.0,Gainbridge Fieldhouse,Miami Heat,False,-9,9
343,Sat Dec 4 2021,20:00,Miami Heat,102,Milwaukee Bucks,124,0,17341.0,Fiserv Forum,Milwaukee Bucks,True,22,22
355,Mon Dec 6 2021,19:30,Memphis Grizzlies,105,Miami Heat,90,0,19600.0,FTX Arena,Memphis Grizzlies,False,-15,15
369,Wed Dec 8 2021,19:30,Milwaukee Bucks,104,Miami Heat,113,0,19600.0,FTX Arena,Miami Heat,True,9,9
394,Sat Dec 11 2021,20:00,Chicago Bulls,92,Miami Heat,118,0,19731.0,FTX Arena,Miami Heat,True,26,26
403,Mon Dec 13 2021,19:00,Miami Heat,94,Cleveland Cavaliers,105,0,17401.0,Rocket Mortgage Fieldhouse,Cleveland Cavaliers,True,11,11
417,Wed Dec 15 2021,19:00,Miami Heat,101,Philadelphia 76ers,96,0,20389.0,Wells Fargo Center,Miami Heat,False,-5,5
430,Fri Dec 17 2021,19:00,Miami Heat,115,Orlando Magic,105,0,14103.0,Amway Center,Miami Heat,False,-10,10
445,Sun Dec 19 2021,18:00,Miami Heat,90,Detroit Pistons,100,0,15188.0,Little Caesars Arena,Detroit Pistons,True,10,10
457,Tue Dec 21 2021,19:30,Indiana Pacers,96,Miami Heat,125,0,19600.0,FTX Arena,Miami Heat,True,29,29
470,Thu Dec 23 2021,19:30,Detroit Pistons,112,Miami Heat,115,0,19600.0,FTX Arena,Miami Heat,True,3,3
483,Sun Dec 26 2021,15:30,Orlando Magic,83,Miami Heat,93,0,19600.0,FTX Arena,Miami Heat,True,10,10
499,Tue Dec 28 2021,19:30,Washington Wizards,112,Miami Heat,119,0,19600.0,FTX Arena,Miami Heat,True,7,7
520,Fri Dec 31 2021,19:00,Miami Heat,120,Houston Rockets,110,0,16197.0,Toyota Center,Miami Heat,False,-10,10
536,Sun Jan 2 2022,18:00,Miami Heat,113,Sacramento Kings,115,0,13699.0,Golden 1 Center,Sacramento Kings,True,2,2
547,Mon Jan 3 2022,22:00,Miami Heat,108,Golden State Warriors,115,0,18064.0,Chase Center,Golden State Warriors,True,7,7
564,Wed Jan 5 2022,22:00,Miami Heat,115,Portland Trail Blazers,109,0,15773.0,Moda Center,Miami Heat,False,-6,6
584,Sat Jan 8 2022,21:00,Miami Heat,123,Phoenix Suns,100,0,17071.0,Phoenix Suns Arena,Miami Heat,False,-23,23
611,Wed Jan 12 2022,19:30,Miami Heat,115,Atlanta Hawks,91,0,15355.0,State Farm Arena,Miami Heat,False,-24,24
627,Fri Jan 14 2022,20:00,Atlanta Hawks,118,Miami Heat,124,0,19600.0,FTX Arena,Miami Heat,True,6,6
635,Sat Jan 15 2022,20:00,Philadelphia 76ers,109,Miami Heat,98,0,19600.0,FTX Arena,Philadelphia 76ers,False,-11,11
653,Mon Jan 17 2022,19:30,Toronto Raptors,99,Miami Heat,104,0,19600.0,FTX Arena,Miami Heat,True,5,5
663,Wed Jan 19 2022,19:30,Portland Trail Blazers,92,Miami Heat,104,0,19600.0,FTX Arena,Miami Heat,True,12,12
678,Fri Jan 21 2022,19:30,Miami Heat,108,Atlanta Hawks,110,0,16385.0,State Farm Arena,Atlanta Hawks,True,2,2
691,Sun Jan 23 2022,18:00,Los Angeles Lakers,107,Miami Heat,113,0,19973.0,FTX Arena,Miami Heat,True,6,6
717,Wed Jan 26 2022,19:30,New York Knicks,96,Miami Heat,110,0,19600.0,FTX Arena,Miami Heat,True,14,14
730,Fri Jan 28 2022,20:00,Los Angeles Clippers,114,Miami Heat,121,0,19600.0,FTX Arena,Miami Heat,True,7,7
740,Sat Jan 29 2022,20:00,Toronto Raptors,124,Miami Heat,120,3,19600.0,FTX Arena,Toronto Raptors,False,-4,4
754,Mon Jan 31 2022,19:30,Miami Heat,92,Boston Celtics,122,0,19156.0,TD Garden,Boston Celtics,True,30,30
