,Date,Start (ET),Visitor,PTS,Home,PTS.1,Overtimes,Attend.,Arena,Winner,Home_team_win,Home_team_win_margin,Winner_Margin
7,Wed Oct 20 2021,20:00,Houston Rockets,106,Minnesota Timberwolves,124,0,16079.0,Target Center,Minnesota Timberwolves,True,18,18
30,Sat Oct 23 2021,20:00,New Orleans Pelicans,89,Minnesota Timberwolves,96,0,15343.0,Target Center,Minnesota Timberwolves,True,7,7
46,Mon Oct 25 2021,20:00,New Orleans Pelicans,107,Minnesota Timberwolves,98,0,14435.0,Target Center,New Orleans Pelicans,False,-9,9
59,Wed Oct 27 2021,20:00,Minnesota Timberwolves,113,Milwaukee Bucks,108,0,17341.0,Fiserv Forum,Minnesota Timberwolves,False,-5,5
86,Sat Oct 30 2021,21:00,Denver Nuggets,93,Minnesota Timberwolves,91,0,17136.0,Target Center,Denver Nuggets,False,-2,2
100,Mon Nov 1 2021,20:00,Orlando Magic,115,Minnesota Timberwolves,97,0,14744.0,Target Center,Orlando Magic,False,-18,18
114,Wed Nov 3 2021,20:00,Los Angeles Clippers,126,Minnesota Timberwolves,115,0,15386.0,Target Center,Los Angeles Clippers,False,-11,11
128,Fri Nov 5 2021,20:00,Los Angeles Clippers,104,Minnesota Timberwolves,84,0,17136.0,Target Center,Los Angeles Clippers,False,-20,20
148,Mon Nov 8 2021,20:00,Minnesota Timberwolves,118,Memphis Grizzlies,125,1,12416.0,FedEx Forum,Memphis Grizzlies,True,7,7
168,Wed Nov 10 2021,22:00,Minnesota Timberwolves,110,Golden State Warriors,123,0,18064.0,Chase Center,Golden State Warriors,True,13,13
183,Fri Nov 12 2021,22:30,Minnesota Timberwolves,107,Los Angeles Lakers,83,0,18997.0,Crypto.com Arena,Minnesota Timberwolves,False,-24,24
190,Sat Nov 13 2021,22:30,Minnesota Timberwolves,102,Los Angeles Clippers,129,0,15285.0,Crypto.com Arena,Los Angeles Clippers,True,27,27
205,Mon Nov 15 2021,20:00,Phoenix Suns,99,Minnesota Timberwolves,96,0,16274.0,Target Center,Phoenix Suns,False,-3,3
219,Wed Nov 17 2021,20:00,Sacramento Kings,97,Minnesota Timberwolves,107,0,13108.0,Target Center,Minnesota Timberwolves,True,10,10
226,Thu Nov 18 2021,20:00,San Antonio Spurs,90,Minnesota Timberwolves,115,0,13572.0,Target Center,Minnesota Timberwolves,True,25,25
244,Sat Nov 20 2021,20:00,Memphis Grizzlies,95,Minnesota Timberwolves,138,0,17136.0,Target Center,Minnesota Timberwolves,True,43,43
258,Mon Nov 22 2021,20:00,Minnesota Timberwolves,110,New Orleans Pelicans,96,0,15689.0,Smoothie King Center,Minnesota Timberwolves,False,-14,14
273,Wed Nov 24 2021,20:00,Miami Heat,101,Minnesota Timberwolves,113,0,17136.0,Target Center,Minnesota Timberwolves,True,12,12
280,Fri Nov 26 2021,19:00,Minnesota Timberwolves,115,Charlotte Hornets,133,0,19314.0,Spectrum Center,Charlotte Hornets,True,18,18
291,Sat Nov 27 2021,18:00,Minnesota Timberwolves,121,Philadelphia 76ers,120,2,21011.0,Wells Fargo Center,Minnesota Timberwolves,False,-1,1
