,Date,Start (ET),Visitor,PTS,Home,PTS.1,Overtimes,Attend.,Arena,Winner,Home_team_win,Home_team_win_margin,Winner_Margin
4,Wed Oct 20 2021,19:30,Boston Celtics,134,New York Knicks,138,2,19812.0,Madison Square Garden (IV),New York Knicks,True,4,4
16,Fri Oct 22 2021,19:00,New York Knicks,121,Orlando Magic,96,0,18846.0,Amway Center,New York Knicks,False,-25,25
36,Sun Oct 24 2021,19:00,Orlando Magic,110,New York Knicks,104,0,16273.0,Madison Square Garden (IV),Orlando Magic,False,-6,6
49,Tue Oct 26 2021,19:30,Philadelphia 76ers,99,New York Knicks,112,0,15218.0,Madison Square Garden (IV),New York Knicks,True,13,13
67,Thu Oct 28 2021,20:00,New York Knicks,104,Chicago Bulls,103,0,20972.0,United Center,New York Knicks,False,-1,1
79,Sat Oct 30 2021,19:00,New York Knicks,123,New Orleans Pelicans,117,0,16508.0,Smoothie King Center,New York Knicks,False,-6,6
98,Mon Nov 1 2021,19:30,Toronto Raptors,113,New York Knicks,104,0,16528.0,Madison Square Garden (IV),Toronto Raptors,False,-9,9
108,Wed Nov 3 2021,19:00,New York Knicks,98,Indiana Pacers,111,0,11607.0,Gainbridge Fieldhouse,Indiana Pacers,True,13,13
126,Fri Nov 5 2021,19:30,New York Knicks,113,Milwaukee Bucks,98,0,17341.0,Fiserv Forum,New York Knicks,False,-15,15
139,Sun Nov 7 2021,18:00,Cleveland Cavaliers,126,New York Knicks,109,0,19040.0,Madison Square Garden (IV),Cleveland Cavaliers,False,-17,17
146,Mon Nov 8 2021,19:00,New York Knicks,103,Philadelphia 76ers,96,0,20224.0,Wells Fargo Center,New York Knicks,False,-7,7
161,Wed Nov 10 2021,19:30,Milwaukee Bucks,112,New York Knicks,100,0,18027.0,Madison Square Garden (IV),Milwaukee Bucks,False,-12,12
173,Fri Nov 12 2021,19:00,New York Knicks,96,Charlotte Hornets,104,0,19257.0,Spectrum Center,Charlotte Hornets,True,8,8
202,Mon Nov 15 2021,19:30,Indiana Pacers,84,New York Knicks,92,0,16792.0,Madison Square Garden (IV),New York Knicks,True,8,8
218,Wed Nov 17 2021,19:30,Orlando Magic,104,New York Knicks,98,0,16680.0,Madison Square Garden (IV),Orlando Magic,False,-6,6
238,Sat Nov 20 2021,17:00,Houston Rockets,99,New York Knicks,106,0,19812.0,Madison Square Garden (IV),New York Knicks,True,7,7
249,Sun Nov 21 2021,20:00,New York Knicks,103,Chicago Bulls,109,0,21813.0,United Center,Chicago Bulls,True,6,6
263,Tue Nov 23 2021,19:30,Los Angeles Lakers,100,New York Knicks,106,0,19812.0,Madison Square Garden (IV),New York Knicks,True,6,6
281,Fri Nov 26 2021,19:00,Phoenix Suns,118,New York Knicks,97,0,19812.0,Madison Square Garden (IV),Phoenix Suns,False,-21,21
292,Sat Nov 27 2021,19:30,New York Knicks,99,Atlanta Hawks,90,0,17287.0,State Farm Arena,New York Knicks,False,-9,9
313,Tue Nov 30 2021,19:30,New York Knicks,110,Brooklyn Nets,112,0,18081.0,Barclays Center,Brooklyn Nets,True,2,2
327,Thu Dec 2 2021,19:30,Chicago Bulls,119,New York Knicks,115,0,19812.0,Madison Square Garden (IV),Chicago Bulls,False,-4,4
341,Sat Dec 4 2021,13:00,Denver Nuggets,113,New York Knicks,99,0,18272.0,Madison Square Garden (IV),Denver Nuggets,False,-14,14
363,Tue Dec 7 2021,20:30,New York Knicks,121,San Antonio Spurs,109,0,14698.0,AT&T Center,New York Knicks,False,-12,12
368,Wed Dec 8 2021,19:00,New York Knicks,102,Indiana Pacers,122,0,13167.0,Gainbridge Fieldhouse,Indiana Pacers,True,20,20
384,Fri Dec 10 2021,19:30,New York Knicks,87,Toronto Raptors,90,0,19800.0,Scotiabank Arena,Toronto Raptors,True,3,3
397,Sun Dec 12 2021,24:00,Milwaukee Bucks,112,New York Knicks,97,0,19812.0,Madison Square Garden (IV),Milwaukee Bucks,False,-15,15
413,Tue Dec 14 2021,19:30,Golden State Warriors,105,New York Knicks,96,0,19812.0,Madison Square Garden (IV),Golden State Warriors,False,-9,9
428,Thu Dec 16 2021,20:00,New York Knicks,116,Houston Rockets,103,0,13857.0,Toyota Center,New York Knicks,False,-13,13
439,Sat Dec 18 2021,19:00,New York Knicks,107,Boston Celtics,114,0,19156.0,TD Garden,Boston Celtics,True,7,7
458,Tue Dec 21 2021,19:30,Detroit Pistons,91,New York Knicks,105,0,17906.0,Madison Square Garden (IV),New York Knicks,True,14,14
471,Thu Dec 23 2021,19:30,Washington Wizards,124,New York Knicks,117,0,18208.0,Madison Square Garden (IV),Washington Wizards,False,-7,7
478,Sat Dec 25 2021,24:00,Atlanta Hawks,87,New York Knicks,101,0,19812.0,Madison Square Garden (IV),New York Knicks,True,14,14
502,Tue Dec 28 2021,20:00,New York Knicks,96,Minnesota Timberwolves,88,0,16339.0,Target Center,New York Knicks,False,-8,8
506,Wed Dec 29 2021,19:00,New York Knicks,94,Detroit Pistons,85,0,18312.0,Little Caesars Arena,New York Knicks,False,-9,9
524,Fri Dec 31 2021,20:00,New York Knicks,80,Oklahoma City Thunder,95,0,16451.0,Paycom Center,Oklahoma City Thunder,True,15,15
533,Sun Jan 2 2022,15:30,New York Knicks,105,Toronto Raptors,120,0,0.0,Scotiabank Arena,Toronto Raptors,True,15,15
552,Tue Jan 4 2022,19:30,Indiana Pacers,94,New York Knicks,104,0,18449.0,Madison Square Garden (IV),New York Knicks,True,10,10
566,Thu Jan 6 2022,19:30,Boston Celtics,105,New York Knicks,108,0,17529.0,Madison Square Garden (IV),New York Knicks,True,3,3
583,Sat Jan 8 2022,19:30,New York Knicks,75,Boston Celtics,99,0,19156.0,TD Garden,Boston Celtics,True,24,24
598,Mon Jan 10 2022,19:30,San Antonio Spurs,96,New York Knicks,111,0,16569.0,Madison Square Garden (IV),New York Knicks,True,15,15
612,Wed Jan 12 2022,19:30,Dallas Mavericks,85,New York Knicks,108,0,18215.0,Madison Square Garden (IV),New York Knicks,True,23,23
633,Sat Jan 15 2022,19:30,New York Knicks,117,Atlanta Hawks,108,0,16414.0,State Farm Arena,New York Knicks,False,-9,9
646,Mon Jan 17 2022,13:00,Charlotte Hornets,97,New York Knicks,87,0,19812.0,Madison Square Garden (IV),Charlotte Hornets,False,-10,10
657,Tue Jan 18 2022,19:30,Minnesota Timberwolves,112,New York Knicks,110,0,16071.0,Madison Square Garden (IV),Minnesota Timberwolves,False,-2,2
673,Thu Jan 20 2022,19:30,New Orleans Pelicans,102,New York Knicks,91,0,16168.0,Madison Square Garden (IV),New Orleans Pelicans,False,-11,11
689,Sun Jan 23 2022,13:00,Los Angeles Clippers,102,New York Knicks,110,0,19812.0,Madison Square Garden (IV),New York Knicks,True,8,8
700,Mon Jan 24 2022,19:00,New York Knicks,93,Cleveland Cavaliers,95,0,17321.0,Rocket Mortgage Fieldhouse,Cleveland Cavaliers,True,2,2
717,Wed Jan 26 2022,19:30,New York Knicks,96,Miami Heat,110,0,19600.0,FTX Arena,Miami Heat,True,14,14
735,Fri Jan 28 2022,22:00,New York Knicks,108,Milwaukee Bucks,123,0,17341.0,Fiserv Forum,Milwaukee Bucks,True,15,15
755,Mon Jan 31 2022,19:30,Sacramento Kings,96,New York Knicks,116,0,15925.0,Madison Square Garden (IV),New York Knicks,True,20,20
768,Wed Feb 2 2022,19:30,Memphis Grizzlies,120,New York Knicks,108,0,19812.0,Madison Square Garden (IV),Memphis Grizzlies,False,-12,12
792,Sat Feb 5 2022,20:30,New York Knicks,115,Los Angeles Lakers,122,1,18997.0,Crypto.com Arena,Los Angeles Lakers,True,7,7
807,Mon Feb 7 2022,21:00,New York Knicks,104,Utah Jazz,113,0,18306.0,Vivint Smart Home Arena,Utah Jazz,True,9,9
