,Date,Start (ET),Visitor,PTS,Home,PTS.1,Overtimes,Attend.,Arena,Winner,Home_team_win,Home_team_win_margin,Winner_Margin
10,Wed Oct 20 2021,21:00,Oklahoma City Thunder,86,Utah Jazz,107,0,18306.0,Vivint Smart Home Arena,Utah Jazz,True,21,21
21,Fri Oct 22 2021,20:00,Oklahoma City Thunder,91,Houston Rockets,124,0,15674.0,Toyota Center,Houston Rockets,True,33,33
37,Sun Oct 24 2021,19:00,Philadelphia 76ers,115,Oklahoma City Thunder,103,0,14256.0,Paycom Center,Philadelphia 76ers,False,-12,12
50,Tue Oct 26 2021,20:00,Golden State Warriors,106,Oklahoma City Thunder,98,0,0.0,Paycom Center,Golden State Warriors,False,-8,8
60,Wed Oct 27 2021,20:00,Los Angeles Lakers,115,Oklahoma City Thunder,123,0,15783.0,Paycom Center,Oklahoma City Thunder,True,8,8
85,Sat Oct 30 2021,20:30,Oklahoma City Thunder,82,Golden State Warriors,103,0,18064.0,Chase Center,Golden State Warriors,True,21,21
101,Mon Nov 1 2021,22:30,Oklahoma City Thunder,94,Los Angeles Clippers,99,0,13722.0,Crypto.com Arena,Los Angeles Clippers,True,5,5
122,Thu Nov 4 2021,22:30,Oklahoma City Thunder,107,Los Angeles Lakers,104,0,18997.0,Crypto.com Arena,Oklahoma City Thunder,False,-3,3
143,Sun Nov 7 2021,19:00,San Antonio Spurs,94,Oklahoma City Thunder,99,0,12972.0,Paycom Center,Oklahoma City Thunder,True,5,5
164,Wed Nov 10 2021,20:00,Oklahoma City Thunder,108,New Orleans Pelicans,100,0,15355.0,Smoothie King Center,Oklahoma City Thunder,False,-8,8
179,Fri Nov 12 2021,20:00,Sacramento Kings,103,Oklahoma City Thunder,105,0,12881.0,Paycom Center,Oklahoma City Thunder,True,2,2
195,Sun Nov 14 2021,19:00,Brooklyn Nets,120,Oklahoma City Thunder,96,0,15080.0,Paycom Center,Brooklyn Nets,False,-24,24
206,Mon Nov 15 2021,20:00,Miami Heat,103,Oklahoma City Thunder,90,0,12330.0,Paycom Center,Miami Heat,False,-13,13
220,Wed Nov 17 2021,20:00,Houston Rockets,89,Oklahoma City Thunder,101,0,12066.0,Paycom Center,Oklahoma City Thunder,True,12,12
233,Fri Nov 19 2021,20:00,Oklahoma City Thunder,89,Milwaukee Bucks,96,0,17341.0,Fiserv Forum,Milwaukee Bucks,True,7,7
242,Sat Nov 20 2021,19:30,Oklahoma City Thunder,105,Boston Celtics,111,0,19156.0,TD Garden,Boston Celtics,True,6,6
254,Mon Nov 22 2021,19:30,Oklahoma City Thunder,101,Atlanta Hawks,113,0,15806.0,State Farm Arena,Atlanta Hawks,True,12,12
275,Wed Nov 24 2021,20:00,Utah Jazz,110,Oklahoma City Thunder,104,0,14081.0,Paycom Center,Utah Jazz,False,-6,6
285,Fri Nov 26 2021,20:00,Washington Wizards,101,Oklahoma City Thunder,99,0,14579.0,Paycom Center,Washington Wizards,False,-2,2
307,Mon Nov 29 2021,20:00,Oklahoma City Thunder,89,Houston Rockets,102,0,12829.0,Toyota Center,Houston Rockets,True,13,13
325,Wed Dec 1 2021,20:00,Houston Rockets,114,Oklahoma City Thunder,110,0,13222.0,Paycom Center,Houston Rockets,False,-4,4
329,Thu Dec 2 2021,20:00,Oklahoma City Thunder,79,Memphis Grizzlies,152,0,13103.0,FedEx Forum,Memphis Grizzlies,True,73,73
353,Mon Dec 6 2021,19:00,Oklahoma City Thunder,114,Detroit Pistons,103,0,10522.0,Little Caesars Arena,Oklahoma City Thunder,False,-11,11
370,Wed Dec 8 2021,19:30,Oklahoma City Thunder,110,Toronto Raptors,109,0,19800.0,Scotiabank Arena,Oklahoma City Thunder,False,-1,1
388,Fri Dec 10 2021,20:00,Los Angeles Lakers,116,Oklahoma City Thunder,95,0,16523.0,Paycom Center,Los Angeles Lakers,False,-21,21
399,Sun Dec 12 2021,19:00,Dallas Mavericks,103,Oklahoma City Thunder,84,0,15747.0,Paycom Center,Dallas Mavericks,False,-19,19
420,Wed Dec 15 2021,20:00,New Orleans Pelicans,113,Oklahoma City Thunder,110,0,13253.0,Paycom Center,New Orleans Pelicans,False,-3,3
442,Sat Dec 18 2021,20:00,Los Angeles Clippers,103,Oklahoma City Thunder,104,0,15123.0,Paycom Center,Oklahoma City Thunder,True,1,1
453,Mon Dec 20 2021,20:00,Oklahoma City Thunder,102,Memphis Grizzlies,99,0,15721.0,FedEx Forum,Oklahoma City Thunder,False,-3,3
465,Wed Dec 22 2021,20:00,Denver Nuggets,94,Oklahoma City Thunder,108,0,14932.0,Paycom Center,Oklahoma City Thunder,True,14,14
474,Thu Dec 23 2021,21:00,Oklahoma City Thunder,101,Phoenix Suns,113,0,17071.0,Phoenix Suns Arena,Phoenix Suns,True,12,12
487,Sun Dec 26 2021,19:00,New Orleans Pelicans,112,Oklahoma City Thunder,117,0,15608.0,Paycom Center,Oklahoma City Thunder,True,5,5
505,Tue Dec 28 2021,22:00,Oklahoma City Thunder,111,Sacramento Kings,117,0,14750.0,Golden 1 Center,Sacramento Kings,True,6,6
511,Wed Dec 29 2021,21:00,Oklahoma City Thunder,97,Phoenix Suns,115,0,17071.0,Phoenix Suns Arena,Phoenix Suns,True,18,18
524,Fri Dec 31 2021,20:00,New York Knicks,80,Oklahoma City Thunder,95,0,16451.0,Paycom Center,Oklahoma City Thunder,True,15,15
538,Sun Jan 2 2022,19:00,Dallas Mavericks,95,Oklahoma City Thunder,86,0,14751.0,Paycom Center,Dallas Mavericks,False,-9,9
562,Wed Jan 5 2022,20:00,Oklahoma City Thunder,90,Minnesota Timberwolves,98,0,14375.0,Target Center,Minnesota Timberwolves,True,8,8
575,Fri Jan 7 2022,20:00,Minnesota Timberwolves,135,Oklahoma City Thunder,105,0,14874.0,Paycom Center,Minnesota Timberwolves,False,-30,30
590,Sun Jan 9 2022,19:00,Denver Nuggets,99,Oklahoma City Thunder,95,0,14772.0,Paycom Center,Denver Nuggets,False,-4,4
602,Tue Jan 11 2022,19:00,Oklahoma City Thunder,118,Washington Wizards,122,0,13985.0,Capital One Arena,Washington Wizards,True,4,4
620,Thu Jan 13 2022,20:30,Oklahoma City Thunder,130,Brooklyn Nets,109,0,16964.0,Barclays Center,Oklahoma City Thunder,False,-21,21
636,Sat Jan 15 2022,20:00,Cleveland Cavaliers,107,Oklahoma City Thunder,102,0,15284.0,Paycom Center,Cleveland Cavaliers,False,-5,5
654,Mon Jan 17 2022,20:30,Oklahoma City Thunder,102,Dallas Mavericks,104,0,19266.0,American Airlines Center,Dallas Mavericks,True,2,2
667,Wed Jan 19 2022,20:30,Oklahoma City Thunder,96,San Antonio Spurs,118,0,11848.0,AT&T Center,San Antonio Spurs,True,22,22
675,Fri Jan 21 2022,19:00,Oklahoma City Thunder,98,Charlotte Hornets,121,0,15835.0,Spectrum Center,Charlotte Hornets,True,23,23
687,Sat Jan 22 2022,20:00,Oklahoma City Thunder,87,Cleveland Cavaliers,94,0,19432.0,Rocket Mortgage Fieldhouse,Cleveland Cavaliers,True,7,7
702,Mon Jan 24 2022,20:00,Chicago Bulls,111,Oklahoma City Thunder,110,0,14378.0,Paycom Center,Chicago Bulls,False,-1,1
732,Fri Jan 28 2022,20:00,Indiana Pacers,113,Oklahoma City Thunder,110,1,15106.0,Paycom Center,Indiana Pacers,False,-3,3
757,Mon Jan 31 2022,20:00,Portland Trail Blazers,81,Oklahoma City Thunder,98,0,13812.0,Paycom Center,Oklahoma City Thunder,True,17,17
770,Wed Feb 2 2022,20:30,Oklahoma City Thunder,120,Dallas Mavericks,114,1,19200.0,American Airlines Center,Oklahoma City Thunder,False,-6,6
788,Fri Feb 4 2022,22:00,Oklahoma City Thunder,96,Portland Trail Blazers,93,0,15329.0,Moda Center,Oklahoma City Thunder,False,-3,3
794,Sat Feb 5 2022,22:00,Oklahoma City Thunder,103,Sacramento Kings,113,0,14097.0,Golden 1 Center,Sacramento Kings,True,10,10
806,Mon Feb 7 2022,20:00,Golden State Warriors,110,Oklahoma City Thunder,98,0,17009.0,Paycom Center,Golden State Warriors,False,-12,12
820,Wed Feb 9 2022,20:00,Toronto Raptors,117,Oklahoma City Thunder,98,0,13858.0,Paycom Center,Toronto Raptors,False,-19,19
833,Fri Feb 11 2022,19:00,Oklahoma City Thunder,87,Philadelphia 76ers,100,0,20669.0,Wells Fargo Center,Philadelphia 76ers,True,13,13
844,Sat Feb 12 2022,20:00,Oklahoma City Thunder,101,Chicago Bulls,106,0,20072.0,United Center,Chicago Bulls,True,5,5
853,Mon Feb 14 2022,19:30,Oklahoma City Thunder,127,New York Knicks,123,1,18433.0,Madison Square Garden (IV),Oklahoma City Thunder,False,-4,4
874,Wed Feb 16 2022,20:00,San Antonio Spurs,114,Oklahoma City Thunder,106,0,14920.0,Paycom Center,San Antonio Spurs,False,-8,8
887,Thu Feb 24 2022,20:00,Phoenix Suns,124,Oklahoma City Thunder,104,0,14176.0,Paycom Center,Phoenix Suns,False,-20,20
891,Fri Feb 25 2022,19:00,Oklahoma City Thunder,129,Indiana Pacers,125,1,15182.0,Gainbridge Fieldhouse,Oklahoma City Thunder,False,-4,4
920,Mon Feb 28 2022,20:00,Sacramento Kings,131,Oklahoma City Thunder,110,0,13945.0,Paycom Center,Sacramento Kings,False,-21,21
933,Wed Mar 2 2022,21:00,Oklahoma City Thunder,119,Denver Nuggets,107,0,15167.0,Ball Arena,Oklahoma City Thunder,False,-12,12
948,Fri Mar 4 2022,20:00,Minnesota Timberwolves,138,Oklahoma City Thunder,101,0,15180.0,Paycom Center,Minnesota Timberwolves,False,-37,37
961,Sun Mar 6 2022,19:00,Utah Jazz,116,Oklahoma City Thunder,103,0,15079.0,Paycom Center,Utah Jazz,False,-13,13
977,Tue Mar 8 2022,20:00,Milwaukee Bucks,142,Oklahoma City Thunder,115,0,15743.0,Paycom Center,Milwaukee Bucks,False,-27,27
984,Wed Mar 9 2022,20:00,Oklahoma City Thunder,102,Minnesota Timberwolves,132,0,16191.0,Target Center,Minnesota Timberwolves,True,30,30
1016,Sun Mar 13 2022,19:00,Memphis Grizzlies,125,Oklahoma City Thunder,118,0,17482.0,Paycom Center,Memphis Grizzlies,False,-7,7
1021,Mon Mar 14 2022,20:00,Charlotte Hornets,134,Oklahoma City Thunder,116,0,15810.0,Paycom Center,Charlotte Hornets,False,-18,18
1038,Wed Mar 16 2022,20:30,Oklahoma City Thunder,120,San Antonio Spurs,122,0,14994.0,AT&T Center,San Antonio Spurs,True,2,2
1051,Fri Mar 18 2022,20:00,Oklahoma City Thunder,108,Miami Heat,120,0,19600.0,FTX Arena,Miami Heat,True,12,12
1063,Sun Mar 20 2022,18:00,Oklahoma City Thunder,85,Orlando Magic,90,0,15012.0,Amway Center,Orlando Magic,True,5,5
1076,Mon Mar 21 2022,20:00,Boston Celtics,132,Oklahoma City Thunder,123,0,15345.0,Paycom Center,Boston Celtics,False,-9,9
1089,Wed Mar 23 2022,20:00,Orlando Magic,102,Oklahoma City Thunder,118,0,14393.0,Paycom Center,Oklahoma City Thunder,True,16,16
1111,Sat Mar 26 2022,21:00,Oklahoma City Thunder,107,Denver Nuggets,113,0,19520.0,Ball Arena,Denver Nuggets,True,6,6
1128,Mon Mar 28 2022,22:00,Oklahoma City Thunder,134,Portland Trail Blazers,131,1,18188.0,Moda Center,Oklahoma City Thunder,False,-3,3
1141,Wed Mar 30 2022,20:00,Atlanta Hawks,136,Oklahoma City Thunder,118,0,15595.0,Paycom Center,Atlanta Hawks,False,-18,18
1156,Fri Apr 1 2022,20:00,Detroit Pistons,110,Oklahoma City Thunder,101,0,16961.0,Paycom Center,Detroit Pistons,False,-9,9
1172,Sun Apr 3 2022,19:00,Phoenix Suns,96,Oklahoma City Thunder,117,0,17078.0,Paycom Center,Oklahoma City Thunder,True,21,21
1184,Tue Apr 5 2022,20:00,Portland Trail Blazers,94,Oklahoma City Thunder,98,0,14674.0,Paycom Center,Oklahoma City Thunder,True,4,4
1193,Wed Apr 6 2022,21:00,Oklahoma City Thunder,101,Utah Jazz,137,0,18306.0,Vivint Smart Home Arena,Utah Jazz,True,36,36
1210,Fri Apr 8 2022,22:30,Oklahoma City Thunder,101,Los Angeles Lakers,120,0,18997.0,Crypto.com Arena,Los Angeles Lakers,True,19,19
1226,Sun Apr 10 2022,21:30,Oklahoma City Thunder,88,Los Angeles Clippers,138,0,18210.0,Crypto.com Arena,Los Angeles Clippers,True,50,50
