,Date,Start (ET),Visitor,PTS,Home,PTS.1,Overtimes,Attend.,Arena,Winner,Home_team_win,Home_team_win_margin,Winner_Margin
9,Wed Oct 20 2021,20:30,Orlando Magic,97,San Antonio Spurs,123,0,16697.0,AT&T Center,San Antonio Spurs,True,26,26
16,Fri Oct 22 2021,19:00,New York Knicks,121,Orlando Magic,96,0,18846.0,Amway Center,New York Knicks,False,-25,25
36,Sun Oct 24 2021,19:00,Orlando Magic,110,New York Knicks,104,0,16273.0,Madison Square Garden (IV),Orlando Magic,False,-6,6
43,Mon Oct 25 2021,19:30,Orlando Magic,90,Miami Heat,107,0,19600.0,FTX Arena,Miami Heat,True,17,17
54,Wed Oct 27 2021,19:00,Charlotte Hornets,120,Orlando Magic,111,0,14082.0,Amway Center,Charlotte Hornets,False,-9,9
70,Fri Oct 29 2021,19:00,Orlando Magic,109,Toronto Raptors,110,0,19800.0,Scotiabank Arena,Toronto Raptors,True,1,1
78,Sat Oct 30 2021,19:00,Orlando Magic,103,Detroit Pistons,110,0,11423.0,Little Caesars Arena,Detroit Pistons,True,7,7
100,Mon Nov 1 2021,20:00,Orlando Magic,115,Minnesota Timberwolves,97,0,14744.0,Target Center,Orlando Magic,False,-18,18
109,Wed Nov 3 2021,19:00,Boston Celtics,92,Orlando Magic,79,0,12735.0,Amway Center,Boston Celtics,False,-13,13
124,Fri Nov 5 2021,19:00,San Antonio Spurs,102,Orlando Magic,89,0,14101.0,Amway Center,San Antonio Spurs,False,-13,13
140,Sun Nov 7 2021,18:00,Utah Jazz,100,Orlando Magic,107,0,13386.0,Amway Center,Orlando Magic,True,7,7
158,Wed Nov 10 2021,19:00,Brooklyn Nets,123,Orlando Magic,90,0,13882.0,Amway Center,Brooklyn Nets,False,-33,33
187,Sat Nov 13 2021,19:00,Washington Wizards,104,Orlando Magic,92,0,17272.0,Amway Center,Washington Wizards,False,-12,12
201,Mon Nov 15 2021,19:30,Orlando Magic,111,Atlanta Hawks,129,0,13061.0,State Farm Arena,Atlanta Hawks,True,18,18
218,Wed Nov 17 2021,19:30,Orlando Magic,104,New York Knicks,98,0,16680.0,Madison Square Garden (IV),Orlando Magic,False,-6,6
232,Fri Nov 19 2021,19:30,Orlando Magic,113,Brooklyn Nets,115,0,16966.0,Barclays Center,Brooklyn Nets,True,2,2
243,Sat Nov 20 2021,20:00,Orlando Magic,108,Milwaukee Bucks,117,0,17341.0,Fiserv Forum,Milwaukee Bucks,True,9,9
257,Mon Nov 22 2021,20:00,Orlando Magic,92,Milwaukee Bucks,123,0,17341.0,Fiserv Forum,Milwaukee Bucks,True,31,31
268,Wed Nov 24 2021,19:00,Charlotte Hornets,106,Orlando Magic,99,0,16114.0,Amway Center,Charlotte Hornets,False,-7,7
