,Date,Start (ET),Visitor,PTS,Home,PTS.1,Overtimes,Attend.,Arena,Winner,Home_team_win,Home_team_win_margin,Winner_Margin
12,Wed Oct 20 2021,22:00,Denver Nuggets,110,Phoenix Suns,98,0,16074.0,Phoenix Suns Arena,Denver Nuggets,False,-12,12
24,Fri Oct 22 2021,22:00,Phoenix Suns,115,Los Angeles Lakers,105,0,18997.0,Crypto.com Arena,Phoenix Suns,False,-10,10
32,Sat Oct 23 2021,22:00,Phoenix Suns,105,Portland Trail Blazers,134,0,18558.0,Moda Center,Portland Trail Blazers,True,29,29
61,Wed Oct 27 2021,22:00,Sacramento Kings,110,Phoenix Suns,107,0,14678.0,Phoenix Suns Arena,Sacramento Kings,False,-3,3
87,Sat Oct 30 2021,22:00,Cleveland Cavaliers,92,Phoenix Suns,101,0,14516.0,Phoenix Suns Arena,Phoenix Suns,True,9,9
105,Tue Nov 2 2021,22:00,New Orleans Pelicans,100,Phoenix Suns,112,0,14323.0,Phoenix Suns Arena,Phoenix Suns,True,12,12
121,Thu Nov 4 2021,22:00,Houston Rockets,111,Phoenix Suns,123,0,15058.0,Phoenix Suns Arena,Phoenix Suns,True,12,12
136,Sat Nov 6 2021,22:00,Atlanta Hawks,117,Phoenix Suns,121,0,15412.0,Phoenix Suns Arena,Phoenix Suns,True,4,4
152,Mon Nov 8 2021,22:00,Phoenix Suns,109,Sacramento Kings,104,0,13566.0,Golden 1 Center,Phoenix Suns,False,-5,5
167,Wed Nov 10 2021,21:00,Portland Trail Blazers,109,Phoenix Suns,119,0,15672.0,Phoenix Suns Arena,Phoenix Suns,True,10,10
177,Fri Nov 12 2021,20:00,Phoenix Suns,119,Memphis Grizzlies,94,0,15886.0,FedEx Forum,Phoenix Suns,False,-25,25
194,Sun Nov 14 2021,19:00,Phoenix Suns,115,Houston Rockets,89,0,16088.0,Toyota Center,Phoenix Suns,False,-26,26
205,Mon Nov 15 2021,20:00,Phoenix Suns,99,Minnesota Timberwolves,96,0,16274.0,Target Center,Phoenix Suns,False,-3,3
221,Wed Nov 17 2021,22:00,Dallas Mavericks,98,Phoenix Suns,105,0,14838.0,Phoenix Suns Arena,Phoenix Suns,True,7,7
236,Fri Nov 19 2021,22:00,Dallas Mavericks,104,Phoenix Suns,112,0,17071.0,Phoenix Suns Arena,Phoenix Suns,True,8,8
250,Sun Nov 21 2021,20:00,Denver Nuggets,97,Phoenix Suns,126,0,16072.0,Phoenix Suns Arena,Phoenix Suns,True,29,29
259,Mon Nov 22 2021,20:30,Phoenix Suns,115,San Antonio Spurs,111,0,14715.0,AT&T Center,Phoenix Suns,False,-4,4
266,Wed Nov 24 2021,19:00,Phoenix Suns,120,Cleveland Cavaliers,115,0,18055.0,Rocket Mortgage Fieldhouse,Phoenix Suns,False,-5,5
281,Fri Nov 26 2021,19:00,Phoenix Suns,118,New York Knicks,97,0,19812.0,Madison Square Garden (IV),Phoenix Suns,False,-21,21
293,Sat Nov 27 2021,19:30,Phoenix Suns,113,Brooklyn Nets,107,0,18071.0,Barclays Center,Phoenix Suns,False,-6,6
315,Tue Nov 30 2021,22:00,Golden State Warriors,96,Phoenix Suns,104,0,17071.0,Phoenix Suns Arena,Phoenix Suns,True,8,8
330,Thu Dec 2 2021,21:00,Detroit Pistons,103,Phoenix Suns,114,0,0.0,Phoenix Suns Arena,Phoenix Suns,True,11,11
339,Fri Dec 3 2021,22:00,Phoenix Suns,96,Golden State Warriors,118,0,18064.0,Chase Center,Golden State Warriors,True,22,22
359,Mon Dec 6 2021,21:00,San Antonio Spurs,104,Phoenix Suns,108,0,15292.0,Phoenix Suns Arena,Phoenix Suns,True,4,4
389,Fri Dec 10 2021,22:00,Boston Celtics,90,Phoenix Suns,111,0,17071.0,Phoenix Suns Arena,Phoenix Suns,True,21,21
411,Mon Dec 13 2021,22:30,Phoenix Suns,95,Los Angeles Clippers,111,0,17909.0,Crypto.com Arena,Los Angeles Clippers,True,16,16
414,Tue Dec 14 2021,22:00,Phoenix Suns,111,Portland Trail Blazers,107,1,16184.0,Moda Center,Phoenix Suns,False,-4,4
429,Thu Dec 16 2021,21:00,Washington Wizards,98,Phoenix Suns,118,0,16177.0,Phoenix Suns Arena,Phoenix Suns,True,20,20
450,Sun Dec 19 2021,20:00,Charlotte Hornets,106,Phoenix Suns,137,0,17071.0,Phoenix Suns Arena,Phoenix Suns,True,31,31
461,Tue Dec 21 2021,22:00,Phoenix Suns,108,Los Angeles Lakers,90,0,18997.0,Crypto.com Arena,Phoenix Suns,False,-18,18
474,Thu Dec 23 2021,21:00,Oklahoma City Thunder,101,Phoenix Suns,113,0,17071.0,Phoenix Suns Arena,Phoenix Suns,True,12,12
480,Sat Dec 25 2021,17:00,Golden State Warriors,116,Phoenix Suns,107,0,17071.0,Phoenix Suns Arena,Golden State Warriors,False,-9,9
495,Mon Dec 27 2021,21:00,Memphis Grizzlies,114,Phoenix Suns,113,0,17071.0,Phoenix Suns Arena,Memphis Grizzlies,False,-1,1
511,Wed Dec 29 2021,21:00,Oklahoma City Thunder,97,Phoenix Suns,115,0,17071.0,Phoenix Suns Arena,Phoenix Suns,True,18,18
517,Fri Dec 31 2021,13:00,Phoenix Suns,108,Boston Celtics,123,0,19156.0,TD Garden,Boston Celtics,True,15,15
537,Sun Jan 2 2022,19:00,Phoenix Suns,133,Charlotte Hornets,99,0,19088.0,Spectrum Center,Phoenix Suns,False,-34,34
553,Tue Jan 4 2022,20:00,Phoenix Suns,123,New Orleans Pelicans,110,0,15158.0,Smoothie King Center,Phoenix Suns,False,-13,13
569,Thu Jan 6 2022,22:00,Los Angeles Clippers,89,Phoenix Suns,106,0,17071.0,Phoenix Suns Arena,Phoenix Suns,True,17,17
584,Sat Jan 8 2022,21:00,Miami Heat,123,Phoenix Suns,100,0,17071.0,Phoenix Suns Arena,Miami Heat,False,-23,23
603,Tue Jan 11 2022,19:30,Phoenix Suns,99,Toronto Raptors,95,0,0.0,Scotiabank Arena,Phoenix Suns,False,-4,4
624,Fri Jan 14 2022,19:00,Phoenix Suns,112,Indiana Pacers,94,0,14019.0,Gainbridge Fieldhouse,Phoenix Suns,False,-18,18
641,Sun Jan 16 2022,13:00,Phoenix Suns,135,Detroit Pistons,108,0,18178.0,Little Caesars Arena,Phoenix Suns,False,-27,27
655,Mon Jan 17 2022,20:30,Phoenix Suns,121,San Antonio Spurs,107,0,10422.0,AT&T Center,Phoenix Suns,False,-14,14
672,Thu Jan 20 2022,19:30,Phoenix Suns,109,Dallas Mavericks,101,0,18306.0,American Airlines Center,Phoenix Suns,False,-8,8
688,Sat Jan 22 2022,21:00,Indiana Pacers,103,Phoenix Suns,113,0,17071.0,Phoenix Suns Arena,Phoenix Suns,True,10,10
703,Mon Jan 24 2022,21:00,Utah Jazz,109,Phoenix Suns,115,0,17071.0,Phoenix Suns Arena,Phoenix Suns,True,6,6
722,Wed Jan 26 2022,22:00,Phoenix Suns,105,Utah Jazz,97,0,18306.0,Vivint Smart Home Arena,Phoenix Suns,False,-8,8
