,Date,Start (ET),Visitor,PTS,Home,PTS.1,Overtimes,Attend.,Arena,Winner,Home_team_win,Home_team_win_margin,Winner_Margin
11,Wed Oct 20 2021,22:00,Sacramento Kings,124,Portland Trail Blazers,121,0,17467.0,Moda Center,Sacramento Kings,False,-3,3
32,Sat Oct 23 2021,22:00,Phoenix Suns,105,Portland Trail Blazers,134,0,18558.0,Moda Center,Portland Trail Blazers,True,29,29
48,Mon Oct 25 2021,22:30,Portland Trail Blazers,86,Los Angeles Clippers,116,0,15672.0,Crypto.com Arena,Los Angeles Clippers,True,30,30
62,Wed Oct 27 2021,22:00,Memphis Grizzlies,96,Portland Trail Blazers,116,0,16241.0,Moda Center,Portland Trail Blazers,True,20,20
75,Fri Oct 29 2021,22:00,Los Angeles Clippers,92,Portland Trail Blazers,111,0,16510.0,Moda Center,Portland Trail Blazers,True,19,19
89,Sun Oct 31 2021,19:00,Portland Trail Blazers,113,Charlotte Hornets,125,0,14960.0,Spectrum Center,Charlotte Hornets,True,12,12
95,Mon Nov 1 2021,19:00,Portland Trail Blazers,103,Philadelphia 76ers,113,0,20115.0,Wells Fargo Center,Philadelphia 76ers,True,10,10
107,Wed Nov 3 2021,19:00,Portland Trail Blazers,104,Cleveland Cavaliers,107,0,16231.0,Rocket Mortgage Fieldhouse,Cleveland Cavaliers,True,3,3
130,Fri Nov 5 2021,22:00,Indiana Pacers,106,Portland Trail Blazers,110,0,16841.0,Moda Center,Portland Trail Blazers,True,4,4
137,Sat Nov 6 2021,22:30,Los Angeles Lakers,90,Portland Trail Blazers,105,0,19393.0,Moda Center,Portland Trail Blazers,True,15,15
156,Tue Nov 9 2021,22:00,Portland Trail Blazers,109,Los Angeles Clippers,117,0,14131.0,Crypto.com Arena,Los Angeles Clippers,True,8,8
167,Wed Nov 10 2021,21:00,Portland Trail Blazers,109,Phoenix Suns,119,0,15672.0,Phoenix Suns Arena,Phoenix Suns,True,10,10
176,Fri Nov 12 2021,20:00,Portland Trail Blazers,104,Houston Rockets,92,0,15468.0,Toyota Center,Portland Trail Blazers,False,-12,12
196,Sun Nov 14 2021,20:00,Portland Trail Blazers,95,Denver Nuggets,124,0,14583.0,Ball Arena,Denver Nuggets,True,29,29
207,Mon Nov 15 2021,22:00,Toronto Raptors,113,Portland Trail Blazers,118,0,16142.0,Moda Center,Portland Trail Blazers,True,5,5
222,Wed Nov 17 2021,22:00,Chicago Bulls,107,Portland Trail Blazers,112,0,17492.0,Moda Center,Portland Trail Blazers,True,5,5
245,Sat Nov 20 2021,22:00,Philadelphia 76ers,111,Portland Trail Blazers,118,0,17027.0,Moda Center,Portland Trail Blazers,True,7,7
264,Tue Nov 23 2021,22:00,Denver Nuggets,100,Portland Trail Blazers,119,0,17052.0,Moda Center,Portland Trail Blazers,True,19,19
278,Wed Nov 24 2021,22:00,Portland Trail Blazers,121,Sacramento Kings,125,0,14997.0,Golden 1 Center,Sacramento Kings,True,4,4
289,Fri Nov 26 2021,22:00,Portland Trail Blazers,103,Golden State Warriors,118,0,18064.0,Chase Center,Golden State Warriors,True,15,15
311,Mon Nov 29 2021,21:00,Portland Trail Blazers,107,Utah Jazz,129,0,18306.0,Vivint Smart Home Arena,Utah Jazz,True,22,22
316,Tue Nov 30 2021,22:00,Detroit Pistons,92,Portland Trail Blazers,110,0,16071.0,Moda Center,Portland Trail Blazers,True,18,18
331,Thu Dec 2 2021,22:00,San Antonio Spurs,114,Portland Trail Blazers,83,0,16143.0,Moda Center,San Antonio Spurs,False,-31,31
346,Sat Dec 4 2021,22:00,Boston Celtics,145,Portland Trail Blazers,117,0,18193.0,Moda Center,Boston Celtics,False,-28,28
