,Date,Start (ET),Visitor,PTS,Home,PTS.1,Overtimes,Attend.,Arena,Winner,Home_team_win,Home_team_win_margin,Winner_Margin
11,Wed Oct 20 2021,22:00,Sacramento Kings,124,Portland Trail Blazers,121,0,17467.0,Moda Center,Sacramento Kings,False,-3,3
25,Fri Oct 22 2021,22:00,Utah Jazz,110,Sacramento Kings,101,0,17583.0,Golden 1 Center,Utah Jazz,False,-9,9
38,Sun Oct 24 2021,21:00,Golden State Warriors,119,Sacramento Kings,107,0,13876.0,Golden 1 Center,Golden State Warriors,False,-12,12
61,Wed Oct 27 2021,22:00,Sacramento Kings,110,Phoenix Suns,107,0,14678.0,Phoenix Suns Arena,Sacramento Kings,False,-3,3
73,Fri Oct 29 2021,20:00,Sacramento Kings,113,New Orleans Pelicans,109,0,17507.0,Smoothie King Center,Sacramento Kings,False,-4,4
88,Sun Oct 31 2021,15:30,Sacramento Kings,99,Dallas Mavericks,105,0,19231.0,American Airlines Center,Dallas Mavericks,True,6,6
104,Tue Nov 2 2021,21:00,Sacramento Kings,113,Utah Jazz,119,0,18306.0,Vivint Smart Home Arena,Utah Jazz,True,6,6
117,Wed Nov 3 2021,22:00,New Orleans Pelicans,99,Sacramento Kings,112,0,0.0,Golden 1 Center,Sacramento Kings,True,13,13
131,Fri Nov 5 2021,22:00,Charlotte Hornets,110,Sacramento Kings,140,0,14905.0,Golden 1 Center,Sacramento Kings,True,30,30
141,Sun Nov 7 2021,18:00,Indiana Pacers,94,Sacramento Kings,91,0,12993.0,Golden 1 Center,Indiana Pacers,False,-3,3
152,Mon Nov 8 2021,22:00,Phoenix Suns,109,Sacramento Kings,104,0,13566.0,Golden 1 Center,Phoenix Suns,False,-5,5
165,Wed Nov 10 2021,20:30,Sacramento Kings,117,San Antonio Spurs,136,0,15065.0,AT&T Center,San Antonio Spurs,True,19,19
179,Fri Nov 12 2021,20:00,Sacramento Kings,103,Oklahoma City Thunder,105,0,12881.0,Paycom Center,Oklahoma City Thunder,True,2,2
199,Mon Nov 15 2021,19:00,Sacramento Kings,129,Detroit Pistons,107,0,10092.0,Little Caesars Arena,Sacramento Kings,False,-22,22
219,Wed Nov 17 2021,20:00,Sacramento Kings,97,Minnesota Timberwolves,107,0,13108.0,Target Center,Minnesota Timberwolves,True,10,10
237,Fri Nov 19 2021,22:00,Toronto Raptors,108,Sacramento Kings,89,0,13159.0,Golden 1 Center,Toronto Raptors,False,-19,19
246,Sat Nov 20 2021,22:00,Utah Jazz,123,Sacramento Kings,105,0,13180.0,Golden 1 Center,Utah Jazz,False,-18,18
261,Mon Nov 22 2021,22:00,Philadelphia 76ers,102,Sacramento Kings,94,0,13948.0,Golden 1 Center,Philadelphia 76ers,False,-8,8
278,Wed Nov 24 2021,22:00,Portland Trail Blazers,121,Sacramento Kings,125,0,14997.0,Golden 1 Center,Sacramento Kings,True,4,4
290,Fri Nov 26 2021,22:30,Sacramento Kings,141,Los Angeles Lakers,137,3,18997.0,Crypto.com Arena,Sacramento Kings,False,-4,4
301,Sun Nov 28 2021,18:00,Sacramento Kings,101,Memphis Grizzlies,128,0,12844.0,FedEx Forum,Memphis Grizzlies,True,27,27
317,Tue Nov 30 2021,22:00,Los Angeles Lakers,117,Sacramento Kings,92,0,12459.0,Golden 1 Center,Los Angeles Lakers,False,-25,25
326,Wed Dec 1 2021,22:30,Sacramento Kings,124,Los Angeles Clippers,115,0,17217.0,Crypto.com Arena,Sacramento Kings,False,-9,9
347,Sat Dec 4 2021,22:00,Los Angeles Clippers,99,Sacramento Kings,104,0,15004.0,Golden 1 Center,Sacramento Kings,True,5,5
376,Wed Dec 8 2021,22:00,Orlando Magic,130,Sacramento Kings,142,0,14364.0,Golden 1 Center,Sacramento Kings,True,12,12
381,Fri Dec 10 2021,19:00,Sacramento Kings,123,Charlotte Hornets,124,0,16335.0,Spectrum Center,Charlotte Hornets,True,1,1
392,Sat Dec 11 2021,20:00,Sacramento Kings,103,Cleveland Cavaliers,117,0,19432.0,Rocket Mortgage Fieldhouse,Cleveland Cavaliers,True,14,14
405,Mon Dec 13 2021,19:00,Sacramento Kings,101,Toronto Raptors,124,0,19463.0,Scotiabank Arena,Toronto Raptors,True,23,23
424,Wed Dec 15 2021,22:00,Washington Wizards,105,Sacramento Kings,119,0,13806.0,Golden 1 Center,Sacramento Kings,True,14,14
437,Fri Dec 17 2021,22:00,Memphis Grizzlies,124,Sacramento Kings,105,0,14659.0,Golden 1 Center,Memphis Grizzlies,False,-19,19
447,Sun Dec 19 2021,18:00,San Antonio Spurs,114,Sacramento Kings,121,0,15091.0,Golden 1 Center,Sacramento Kings,True,7,7
455,Mon Dec 20 2021,22:00,Sacramento Kings,98,Golden State Warriors,113,0,18064.0,Chase Center,Golden State Warriors,True,15,15
466,Wed Dec 22 2021,22:00,Los Angeles Clippers,105,Sacramento Kings,89,0,15386.0,Golden 1 Center,Los Angeles Clippers,False,-16,16
485,Sun Dec 26 2021,18:00,Memphis Grizzlies,127,Sacramento Kings,102,0,15685.0,Golden 1 Center,Memphis Grizzlies,False,-25,25
505,Tue Dec 28 2021,22:00,Oklahoma City Thunder,111,Sacramento Kings,117,0,14750.0,Golden 1 Center,Sacramento Kings,True,6,6
513,Wed Dec 29 2021,22:30,Dallas Mavericks,94,Sacramento Kings,95,0,16071.0,Golden 1 Center,Sacramento Kings,True,1,1
519,Fri Dec 31 2021,18:00,Dallas Mavericks,112,Sacramento Kings,96,0,15833.0,Golden 1 Center,Dallas Mavericks,False,-16,16
536,Sun Jan 2 2022,18:00,Miami Heat,113,Sacramento Kings,115,0,13699.0,Golden 1 Center,Sacramento Kings,True,2,2
554,Tue Jan 4 2022,22:30,Sacramento Kings,114,Los Angeles Lakers,122,0,17919.0,Crypto.com Arena,Los Angeles Lakers,True,8,8
565,Wed Jan 5 2022,22:00,Atlanta Hawks,108,Sacramento Kings,102,0,13104.0,Golden 1 Center,Atlanta Hawks,False,-6,6
576,Fri Jan 7 2022,21:00,Sacramento Kings,111,Denver Nuggets,121,0,15966.0,Ball Arena,Denver Nuggets,True,10,10
593,Sun Jan 9 2022,21:00,Sacramento Kings,88,Portland Trail Blazers,103,0,16408.0,Moda Center,Portland Trail Blazers,True,15,15
601,Mon Jan 10 2022,22:00,Cleveland Cavaliers,109,Sacramento Kings,108,0,12110.0,Golden 1 Center,Cleveland Cavaliers,False,-1,1
616,Wed Jan 12 2022,22:00,Los Angeles Lakers,116,Sacramento Kings,125,0,12199.0,Golden 1 Center,Sacramento Kings,True,9,9
630,Fri Jan 14 2022,22:00,Houston Rockets,114,Sacramento Kings,126,0,12857.0,Golden 1 Center,Sacramento Kings,True,12,12
642,Sun Jan 16 2022,18:00,Houston Rockets,118,Sacramento Kings,112,0,13601.0,Golden 1 Center,Houston Rockets,False,-6,6
670,Wed Jan 19 2022,22:00,Detroit Pistons,133,Sacramento Kings,131,0,12907.0,Golden 1 Center,Detroit Pistons,False,-2,2
686,Sat Jan 22 2022,19:00,Sacramento Kings,127,Milwaukee Bucks,133,0,17341.0,Fiserv Forum,Milwaukee Bucks,True,6,6
708,Tue Jan 25 2022,19:30,Sacramento Kings,75,Boston Celtics,128,0,19156.0,TD Garden,Boston Celtics,True,53,53
716,Wed Jan 26 2022,19:30,Sacramento Kings,104,Atlanta Hawks,121,0,15080.0,State Farm Arena,Atlanta Hawks,True,17,17
738,Sat Jan 29 2022,19:30,Sacramento Kings,101,Philadelphia 76ers,103,0,20380.0,Wells Fargo Center,Philadelphia 76ers,True,2,2
755,Mon Jan 31 2022,19:30,Sacramento Kings,96,New York Knicks,116,0,15925.0,Madison Square Garden (IV),New York Knicks,True,20,20
771,Wed Feb 2 2022,22:00,Brooklyn Nets,101,Sacramento Kings,112,0,13153.0,Golden 1 Center,Sacramento Kings,True,11,11
778,Thu Feb 3 2022,22:00,Sacramento Kings,114,Golden State Warriors,126,0,18064.0,Chase Center,Golden State Warriors,True,12,12
794,Sat Feb 5 2022,22:00,Oklahoma City Thunder,103,Sacramento Kings,113,0,14097.0,Golden 1 Center,Sacramento Kings,True,10,10
817,Tue Feb 8 2022,22:00,Minnesota Timberwolves,134,Sacramento Kings,114,0,12409.0,Golden 1 Center,Minnesota Timberwolves,False,-20,20
822,Wed Feb 9 2022,22:00,Minnesota Timberwolves,119,Sacramento Kings,132,0,12527.0,Golden 1 Center,Sacramento Kings,True,13,13
841,Sat Feb 12 2022,19:00,Sacramento Kings,123,Washington Wizards,110,0,14169.0,Capital One Arena,Sacramento Kings,False,-13,13
852,Mon Feb 14 2022,19:30,Sacramento Kings,85,Brooklyn Nets,109,0,16873.0,Barclays Center,Brooklyn Nets,True,24,24
871,Wed Feb 16 2022,20:00,Sacramento Kings,118,Chicago Bulls,125,0,19166.0,United Center,Chicago Bulls,True,7,7
889,Thu Feb 24 2022,22:00,Denver Nuggets,128,Sacramento Kings,110,0,15855.0,Golden 1 Center,Denver Nuggets,False,-18,18
905,Sat Feb 26 2022,21:00,Sacramento Kings,110,Denver Nuggets,115,0,19520.0,Ball Arena,Denver Nuggets,True,5,5
920,Mon Feb 28 2022,20:00,Sacramento Kings,131,Oklahoma City Thunder,110,0,13945.0,Paycom Center,Sacramento Kings,False,-21,21
932,Wed Mar 2 2022,20:00,Sacramento Kings,95,New Orleans Pelicans,125,0,15490.0,Smoothie King Center,New Orleans Pelicans,True,30,30
940,Thu Mar 3 2022,20:30,Sacramento Kings,115,San Antonio Spurs,112,0,13049.0,AT&T Center,Sacramento Kings,False,-3,3
951,Sat Mar 5 2022,17:00,Sacramento Kings,113,Dallas Mavericks,114,0,20060.0,American Airlines Center,Dallas Mavericks,True,1,1
972,Mon Mar 7 2022,22:30,New York Knicks,131,Sacramento Kings,115,0,14720.0,Golden 1 Center,New York Knicks,False,-16,16
988,Wed Mar 9 2022,22:00,Denver Nuggets,106,Sacramento Kings,100,0,14697.0,Golden 1 Center,Denver Nuggets,False,-6,6
1008,Sat Mar 12 2022,21:00,Sacramento Kings,125,Utah Jazz,134,0,18306.0,Vivint Smart Home Arena,Utah Jazz,True,9,9
1024,Mon Mar 14 2022,22:00,Chicago Bulls,103,Sacramento Kings,112,0,15943.0,Golden 1 Center,Sacramento Kings,True,9,9
1041,Wed Mar 16 2022,22:00,Milwaukee Bucks,135,Sacramento Kings,126,0,15864.0,Golden 1 Center,Milwaukee Bucks,False,-9,9
1055,Fri Mar 18 2022,22:00,Boston Celtics,126,Sacramento Kings,97,0,15313.0,Golden 1 Center,Boston Celtics,False,-29,29
1064,Sun Mar 20 2022,18:00,Phoenix Suns,127,Sacramento Kings,124,1,17583.0,Golden 1 Center,Phoenix Suns,False,-3,3
1084,Wed Mar 23 2022,19:00,Sacramento Kings,110,Indiana Pacers,109,0,14227.0,Gainbridge Fieldhouse,Sacramento Kings,False,-1,1
1106,Sat Mar 26 2022,19:00,Sacramento Kings,114,Orlando Magic,110,1,16366.0,Amway Center,Sacramento Kings,False,-4,4
1123,Mon Mar 28 2022,19:30,Sacramento Kings,100,Miami Heat,123,0,19600.0,FTX Arena,Miami Heat,True,23,23
1140,Wed Mar 30 2022,20:00,Sacramento Kings,121,Houston Rockets,118,0,13365.0,Toyota Center,Sacramento Kings,False,-3,3
1153,Fri Apr 1 2022,20:00,Sacramento Kings,122,Houston Rockets,117,0,14857.0,Toyota Center,Sacramento Kings,False,-5,5
1175,Sun Apr 3 2022,21:00,Golden State Warriors,109,Sacramento Kings,90,0,17583.0,Golden 1 Center,Golden State Warriors,False,-19,19
1187,Tue Apr 5 2022,22:00,New Orleans Pelicans,123,Sacramento Kings,109,0,16047.0,Golden 1 Center,New Orleans Pelicans,False,-14,14
1214,Sat Apr 9 2022,21:30,Sacramento Kings,98,Los Angeles Clippers,117,0,17568.0,Crypto.com Arena,Los Angeles Clippers,True,19,19
