,Date,Start (ET),Visitor,PTS,Home,PTS.1,Overtimes,Attend.,Arena,Winner,Home_team_win,Home_team_win_margin,Winner_Margin
9,Wed Oct 20 2021,20:30,Orlando Magic,97,San Antonio Spurs,123,0,16697.0,AT&T Center,San Antonio Spurs,True,26,26
23,Fri Oct 22 2021,21:00,San Antonio Spurs,96,Denver Nuggets,102,0,19520.0,Ball Arena,Denver Nuggets,True,6,6
31,Sat Oct 23 2021,20:30,Milwaukee Bucks,121,San Antonio Spurs,111,0,14353.0,AT&T Center,Milwaukee Bucks,False,-10,10
51,Tue Oct 26 2021,20:30,Los Angeles Lakers,125,San Antonio Spurs,121,1,18354.0,AT&T Center,Los Angeles Lakers,False,-4,4
68,Thu Oct 28 2021,20:30,San Antonio Spurs,99,Dallas Mavericks,104,0,19228.0,American Airlines Center,Dallas Mavericks,True,5,5
84,Sat Oct 30 2021,20:00,San Antonio Spurs,102,Milwaukee Bucks,93,0,17341.0,Fiserv Forum,San Antonio Spurs,False,-9,9
94,Mon Nov 1 2021,19:00,San Antonio Spurs,118,Indiana Pacers,131,0,10227.0,Gainbridge Fieldhouse,Indiana Pacers,True,13,13
115,Wed Nov 3 2021,20:30,Dallas Mavericks,109,San Antonio Spurs,108,0,16356.0,AT&T Center,Dallas Mavericks,False,-1,1
124,Fri Nov 5 2021,19:00,San Antonio Spurs,102,Orlando Magic,89,0,14101.0,Amway Center,San Antonio Spurs,False,-13,13
143,Sun Nov 7 2021,19:00,San Antonio Spurs,94,Oklahoma City Thunder,99,0,12972.0,Paycom Center,Oklahoma City Thunder,True,5,5
165,Wed Nov 10 2021,20:30,Sacramento Kings,117,San Antonio Spurs,136,0,15065.0,AT&T Center,San Antonio Spurs,True,19,19
180,Fri Nov 12 2021,20:30,Dallas Mavericks,123,San Antonio Spurs,109,0,13425.0,AT&T Center,Dallas Mavericks,False,-14,14
191,Sun Nov 14 2021,15:30,San Antonio Spurs,106,Los Angeles Lakers,114,0,18997.0,Crypto.com Arena,Los Angeles Lakers,True,8,8
211,Tue Nov 16 2021,22:30,San Antonio Spurs,92,Los Angeles Clippers,106,0,13298.0,Crypto.com Arena,Los Angeles Clippers,True,14,14
226,Thu Nov 18 2021,20:00,San Antonio Spurs,90,Minnesota Timberwolves,115,0,13572.0,Target Center,Minnesota Timberwolves,True,25,25
259,Mon Nov 22 2021,20:30,Phoenix Suns,115,San Antonio Spurs,111,0,14715.0,AT&T Center,Phoenix Suns,False,-4,4
276,Wed Nov 24 2021,20:30,Atlanta Hawks,124,San Antonio Spurs,106,0,13161.0,AT&T Center,Atlanta Hawks,False,-18,18
286,Fri Nov 26 2021,20:30,Boston Celtics,88,San Antonio Spurs,96,0,15360.0,AT&T Center,San Antonio Spurs,True,8,8
310,Mon Nov 29 2021,20:30,Washington Wizards,99,San Antonio Spurs,116,0,12606.0,AT&T Center,San Antonio Spurs,True,17,17
331,Thu Dec 2 2021,22:00,San Antonio Spurs,114,Portland Trail Blazers,83,0,16143.0,Moda Center,San Antonio Spurs,False,-31,31
345,Sat Dec 4 2021,20:30,San Antonio Spurs,112,Golden State Warriors,107,0,18064.0,Chase Center,San Antonio Spurs,False,-5,5
