,Date,Start (ET),Visitor,PTS,Home,PTS.1,Overtimes,Attend.,Arena,Winner,Home_team_win,Home_team_win_margin,Winner_Margin
5,Wed Oct 20 2021,19:30,Washington Wizards,98,Toronto Raptors,83,0,19800.0,Scotiabank Arena,Washington Wizards,False,-15,15
19,Fri Oct 22 2021,19:30,Toronto Raptors,115,Boston Celtics,83,0,19156.0,TD Garden,Toronto Raptors,False,-32,32
28,Sat Oct 23 2021,19:30,Dallas Mavericks,103,Toronto Raptors,95,0,19800.0,Scotiabank Arena,Dallas Mavericks,False,-8,8
42,Mon Oct 25 2021,19:30,Chicago Bulls,111,Toronto Raptors,108,0,19800.0,Scotiabank Arena,Chicago Bulls,False,-3,3
57,Wed Oct 27 2021,19:30,Indiana Pacers,100,Toronto Raptors,118,0,19800.0,Scotiabank Arena,Toronto Raptors,True,18,18
70,Fri Oct 29 2021,19:00,Orlando Magic,109,Toronto Raptors,110,0,19800.0,Scotiabank Arena,Toronto Raptors,True,1,1
80,Sat Oct 30 2021,19:30,Toronto Raptors,97,Indiana Pacers,94,0,10578.0,Gainbridge Fieldhouse,Toronto Raptors,False,-3,3
98,Mon Nov 1 2021,19:30,Toronto Raptors,113,New York Knicks,104,0,16528.0,Madison Square Garden (IV),Toronto Raptors,False,-9,9
111,Wed Nov 3 2021,19:00,Toronto Raptors,109,Washington Wizards,100,0,13538.0,Capital One Arena,Toronto Raptors,False,-9,9
127,Fri Nov 5 2021,19:30,Cleveland Cavaliers,102,Toronto Raptors,101,0,19800.0,Scotiabank Arena,Cleveland Cavaliers,False,-1,1
138,Sun Nov 7 2021,15:30,Brooklyn Nets,116,Toronto Raptors,103,0,19800.0,Scotiabank Arena,Brooklyn Nets,False,-13,13
159,Wed Nov 10 2021,19:30,Toronto Raptors,88,Boston Celtics,104,0,19156.0,TD Garden,Boston Celtics,True,16,16
170,Thu Nov 11 2021,19:00,Toronto Raptors,115,Philadelphia 76ers,109,0,20112.0,Wells Fargo Center,Toronto Raptors,False,-6,6
188,Sat Nov 13 2021,19:30,Detroit Pistons,127,Toronto Raptors,121,0,19800.0,Scotiabank Arena,Detroit Pistons,False,-6,6
207,Mon Nov 15 2021,22:00,Toronto Raptors,113,Portland Trail Blazers,118,0,16142.0,Moda Center,Portland Trail Blazers,True,5,5
228,Thu Nov 18 2021,21:00,Toronto Raptors,103,Utah Jazz,119,0,18306.0,Vivint Smart Home Arena,Utah Jazz,True,16,16
