,Date,Start (ET),Visitor,PTS,Home,PTS.1,Overtimes,Attend.,Arena,Winner,Home_team_win
4,Wed Oct 20 2021,7:30p,Boston Celtics,134,New York Knicks,138,2,19812.0,Madison Square Garden (IV),New York Knicks,True
19,Fri Oct 22 2021,7:30p,Toronto Raptors,115,Boston Celtics,83,0,19156.0,TD Garden,Toronto Raptors,False
35,Sun Oct 24 2021,7:00p,Boston Celtics,107,Houston Rockets,97,0,16069.0,Toyota Center,Boston Celtics,False
40,Mon Oct 25 2021,7:00p,Boston Celtics,140,Charlotte Hornets,129,1,17238.0,Spectrum Center,Boston Celtics,False
55,Wed Oct 27 2021,7:30p,Washington Wizards,116,Boston Celtics,107,0,19156.0,TD Garden,Washington Wizards,False
77,Sat Oct 30 2021,5:00p,Boston Celtics,112,Washington Wizards,115,2,15813.0,Capital One Arena,Washington Wizards,True
97,Mon Nov 1 2021,7:30p,Chicago Bulls,128,Boston Celtics,114,0,19156.0,TD Garden,Chicago Bulls,False
109,Wed Nov 3 2021,7:00p,Boston Celtics,92,Orlando Magic,79,0,12735.0,Amway Center,Boston Celtics,False
120,Thu Nov 4 2021,7:30p,Boston Celtics,95,Miami Heat,78,0,19600.0,FTX Arena,Boston Celtics,False
135,Sat Nov 6 2021,8:30p,Boston Celtics,104,Dallas Mavericks,107,0,20052.0,American Airlines Center,Dallas Mavericks,True
159,Wed Nov 10 2021,7:30p,Toronto Raptors,88,Boston Celtics,104,0,19156.0,TD Garden,Boston Celtics,True
174,Fri Nov 12 2021,7:30p,Milwaukee Bucks,113,Boston Celtics,122,1,19156.0,TD Garden,Boston Celtics,True
189,Sat Nov 13 2021,8:00p,Boston Celtics,89,Cleveland Cavaliers,91,0,19432.0,Rocket Mortgage Fieldhouse,Cleveland Cavaliers,True
198,Mon Nov 15 2021,7:00p,Boston Celtics,98,Cleveland Cavaliers,92,0,17186.0,Rocket Mortgage Fieldhouse,Boston Celtics,False
214,Wed Nov 17 2021,7:30p,Boston Celtics,99,Atlanta Hawks,110,0,16445.0,State Farm Arena,Atlanta Hawks,True
231,Fri Nov 19 2021,7:30p,Los Angeles Lakers,108,Boston Celtics,130,0,19156.0,TD Garden,Boston Celtics,True
242,Sat Nov 20 2021,7:30p,Oklahoma City Thunder,105,Boston Celtics,111,0,19156.0,TD Garden,Boston Celtics,True
255,Mon Nov 22 2021,7:30p,Houston Rockets,90,Boston Celtics,108,0,19156.0,TD Garden,Boston Celtics,True
269,Wed Nov 24 2021,7:30p,Brooklyn Nets,123,Boston Celtics,104,0,19156.0,TD Garden,Brooklyn Nets,False
286,Fri Nov 26 2021,8:30p,Boston Celtics,88,San Antonio Spurs,96,0,15360.0,AT&T Center,San Antonio Spurs,True
302,Sun Nov 28 2021,6:00p,Boston Celtics,109,Toronto Raptors,97,0,19800.0,Scotiabank Arena,Boston Celtics,False
321,Wed Dec 1 2021,7:30p,Philadelphia 76ers,87,Boston Celtics,88,0,19156.0,TD Garden,Boston Celtics,True
338,Fri Dec 3 2021,9:00p,Boston Celtics,130,Utah Jazz,137,0,18306.0,Vivint Smart Home Arena,Utah Jazz,True
346,Sat Dec 4 2021,10:00p,Boston Celtics,145,Portland Trail Blazers,117,0,18193.0,Moda Center,Boston Celtics,False
364,Tue Dec 7 2021,10:00p,Boston Celtics,102,Los Angeles Lakers,117,0,18997.0,Crypto.com Arena,Los Angeles Lakers,True
377,Wed Dec 8 2021,10:30p,Boston Celtics,111,Los Angeles Clippers,114,0,17064.0,Crypto.com Arena,Los Angeles Clippers,True
389,Fri Dec 10 2021,10:00p,Boston Celtics,90,Phoenix Suns,111,0,17071.0,Phoenix Suns Arena,Phoenix Suns,True
407,Mon Dec 13 2021,7:30p,Milwaukee Bucks,103,Boston Celtics,117,0,19156.0,TD Garden,Boston Celtics,True
432,Fri Dec 17 2021,7:30p,Golden State Warriors,111,Boston Celtics,107,0,19156.0,TD Garden,Golden State Warriors,False
439,Sat Dec 18 2021,7:00p,New York Knicks,107,Boston Celtics,114,0,19156.0,TD Garden,Boston Celtics,True
451,Mon Dec 20 2021,7:30p,Philadelphia 76ers,108,Boston Celtics,103,0,19156.0,TD Garden,Philadelphia 76ers,False
