,Date,Start (ET),Visitor,PTS,Home,PTS.1,Overtimes,Attend.,Arena,Winner,Home_team_win
6,Wed Oct 20 2021,8:00p,Cleveland Cavaliers,121,Memphis Grizzlies,132,0,15975.0,FedEx Forum,Memphis Grizzlies,True
33,Sat Oct 23 2021,10:30p,Memphis Grizzlies,120,Los Angeles Clippers,114,0,16748.0,Crypto.com Arena,Memphis Grizzlies,False
39,Sun Oct 24 2021,9:30p,Memphis Grizzlies,118,Los Angeles Lakers,121,0,18997.0,Crypto.com Arena,Los Angeles Lakers,True
62,Wed Oct 27 2021,10:00p,Memphis Grizzlies,96,Portland Trail Blazers,116,0,16241.0,Moda Center,Portland Trail Blazers,True
69,Thu Oct 28 2021,10:00p,Memphis Grizzlies,104,Golden State Warriors,101,1,18064.0,Chase Center,Memphis Grizzlies,False
83,Sat Oct 30 2021,8:00p,Miami Heat,129,Memphis Grizzlies,103,0,15989.0,FedEx Forum,Miami Heat,False
99,Mon Nov 1 2021,8:00p,Denver Nuggets,97,Memphis Grizzlies,106,0,12683.0,FedEx Forum,Memphis Grizzlies,True
113,Wed Nov 3 2021,8:00p,Denver Nuggets,106,Memphis Grizzlies,108,0,12977.0,FedEx Forum,Memphis Grizzlies,True
125,Fri Nov 5 2021,7:00p,Memphis Grizzlies,87,Washington Wizards,115,0,16302.0,Capital One Arena,Washington Wizards,True
148,Mon Nov 8 2021,8:00p,Minnesota Timberwolves,118,Memphis Grizzlies,125,1,12416.0,FedEx Forum,Memphis Grizzlies,True
163,Wed Nov 10 2021,8:00p,Charlotte Hornets,118,Memphis Grizzlies,108,0,13880.0,FedEx Forum,Charlotte Hornets,False
177,Fri Nov 12 2021,8:00p,Phoenix Suns,119,Memphis Grizzlies,94,0,15886.0,FedEx Forum,Phoenix Suns,False
186,Sat Nov 13 2021,7:00p,Memphis Grizzlies,101,New Orleans Pelicans,112,0,14358.0,Smoothie King Center,New Orleans Pelicans,True
204,Mon Nov 15 2021,8:00p,Houston Rockets,102,Memphis Grizzlies,136,0,11482.0,FedEx Forum,Memphis Grizzlies,True
225,Thu Nov 18 2021,8:00p,Los Angeles Clippers,108,Memphis Grizzlies,120,0,13419.0,FedEx Forum,Memphis Grizzlies,True
244,Sat Nov 20 2021,8:00p,Memphis Grizzlies,95,Minnesota Timberwolves,138,0,17136.0,Target Center,Minnesota Timberwolves,True
260,Mon Nov 22 2021,9:00p,Memphis Grizzlies,119,Utah Jazz,118,0,18306.0,Vivint Smart Home Arena,Memphis Grizzlies,False
271,Wed Nov 24 2021,8:00p,Toronto Raptors,126,Memphis Grizzlies,113,0,15409.0,FedEx Forum,Toronto Raptors,False
284,Fri Nov 26 2021,8:00p,Atlanta Hawks,132,Memphis Grizzlies,100,0,16622.0,FedEx Forum,Atlanta Hawks,False
