,Date,Start (ET),Visitor,PTS,Home,PTS.1,Overtimes,Attend.,Arena,Winner,Home_team_win
14,Thu Oct 21 2021,8:00p,Milwaukee Bucks,95,Miami Heat,137,0,19600.0,FTX Arena,Miami Heat,True
27,Sat Oct 23 2021,7:00p,Miami Heat,91,Indiana Pacers,102,1,17147.0,Gainbridge Fieldhouse,Indiana Pacers,True
43,Mon Oct 25 2021,7:30p,Orlando Magic,90,Miami Heat,107,0,19600.0,FTX Arena,Miami Heat,True
56,Wed Oct 27 2021,7:30p,Miami Heat,106,Brooklyn Nets,93,0,17732.0,Barclays Center,Miami Heat,False
71,Fri Oct 29 2021,7:30p,Charlotte Hornets,99,Miami Heat,114,0,19600.0,FTX Arena,Miami Heat,True
83,Sat Oct 30 2021,8:00p,Miami Heat,129,Memphis Grizzlies,103,0,15989.0,FedEx Forum,Miami Heat,False
103,Tue Nov 2 2021,7:30p,Miami Heat,125,Dallas Mavericks,110,0,19255.0,American Airlines Center,Miami Heat,False
120,Thu Nov 4 2021,7:30p,Boston Celtics,95,Miami Heat,78,0,19600.0,FTX Arena,Boston Celtics,False
133,Sat Nov 6 2021,7:30p,Utah Jazz,115,Miami Heat,118,0,19600.0,FTX Arena,Miami Heat,True
150,Mon Nov 8 2021,9:00p,Miami Heat,96,Denver Nuggets,113,0,15577.0,Ball Arena,Denver Nuggets,True
169,Wed Nov 10 2021,10:00p,Miami Heat,117,Los Angeles Lakers,120,1,18997.0,Crypto.com Arena,Los Angeles Lakers,True
172,Thu Nov 11 2021,10:30p,Miami Heat,109,Los Angeles Clippers,112,0,16150.0,Crypto.com Arena,Los Angeles Clippers,True
184,Sat Nov 13 2021,5:00p,Miami Heat,111,Utah Jazz,105,0,18306.0,Vivint Smart Home Arena,Miami Heat,False
206,Mon Nov 15 2021,8:00p,Miami Heat,103,Oklahoma City Thunder,90,0,12330.0,Paycom Center,Miami Heat,False
216,Wed Nov 17 2021,7:30p,New Orleans Pelicans,98,Miami Heat,113,0,19600.0,FTX Arena,Miami Heat,True
224,Thu Nov 18 2021,7:30p,Washington Wizards,97,Miami Heat,112,0,19600.0,FTX Arena,Miami Heat,True
240,Sat Nov 20 2021,7:00p,Miami Heat,100,Washington Wizards,103,0,20476.0,Capital One Arena,Washington Wizards,True
