,Date,Start (ET),Visitor,PTS,Home,PTS.1,Overtimes,Attend.,Arena,Winner,Home_team_win
11,Wed Oct 20 2021,10:00p,Sacramento Kings,124,Portland Trail Blazers,121,0,17467.0,Moda Center,Sacramento Kings,False
25,Fri Oct 22 2021,10:00p,Utah Jazz,110,Sacramento Kings,101,0,17583.0,Golden 1 Center,Utah Jazz,False
38,Sun Oct 24 2021,9:00p,Golden State Warriors,119,Sacramento Kings,107,0,13876.0,Golden 1 Center,Golden State Warriors,False
61,Wed Oct 27 2021,10:00p,Sacramento Kings,110,Phoenix Suns,107,0,14678.0,Phoenix Suns Arena,Sacramento Kings,False
73,Fri Oct 29 2021,8:00p,Sacramento Kings,113,New Orleans Pelicans,109,0,17507.0,Smoothie King Center,Sacramento Kings,False
88,Sun Oct 31 2021,3:30p,Sacramento Kings,99,Dallas Mavericks,105,0,19231.0,American Airlines Center,Dallas Mavericks,True
104,Tue Nov 2 2021,9:00p,Sacramento Kings,113,Utah Jazz,119,0,18306.0,Vivint Smart Home Arena,Utah Jazz,True
117,Wed Nov 3 2021,10:00p,New Orleans Pelicans,99,Sacramento Kings,112,0,0.0,Golden 1 Center,Sacramento Kings,True
131,Fri Nov 5 2021,10:00p,Charlotte Hornets,110,Sacramento Kings,140,0,14905.0,Golden 1 Center,Sacramento Kings,True
141,Sun Nov 7 2021,6:00p,Indiana Pacers,94,Sacramento Kings,91,0,12993.0,Golden 1 Center,Indiana Pacers,False
152,Mon Nov 8 2021,10:00p,Phoenix Suns,109,Sacramento Kings,104,0,13566.0,Golden 1 Center,Phoenix Suns,False
165,Wed Nov 10 2021,8:30p,Sacramento Kings,117,San Antonio Spurs,136,0,15065.0,AT&T Center,San Antonio Spurs,True
179,Fri Nov 12 2021,8:00p,Sacramento Kings,103,Oklahoma City Thunder,105,0,12881.0,Paycom Center,Oklahoma City Thunder,True
199,Mon Nov 15 2021,7:00p,Sacramento Kings,129,Detroit Pistons,107,0,10092.0,Little Caesars Arena,Sacramento Kings,False
219,Wed Nov 17 2021,8:00p,Sacramento Kings,97,Minnesota Timberwolves,107,0,13108.0,Target Center,Minnesota Timberwolves,True
237,Fri Nov 19 2021,10:00p,Toronto Raptors,108,Sacramento Kings,89,0,13159.0,Golden 1 Center,Toronto Raptors,False
246,Sat Nov 20 2021,10:00p,Utah Jazz,123,Sacramento Kings,105,0,13180.0,Golden 1 Center,Utah Jazz,False
261,Mon Nov 22 2021,10:00p,Philadelphia 76ers,102,Sacramento Kings,94,0,13948.0,Golden 1 Center,Philadelphia 76ers,False
278,Wed Nov 24 2021,10:00p,Portland Trail Blazers,121,Sacramento Kings,125,0,14997.0,Golden 1 Center,Sacramento Kings,True
290,Fri Nov 26 2021,10:30p,Sacramento Kings,141,Los Angeles Lakers,137,3,18997.0,Crypto.com Arena,Sacramento Kings,False
301,Sun Nov 28 2021,6:00p,Sacramento Kings,101,Memphis Grizzlies,128,0,12844.0,FedEx Forum,Memphis Grizzlies,True
317,Tue Nov 30 2021,10:00p,Los Angeles Lakers,117,Sacramento Kings,92,0,12459.0,Golden 1 Center,Los Angeles Lakers,False
326,Wed Dec 1 2021,10:30p,Sacramento Kings,124,Los Angeles Clippers,115,0,17217.0,Crypto.com Arena,Sacramento Kings,False
347,Sat Dec 4 2021,10:00p,Los Angeles Clippers,99,Sacramento Kings,104,0,15004.0,Golden 1 Center,Sacramento Kings,True
376,Wed Dec 8 2021,10:00p,Orlando Magic,130,Sacramento Kings,142,0,14364.0,Golden 1 Center,Sacramento Kings,True
381,Fri Dec 10 2021,7:00p,Sacramento Kings,123,Charlotte Hornets,124,0,16335.0,Spectrum Center,Charlotte Hornets,True
392,Sat Dec 11 2021,8:00p,Sacramento Kings,103,Cleveland Cavaliers,117,0,19432.0,Rocket Mortgage Fieldhouse,Cleveland Cavaliers,True
405,Mon Dec 13 2021,7:00p,Sacramento Kings,101,Toronto Raptors,124,0,19463.0,Scotiabank Arena,Toronto Raptors,True
424,Wed Dec 15 2021,10:00p,Washington Wizards,105,Sacramento Kings,119,0,13806.0,Golden 1 Center,Sacramento Kings,True
437,Fri Dec 17 2021,10:00p,Memphis Grizzlies,124,Sacramento Kings,105,0,14659.0,Golden 1 Center,Memphis Grizzlies,False
447,Sun Dec 19 2021,6:00p,San Antonio Spurs,114,Sacramento Kings,121,0,15091.0,Golden 1 Center,Sacramento Kings,True
455,Mon Dec 20 2021,10:00p,Sacramento Kings,98,Golden State Warriors,113,0,18064.0,Chase Center,Golden State Warriors,True
466,Wed Dec 22 2021,10:00p,Los Angeles Clippers,105,Sacramento Kings,89,0,15386.0,Golden 1 Center,Los Angeles Clippers,False
485,Sun Dec 26 2021,6:00p,Memphis Grizzlies,127,Sacramento Kings,102,0,15685.0,Golden 1 Center,Memphis Grizzlies,False
505,Tue Dec 28 2021,10:00p,Oklahoma City Thunder,111,Sacramento Kings,117,0,14750.0,Golden 1 Center,Sacramento Kings,True
513,Wed Dec 29 2021,10:30p,Dallas Mavericks,94,Sacramento Kings,95,0,16071.0,Golden 1 Center,Sacramento Kings,True
519,Fri Dec 31 2021,6:00p,Dallas Mavericks,112,Sacramento Kings,96,0,15833.0,Golden 1 Center,Dallas Mavericks,False
536,Sun Jan 2 2022,6:00p,Miami Heat,113,Sacramento Kings,115,0,13699.0,Golden 1 Center,Sacramento Kings,True
554,Tue Jan 4 2022,10:30p,Sacramento Kings,114,Los Angeles Lakers,122,0,17919.0,Crypto.com Arena,Los Angeles Lakers,True
565,Wed Jan 5 2022,10:00p,Atlanta Hawks,108,Sacramento Kings,102,0,13104.0,Golden 1 Center,Atlanta Hawks,False
576,Fri Jan 7 2022,9:00p,Sacramento Kings,111,Denver Nuggets,121,0,15966.0,Ball Arena,Denver Nuggets,True
593,Sun Jan 9 2022,9:00p,Sacramento Kings,88,Portland Trail Blazers,103,0,16408.0,Moda Center,Portland Trail Blazers,True
601,Mon Jan 10 2022,10:00p,Cleveland Cavaliers,109,Sacramento Kings,108,0,12110.0,Golden 1 Center,Cleveland Cavaliers,False
616,Wed Jan 12 2022,10:00p,Los Angeles Lakers,116,Sacramento Kings,125,0,12199.0,Golden 1 Center,Sacramento Kings,True
630,Fri Jan 14 2022,10:00p,Houston Rockets,114,Sacramento Kings,126,0,12857.0,Golden 1 Center,Sacramento Kings,True
