,Date,Start (ET),Visitor,PTS,Home,PTS.1,Overtimes,Attend.,Arena,Winner,Home_team_win
4,Wed Oct 20 2021,7:30p,Boston Celtics,134,New York Knicks,138,2,19812.0,Madison Square Garden (IV),New York Knicks,True
16,Fri Oct 22 2021,7:00p,New York Knicks,121,Orlando Magic,96,0,18846.0,Amway Center,New York Knicks,False
36,Sun Oct 24 2021,7:00p,Orlando Magic,110,New York Knicks,104,0,16273.0,Madison Square Garden (IV),Orlando Magic,False
49,Tue Oct 26 2021,7:30p,Philadelphia 76ers,99,New York Knicks,112,0,15218.0,Madison Square Garden (IV),New York Knicks,True
67,Thu Oct 28 2021,8:00p,New York Knicks,104,Chicago Bulls,103,0,20972.0,United Center,New York Knicks,False
79,Sat Oct 30 2021,7:00p,New York Knicks,123,New Orleans Pelicans,117,0,16508.0,Smoothie King Center,New York Knicks,False
98,Mon Nov 1 2021,7:30p,Toronto Raptors,113,New York Knicks,104,0,16528.0,Madison Square Garden (IV),Toronto Raptors,False
108,Wed Nov 3 2021,7:00p,New York Knicks,98,Indiana Pacers,111,0,11607.0,Gainbridge Fieldhouse,Indiana Pacers,True
126,Fri Nov 5 2021,7:30p,New York Knicks,113,Milwaukee Bucks,98,0,17341.0,Fiserv Forum,New York Knicks,False
139,Sun Nov 7 2021,6:00p,Cleveland Cavaliers,126,New York Knicks,109,0,19040.0,Madison Square Garden (IV),Cleveland Cavaliers,False
146,Mon Nov 8 2021,7:00p,New York Knicks,103,Philadelphia 76ers,96,0,20224.0,Wells Fargo Center,New York Knicks,False
161,Wed Nov 10 2021,7:30p,Milwaukee Bucks,112,New York Knicks,100,0,18027.0,Madison Square Garden (IV),Milwaukee Bucks,False
173,Fri Nov 12 2021,7:00p,New York Knicks,96,Charlotte Hornets,104,0,19257.0,Spectrum Center,Charlotte Hornets,True
202,Mon Nov 15 2021,7:30p,Indiana Pacers,84,New York Knicks,92,0,16792.0,Madison Square Garden (IV),New York Knicks,True
218,Wed Nov 17 2021,7:30p,Orlando Magic,104,New York Knicks,98,0,16680.0,Madison Square Garden (IV),Orlando Magic,False
238,Sat Nov 20 2021,5:00p,Houston Rockets,99,New York Knicks,106,0,19812.0,Madison Square Garden (IV),New York Knicks,True
249,Sun Nov 21 2021,8:00p,New York Knicks,103,Chicago Bulls,109,0,21813.0,United Center,Chicago Bulls,True
263,Tue Nov 23 2021,7:30p,Los Angeles Lakers,100,New York Knicks,106,0,19812.0,Madison Square Garden (IV),New York Knicks,True
