,Date,Start (ET),Visitor,PTS,Home,PTS.1,Overtimes,Attend.,Arena,Winner,Home_team_win
1,Tue Oct 19 2021,10:00p,Golden State Warriors,121,Los Angeles Lakers,114,0,18997.0,Crypto.com Arena,Golden State Warriors,False
24,Fri Oct 22 2021,10:00p,Phoenix Suns,115,Los Angeles Lakers,105,0,18997.0,Crypto.com Arena,Phoenix Suns,False
39,Sun Oct 24 2021,9:30p,Memphis Grizzlies,118,Los Angeles Lakers,121,0,18997.0,Crypto.com Arena,Los Angeles Lakers,True
51,Tue Oct 26 2021,8:30p,Los Angeles Lakers,125,San Antonio Spurs,121,1,18354.0,AT&T Center,Los Angeles Lakers,False
60,Wed Oct 27 2021,8:00p,Los Angeles Lakers,115,Oklahoma City Thunder,123,0,15783.0,Paycom Center,Oklahoma City Thunder,True
76,Fri Oct 29 2021,10:30p,Cleveland Cavaliers,101,Los Angeles Lakers,113,0,18997.0,Crypto.com Arena,Los Angeles Lakers,True
92,Sun Oct 31 2021,10:30p,Houston Rockets,85,Los Angeles Lakers,95,0,16448.0,Crypto.com Arena,Los Angeles Lakers,True
106,Tue Nov 2 2021,10:30p,Houston Rockets,117,Los Angeles Lakers,119,0,18997.0,Crypto.com Arena,Los Angeles Lakers,True
122,Thu Nov 4 2021,10:30p,Oklahoma City Thunder,107,Los Angeles Lakers,104,0,18997.0,Crypto.com Arena,Oklahoma City Thunder,False
137,Sat Nov 6 2021,10:30p,Los Angeles Lakers,90,Portland Trail Blazers,105,0,19393.0,Moda Center,Portland Trail Blazers,True
153,Mon Nov 8 2021,10:30p,Charlotte Hornets,123,Los Angeles Lakers,126,1,18997.0,Crypto.com Arena,Los Angeles Lakers,True
169,Wed Nov 10 2021,10:00p,Miami Heat,117,Los Angeles Lakers,120,1,18997.0,Crypto.com Arena,Los Angeles Lakers,True
183,Fri Nov 12 2021,10:30p,Minnesota Timberwolves,107,Los Angeles Lakers,83,0,18997.0,Crypto.com Arena,Minnesota Timberwolves,False
191,Sun Nov 14 2021,3:30p,San Antonio Spurs,106,Los Angeles Lakers,114,0,18997.0,Crypto.com Arena,Los Angeles Lakers,True
208,Mon Nov 15 2021,10:30p,Chicago Bulls,121,Los Angeles Lakers,103,0,18997.0,Crypto.com Arena,Chicago Bulls,False
217,Wed Nov 17 2021,7:30p,Los Angeles Lakers,102,Milwaukee Bucks,109,0,17341.0,Fiserv Forum,Milwaukee Bucks,True
231,Fri Nov 19 2021,7:30p,Los Angeles Lakers,108,Boston Celtics,130,0,19156.0,TD Garden,Boston Celtics,True
248,Sun Nov 21 2021,6:00p,Los Angeles Lakers,121,Detroit Pistons,116,0,15532.0,Little Caesars Arena,Los Angeles Lakers,False
263,Tue Nov 23 2021,7:30p,Los Angeles Lakers,100,New York Knicks,106,0,19812.0,Madison Square Garden (IV),New York Knicks,True
267,Wed Nov 24 2021,7:00p,Los Angeles Lakers,124,Indiana Pacers,116,1,15572.0,Gainbridge Fieldhouse,Los Angeles Lakers,False
290,Fri Nov 26 2021,10:30p,Sacramento Kings,141,Los Angeles Lakers,137,3,18997.0,Crypto.com Arena,Sacramento Kings,False
303,Sun Nov 28 2021,9:30p,Detroit Pistons,106,Los Angeles Lakers,110,0,18997.0,Crypto.com Arena,Los Angeles Lakers,True
317,Tue Nov 30 2021,10:00p,Los Angeles Lakers,117,Sacramento Kings,92,0,12459.0,Golden 1 Center,Los Angeles Lakers,False
340,Fri Dec 3 2021,10:00p,Los Angeles Clippers,119,Los Angeles Lakers,115,0,18997.0,Crypto.com Arena,Los Angeles Clippers,False
364,Tue Dec 7 2021,10:00p,Boston Celtics,102,Los Angeles Lakers,117,0,18997.0,Crypto.com Arena,Los Angeles Lakers,True
379,Thu Dec 9 2021,8:00p,Los Angeles Lakers,95,Memphis Grizzlies,108,0,16334.0,FedEx Forum,Memphis Grizzlies,True
388,Fri Dec 10 2021,8:00p,Los Angeles Lakers,116,Oklahoma City Thunder,95,0,16523.0,Paycom Center,Los Angeles Lakers,False
