,Date,Start (ET),Visitor,PTS,Home,PTS.1,Overtimes,Attend.,Arena,Winner,Home_team_win
2,Wed Oct 20 2021,7:00p,Indiana Pacers,122,Charlotte Hornets,123,0,15521.0,Spectrum Center,Charlotte Hornets,True
17,Fri Oct 22 2021,7:00p,Indiana Pacers,134,Washington Wizards,135,1,15407.0,Capital One Arena,Washington Wizards,True
27,Sat Oct 23 2021,7:00p,Miami Heat,91,Indiana Pacers,102,1,17147.0,Gainbridge Fieldhouse,Indiana Pacers,True
41,Mon Oct 25 2021,7:00p,Milwaukee Bucks,119,Indiana Pacers,109,0,10339.0,Gainbridge Fieldhouse,Milwaukee Bucks,False
57,Wed Oct 27 2021,7:30p,Indiana Pacers,100,Toronto Raptors,118,0,19800.0,Scotiabank Arena,Toronto Raptors,True
72,Fri Oct 29 2021,7:30p,Indiana Pacers,98,Brooklyn Nets,105,0,16139.0,Barclays Center,Brooklyn Nets,True
80,Sat Oct 30 2021,7:30p,Toronto Raptors,97,Indiana Pacers,94,0,10578.0,Gainbridge Fieldhouse,Toronto Raptors,False
94,Mon Nov 1 2021,7:00p,San Antonio Spurs,118,Indiana Pacers,131,0,10227.0,Gainbridge Fieldhouse,Indiana Pacers,True
108,Wed Nov 3 2021,7:00p,New York Knicks,98,Indiana Pacers,111,0,11607.0,Gainbridge Fieldhouse,Indiana Pacers,True
130,Fri Nov 5 2021,10:00p,Indiana Pacers,106,Portland Trail Blazers,110,0,16841.0,Moda Center,Portland Trail Blazers,True
141,Sun Nov 7 2021,6:00p,Indiana Pacers,94,Sacramento Kings,91,0,12993.0,Golden 1 Center,Indiana Pacers,False
166,Wed Nov 10 2021,9:00p,Indiana Pacers,98,Denver Nuggets,101,0,15232.0,Ball Arena,Denver Nuggets,True
171,Thu Nov 11 2021,9:00p,Indiana Pacers,111,Utah Jazz,100,0,18306.0,Vivint Smart Home Arena,Indiana Pacers,False
185,Sat Nov 13 2021,7:00p,Philadelphia 76ers,113,Indiana Pacers,118,0,14483.0,Gainbridge Fieldhouse,Indiana Pacers,True
202,Mon Nov 15 2021,7:30p,Indiana Pacers,84,New York Knicks,92,0,16792.0,Madison Square Garden (IV),New York Knicks,True
213,Wed Nov 17 2021,7:00p,Indiana Pacers,89,Detroit Pistons,97,0,11457.0,Little Caesars Arena,Detroit Pistons,True
229,Fri Nov 19 2021,7:00p,Indiana Pacers,118,Charlotte Hornets,121,0,16787.0,Spectrum Center,Charlotte Hornets,True
239,Sat Nov 20 2021,7:00p,New Orleans Pelicans,94,Indiana Pacers,111,0,15081.0,Gainbridge Fieldhouse,Indiana Pacers,True
256,Mon Nov 22 2021,8:00p,Indiana Pacers,109,Chicago Bulls,77,0,21586.0,United Center,Indiana Pacers,False
267,Wed Nov 24 2021,7:00p,Los Angeles Lakers,124,Indiana Pacers,116,1,15572.0,Gainbridge Fieldhouse,Los Angeles Lakers,False
283,Fri Nov 26 2021,8:00p,Toronto Raptors,97,Indiana Pacers,114,0,13508.0,Gainbridge Fieldhouse,Indiana Pacers,True
300,Sun Nov 28 2021,5:00p,Milwaukee Bucks,118,Indiana Pacers,100,0,13130.0,Gainbridge Fieldhouse,Milwaukee Bucks,False
308,Mon Nov 29 2021,8:00p,Indiana Pacers,98,Minnesota Timberwolves,100,0,14191.0,Target Center,Minnesota Timberwolves,True
318,Wed Dec 1 2021,7:00p,Atlanta Hawks,114,Indiana Pacers,111,0,12656.0,Gainbridge Fieldhouse,Atlanta Hawks,False
332,Fri Dec 3 2021,7:00p,Miami Heat,113,Indiana Pacers,104,0,13854.0,Gainbridge Fieldhouse,Miami Heat,False
354,Mon Dec 6 2021,7:00p,Washington Wizards,110,Indiana Pacers,116,0,12581.0,Gainbridge Fieldhouse,Indiana Pacers,True
368,Wed Dec 8 2021,7:00p,New York Knicks,102,Indiana Pacers,122,0,13167.0,Gainbridge Fieldhouse,Indiana Pacers,True
382,Fri Dec 10 2021,7:00p,Dallas Mavericks,93,Indiana Pacers,106,0,12618.0,Gainbridge Fieldhouse,Indiana Pacers,True
404,Mon Dec 13 2021,7:00p,Golden State Warriors,102,Indiana Pacers,100,0,17018.0,Gainbridge Fieldhouse,Golden State Warriors,False
419,Wed Dec 15 2021,8:00p,Indiana Pacers,99,Milwaukee Bucks,114,0,17341.0,Fiserv Forum,Milwaukee Bucks,True
426,Thu Dec 16 2021,7:00p,Detroit Pistons,113,Indiana Pacers,122,0,13596.0,Gainbridge Fieldhouse,Indiana Pacers,True
457,Tue Dec 21 2021,7:30p,Indiana Pacers,96,Miami Heat,125,0,19600.0,FTX Arena,Miami Heat,True
467,Thu Dec 23 2021,7:00p,Houston Rockets,106,Indiana Pacers,118,0,15089.0,Gainbridge Fieldhouse,Indiana Pacers,True
489,Sun Dec 26 2021,8:00p,Indiana Pacers,105,Chicago Bulls,113,0,20475.0,United Center,Chicago Bulls,True
507,Wed Dec 29 2021,7:00p,Charlotte Hornets,116,Indiana Pacers,108,0,17608.0,Gainbridge Fieldhouse,Charlotte Hornets,False
518,Fri Dec 31 2021,3:00p,Chicago Bulls,108,Indiana Pacers,106,0,17515.0,Gainbridge Fieldhouse,Chicago Bulls,False
535,Sun Jan 2 2022,6:00p,Indiana Pacers,104,Cleveland Cavaliers,108,0,17808.0,Rocket Mortgage Fieldhouse,Cleveland Cavaliers,True
552,Tue Jan 4 2022,7:30p,Indiana Pacers,94,New York Knicks,104,0,18449.0,Madison Square Garden (IV),New York Knicks,True
560,Wed Jan 5 2022,7:30p,Brooklyn Nets,129,Indiana Pacers,121,0,14176.0,Gainbridge Fieldhouse,Brooklyn Nets,False
582,Sat Jan 8 2022,7:00p,Utah Jazz,113,Indiana Pacers,125,0,13160.0,Gainbridge Fieldhouse,Indiana Pacers,True
597,Mon Jan 10 2022,7:30p,Indiana Pacers,98,Boston Celtics,101,1,19156.0,TD Garden,Boston Celtics,True
608,Wed Jan 12 2022,7:00p,Boston Celtics,119,Indiana Pacers,100,0,13560.0,Gainbridge Fieldhouse,Boston Celtics,False
624,Fri Jan 14 2022,7:00p,Phoenix Suns,112,Indiana Pacers,94,0,14019.0,Gainbridge Fieldhouse,Phoenix Suns,False
649,Mon Jan 17 2022,3:30p,Indiana Pacers,133,Los Angeles Clippers,139,0,15080.0,Crypto.com Arena,Los Angeles Clippers,True
671,Wed Jan 19 2022,10:30p,Indiana Pacers,111,Los Angeles Lakers,104,0,17818.0,Crypto.com Arena,Indiana Pacers,False
674,Thu Jan 20 2022,10:00p,Indiana Pacers,121,Golden State Warriors,117,1,18064.0,Chase Center,Indiana Pacers,False
