,Date,Start (ET),Visitor,PTS,Home,PTS.1,Overtimes,Attend.,Arena,Winner,Home_team_win
8,Wed Oct 20 2021,8:00p,Philadelphia 76ers,117,New Orleans Pelicans,97,0,12845.0,Smoothie King Center,Philadelphia 76ers,False
22,Fri Oct 22 2021,8:00p,New Orleans Pelicans,112,Chicago Bulls,128,0,20995.0,United Center,Chicago Bulls,True
30,Sat Oct 23 2021,8:00p,New Orleans Pelicans,89,Minnesota Timberwolves,96,0,15343.0,Target Center,Minnesota Timberwolves,True
46,Mon Oct 25 2021,8:00p,New Orleans Pelicans,107,Minnesota Timberwolves,98,0,14435.0,Target Center,New Orleans Pelicans,False
58,Wed Oct 27 2021,7:30p,Atlanta Hawks,102,New Orleans Pelicans,99,0,15541.0,Smoothie King Center,Atlanta Hawks,False
73,Fri Oct 29 2021,8:00p,Sacramento Kings,113,New Orleans Pelicans,109,0,17507.0,Smoothie King Center,Sacramento Kings,False
79,Sat Oct 30 2021,7:00p,New York Knicks,123,New Orleans Pelicans,117,0,16508.0,Smoothie King Center,New York Knicks,False
105,Tue Nov 2 2021,10:00p,New Orleans Pelicans,100,Phoenix Suns,112,0,14323.0,Phoenix Suns Arena,Phoenix Suns,True
117,Wed Nov 3 2021,10:00p,New Orleans Pelicans,99,Sacramento Kings,112,0,0.0,Golden 1 Center,Sacramento Kings,True
129,Fri Nov 5 2021,10:00p,New Orleans Pelicans,85,Golden State Warriors,126,0,18064.0,Chase Center,Golden State Warriors,True
149,Mon Nov 8 2021,8:30p,New Orleans Pelicans,92,Dallas Mavericks,108,0,19231.0,American Airlines Center,Dallas Mavericks,True
164,Wed Nov 10 2021,8:00p,Oklahoma City Thunder,108,New Orleans Pelicans,100,0,15355.0,Smoothie King Center,Oklahoma City Thunder,False
178,Fri Nov 12 2021,8:00p,Brooklyn Nets,120,New Orleans Pelicans,112,0,14650.0,Smoothie King Center,Brooklyn Nets,False
186,Sat Nov 13 2021,7:00p,Memphis Grizzlies,101,New Orleans Pelicans,112,0,14358.0,Smoothie King Center,New Orleans Pelicans,True
200,Mon Nov 15 2021,7:00p,New Orleans Pelicans,100,Washington Wizards,105,0,13914.0,Capital One Arena,Washington Wizards,True
216,Wed Nov 17 2021,7:30p,New Orleans Pelicans,98,Miami Heat,113,0,19600.0,FTX Arena,Miami Heat,True
234,Fri Nov 19 2021,8:00p,Los Angeles Clippers,81,New Orleans Pelicans,94,0,15274.0,Smoothie King Center,New Orleans Pelicans,True
239,Sat Nov 20 2021,7:00p,New Orleans Pelicans,94,Indiana Pacers,111,0,15081.0,Gainbridge Fieldhouse,Indiana Pacers,True
258,Mon Nov 22 2021,8:00p,Minnesota Timberwolves,110,New Orleans Pelicans,96,0,15689.0,Smoothie King Center,Minnesota Timberwolves,False
274,Wed Nov 24 2021,8:00p,Washington Wizards,102,New Orleans Pelicans,127,0,14659.0,Smoothie King Center,New Orleans Pelicans,True
288,Fri Nov 26 2021,9:00p,New Orleans Pelicans,98,Utah Jazz,97,0,18306.0,Vivint Smart Home Arena,New Orleans Pelicans,False
