,Date,Start (ET),Visitor,PTS,Home,PTS.1,Overtimes,Attend.,Arena,Winner,Home_team_win
8,Wed Oct 20 2021,8:00p,Philadelphia 76ers,117,New Orleans Pelicans,97,0,12845.0,Smoothie King Center,Philadelphia 76ers,False
20,Fri Oct 22 2021,7:30p,Brooklyn Nets,114,Philadelphia 76ers,109,0,20367.0,Wells Fargo Center,Brooklyn Nets,False
37,Sun Oct 24 2021,7:00p,Philadelphia 76ers,115,Oklahoma City Thunder,103,0,14256.0,Paycom Center,Philadelphia 76ers,False
49,Tue Oct 26 2021,7:30p,Philadelphia 76ers,99,New York Knicks,112,0,15218.0,Madison Square Garden (IV),New York Knicks,True
65,Thu Oct 28 2021,7:00p,Detroit Pistons,102,Philadelphia 76ers,110,0,20017.0,Wells Fargo Center,Philadelphia 76ers,True
81,Sat Oct 30 2021,7:30p,Atlanta Hawks,94,Philadelphia 76ers,122,0,20031.0,Wells Fargo Center,Philadelphia 76ers,True
95,Mon Nov 1 2021,7:00p,Portland Trail Blazers,103,Philadelphia 76ers,113,0,20115.0,Wells Fargo Center,Philadelphia 76ers,True
110,Wed Nov 3 2021,7:00p,Chicago Bulls,98,Philadelphia 76ers,103,0,20438.0,Wells Fargo Center,Philadelphia 76ers,True
118,Thu Nov 4 2021,7:00p,Philadelphia 76ers,109,Detroit Pistons,98,0,8702.0,Little Caesars Arena,Philadelphia 76ers,False
134,Sat Nov 6 2021,8:00p,Philadelphia 76ers,114,Chicago Bulls,105,0,20936.0,United Center,Philadelphia 76ers,False
146,Mon Nov 8 2021,7:00p,New York Knicks,103,Philadelphia 76ers,96,0,20224.0,Wells Fargo Center,New York Knicks,False
154,Tue Nov 9 2021,7:30p,Milwaukee Bucks,118,Philadelphia 76ers,109,0,20029.0,Wells Fargo Center,Milwaukee Bucks,False
170,Thu Nov 11 2021,7:00p,Toronto Raptors,115,Philadelphia 76ers,109,0,20112.0,Wells Fargo Center,Toronto Raptors,False
185,Sat Nov 13 2021,7:00p,Philadelphia 76ers,113,Indiana Pacers,118,0,14483.0,Gainbridge Fieldhouse,Indiana Pacers,True
