,Date,Start (ET),Visitor,PTS,Home,PTS.1,Overtimes,Attend.,Arena,Winner,Home_team_win
3,Wed Oct 20 2021,7:00p,Chicago Bulls,94,Detroit Pistons,88,0,20088.0,Little Caesars Arena,Chicago Bulls,False
29,Sat Oct 23 2021,8:00p,Detroit Pistons,82,Chicago Bulls,97,0,18888.0,United Center,Chicago Bulls,True
45,Mon Oct 25 2021,7:30p,Detroit Pistons,104,Atlanta Hawks,122,0,14209.0,State Farm Arena,Atlanta Hawks,True
65,Thu Oct 28 2021,7:00p,Detroit Pistons,102,Philadelphia 76ers,110,0,20017.0,Wells Fargo Center,Philadelphia 76ers,True
78,Sat Oct 30 2021,7:00p,Orlando Magic,103,Detroit Pistons,110,0,11423.0,Little Caesars Arena,Detroit Pistons,True
91,Sun Oct 31 2021,7:30p,Detroit Pistons,91,Brooklyn Nets,117,0,13507.0,Barclays Center,Brooklyn Nets,True
102,Tue Nov 2 2021,7:00p,Milwaukee Bucks,117,Detroit Pistons,89,0,9254.0,Little Caesars Arena,Milwaukee Bucks,False
118,Thu Nov 4 2021,7:00p,Philadelphia 76ers,109,Detroit Pistons,98,0,8702.0,Little Caesars Arena,Philadelphia 76ers,False
123,Fri Nov 5 2021,7:00p,Brooklyn Nets,96,Detroit Pistons,90,0,14235.0,Little Caesars Arena,Brooklyn Nets,False
160,Wed Nov 10 2021,7:30p,Detroit Pistons,112,Houston Rockets,104,0,15350.0,Toyota Center,Detroit Pistons,False
175,Fri Nov 12 2021,7:30p,Detroit Pistons,78,Cleveland Cavaliers,98,0,17095.0,Rocket Mortgage Fieldhouse,Cleveland Cavaliers,True
188,Sat Nov 13 2021,7:30p,Detroit Pistons,127,Toronto Raptors,121,0,19800.0,Scotiabank Arena,Detroit Pistons,False
199,Mon Nov 15 2021,7:00p,Sacramento Kings,129,Detroit Pistons,107,0,10092.0,Little Caesars Arena,Sacramento Kings,False
213,Wed Nov 17 2021,7:00p,Indiana Pacers,89,Detroit Pistons,97,0,11457.0,Little Caesars Arena,Detroit Pistons,True
230,Fri Nov 19 2021,7:00p,Golden State Warriors,105,Detroit Pistons,102,0,20088.0,Little Caesars Arena,Golden State Warriors,False
248,Sun Nov 21 2021,6:00p,Los Angeles Lakers,121,Detroit Pistons,116,0,15532.0,Little Caesars Arena,Los Angeles Lakers,False
262,Tue Nov 23 2021,7:00p,Miami Heat,100,Detroit Pistons,92,0,13123.0,Little Caesars Arena,Miami Heat,False
272,Wed Nov 24 2021,8:00p,Detroit Pistons,93,Milwaukee Bucks,114,0,17341.0,Fiserv Forum,Milwaukee Bucks,True
