,Date,Start (ET),Visitor,PTS,Home,PTS.1,Overtimes,Attend.,Arena,Winner,Home_team_win
7,Wed Oct 20 2021,8:00p,Houston Rockets,106,Minnesota Timberwolves,124,0,16079.0,Target Center,Minnesota Timberwolves,True
21,Fri Oct 22 2021,8:00p,Oklahoma City Thunder,91,Houston Rockets,124,0,15674.0,Toyota Center,Houston Rockets,True
35,Sun Oct 24 2021,7:00p,Boston Celtics,107,Houston Rockets,97,0,16069.0,Toyota Center,Boston Celtics,False
52,Tue Oct 26 2021,8:30p,Houston Rockets,106,Dallas Mavericks,116,0,19337.0,American Airlines Center,Dallas Mavericks,True
66,Thu Oct 28 2021,8:00p,Utah Jazz,122,Houston Rockets,91,0,15858.0,Toyota Center,Utah Jazz,False
92,Sun Oct 31 2021,10:30p,Houston Rockets,85,Los Angeles Lakers,95,0,16448.0,Crypto.com Arena,Los Angeles Lakers,True
106,Tue Nov 2 2021,10:30p,Houston Rockets,117,Los Angeles Lakers,119,0,18997.0,Crypto.com Arena,Los Angeles Lakers,True
121,Thu Nov 4 2021,10:00p,Houston Rockets,111,Phoenix Suns,123,0,15058.0,Phoenix Suns Arena,Phoenix Suns,True
132,Sat Nov 6 2021,5:00p,Houston Rockets,94,Denver Nuggets,95,0,16046.0,Ball Arena,Denver Nuggets,True
144,Sun Nov 7 2021,8:30p,Houston Rockets,107,Golden State Warriors,120,0,18064.0,Chase Center,Golden State Warriors,True
160,Wed Nov 10 2021,7:30p,Detroit Pistons,112,Houston Rockets,104,0,15350.0,Toyota Center,Detroit Pistons,False
176,Fri Nov 12 2021,8:00p,Portland Trail Blazers,104,Houston Rockets,92,0,15468.0,Toyota Center,Portland Trail Blazers,False
194,Sun Nov 14 2021,7:00p,Phoenix Suns,115,Houston Rockets,89,0,16088.0,Toyota Center,Phoenix Suns,False
204,Mon Nov 15 2021,8:00p,Houston Rockets,102,Memphis Grizzlies,136,0,11482.0,FedEx Forum,Memphis Grizzlies,True
220,Wed Nov 17 2021,8:00p,Houston Rockets,89,Oklahoma City Thunder,101,0,12066.0,Paycom Center,Oklahoma City Thunder,True
238,Sat Nov 20 2021,5:00p,Houston Rockets,99,New York Knicks,106,0,19812.0,Madison Square Garden (IV),New York Knicks,True
255,Mon Nov 22 2021,7:30p,Houston Rockets,90,Boston Celtics,108,0,19156.0,TD Garden,Boston Celtics,True
270,Wed Nov 24 2021,8:00p,Chicago Bulls,113,Houston Rockets,118,0,16074.0,Toyota Center,Houston Rockets,True
296,Sat Nov 27 2021,8:00p,Charlotte Hornets,143,Houston Rockets,146,1,14687.0,Toyota Center,Houston Rockets,True
307,Mon Nov 29 2021,8:00p,Oklahoma City Thunder,89,Houston Rockets,102,0,12829.0,Toyota Center,Houston Rockets,True
325,Wed Dec 1 2021,8:00p,Houston Rockets,114,Oklahoma City Thunder,110,0,13222.0,Paycom Center,Houston Rockets,False
336,Fri Dec 3 2021,8:00p,Orlando Magic,116,Houston Rockets,118,0,13697.0,Toyota Center,Houston Rockets,True
351,Sun Dec 5 2021,7:00p,New Orleans Pelicans,108,Houston Rockets,118,0,14771.0,Toyota Center,Houston Rockets,True
371,Wed Dec 8 2021,8:00p,Brooklyn Nets,104,Houston Rockets,114,0,15834.0,Toyota Center,Houston Rockets,True
385,Fri Dec 10 2021,8:00p,Milwaukee Bucks,123,Houston Rockets,114,0,16319.0,Toyota Center,Milwaukee Bucks,False
393,Sat Dec 11 2021,8:00p,Houston Rockets,106,Memphis Grizzlies,113,0,17794.0,FedEx Forum,Memphis Grizzlies,True
406,Mon Dec 13 2021,7:30p,Houston Rockets,132,Atlanta Hawks,126,0,14456.0,State Farm Arena,Houston Rockets,False
415,Wed Dec 15 2021,7:00p,Houston Rockets,89,Cleveland Cavaliers,124,0,17131.0,Rocket Mortgage Fieldhouse,Cleveland Cavaliers,True
428,Thu Dec 16 2021,8:00p,New York Knicks,116,Houston Rockets,103,0,13857.0,Toyota Center,New York Knicks,False
