,Date,Start (ET),Visitor,PTS,Home,PTS.1,Overtimes,Attend.,Arena,Winner,Home_team_win
12,Wed Oct 20 2021,10:00p,Denver Nuggets,110,Phoenix Suns,98,0,16074.0,Phoenix Suns Arena,Denver Nuggets,False
24,Fri Oct 22 2021,10:00p,Phoenix Suns,115,Los Angeles Lakers,105,0,18997.0,Crypto.com Arena,Phoenix Suns,False
32,Sat Oct 23 2021,10:00p,Phoenix Suns,105,Portland Trail Blazers,134,0,18558.0,Moda Center,Portland Trail Blazers,True
61,Wed Oct 27 2021,10:00p,Sacramento Kings,110,Phoenix Suns,107,0,14678.0,Phoenix Suns Arena,Sacramento Kings,False
87,Sat Oct 30 2021,10:00p,Cleveland Cavaliers,92,Phoenix Suns,101,0,14516.0,Phoenix Suns Arena,Phoenix Suns,True
105,Tue Nov 2 2021,10:00p,New Orleans Pelicans,100,Phoenix Suns,112,0,14323.0,Phoenix Suns Arena,Phoenix Suns,True
121,Thu Nov 4 2021,10:00p,Houston Rockets,111,Phoenix Suns,123,0,15058.0,Phoenix Suns Arena,Phoenix Suns,True
136,Sat Nov 6 2021,10:00p,Atlanta Hawks,117,Phoenix Suns,121,0,15412.0,Phoenix Suns Arena,Phoenix Suns,True
152,Mon Nov 8 2021,10:00p,Phoenix Suns,109,Sacramento Kings,104,0,13566.0,Golden 1 Center,Phoenix Suns,False
167,Wed Nov 10 2021,9:00p,Portland Trail Blazers,109,Phoenix Suns,119,0,15672.0,Phoenix Suns Arena,Phoenix Suns,True
177,Fri Nov 12 2021,8:00p,Phoenix Suns,119,Memphis Grizzlies,94,0,15886.0,FedEx Forum,Phoenix Suns,False
194,Sun Nov 14 2021,7:00p,Phoenix Suns,115,Houston Rockets,89,0,16088.0,Toyota Center,Phoenix Suns,False
205,Mon Nov 15 2021,8:00p,Phoenix Suns,99,Minnesota Timberwolves,96,0,16274.0,Target Center,Phoenix Suns,False
221,Wed Nov 17 2021,10:00p,Dallas Mavericks,98,Phoenix Suns,105,0,14838.0,Phoenix Suns Arena,Phoenix Suns,True
236,Fri Nov 19 2021,10:00p,Dallas Mavericks,104,Phoenix Suns,112,0,17071.0,Phoenix Suns Arena,Phoenix Suns,True
250,Sun Nov 21 2021,8:00p,Denver Nuggets,97,Phoenix Suns,126,0,16072.0,Phoenix Suns Arena,Phoenix Suns,True
259,Mon Nov 22 2021,8:30p,Phoenix Suns,115,San Antonio Spurs,111,0,14715.0,AT&T Center,Phoenix Suns,False
266,Wed Nov 24 2021,7:00p,Phoenix Suns,120,Cleveland Cavaliers,115,0,18055.0,Rocket Mortgage Fieldhouse,Phoenix Suns,False
281,Fri Nov 26 2021,7:00p,Phoenix Suns,118,New York Knicks,97,0,19812.0,Madison Square Garden (IV),Phoenix Suns,False
293,Sat Nov 27 2021,7:30p,Phoenix Suns,113,Brooklyn Nets,107,0,18071.0,Barclays Center,Phoenix Suns,False
315,Tue Nov 30 2021,10:00p,Golden State Warriors,96,Phoenix Suns,104,0,17071.0,Phoenix Suns Arena,Phoenix Suns,True
330,Thu Dec 2 2021,9:00p,Detroit Pistons,103,Phoenix Suns,114,0,0.0,Phoenix Suns Arena,Phoenix Suns,True
339,Fri Dec 3 2021,10:00p,Phoenix Suns,96,Golden State Warriors,118,0,18064.0,Chase Center,Golden State Warriors,True
359,Mon Dec 6 2021,9:00p,San Antonio Spurs,104,Phoenix Suns,108,0,15292.0,Phoenix Suns Arena,Phoenix Suns,True
389,Fri Dec 10 2021,10:00p,Boston Celtics,90,Phoenix Suns,111,0,17071.0,Phoenix Suns Arena,Phoenix Suns,True
411,Mon Dec 13 2021,10:30p,Phoenix Suns,95,Los Angeles Clippers,111,0,17909.0,Crypto.com Arena,Los Angeles Clippers,True
414,Tue Dec 14 2021,10:00p,Phoenix Suns,111,Portland Trail Blazers,107,1,16184.0,Moda Center,Phoenix Suns,False
429,Thu Dec 16 2021,9:00p,Washington Wizards,98,Phoenix Suns,118,0,16177.0,Phoenix Suns Arena,Phoenix Suns,True
450,Sun Dec 19 2021,8:00p,Charlotte Hornets,106,Phoenix Suns,137,0,17071.0,Phoenix Suns Arena,Phoenix Suns,True
461,Tue Dec 21 2021,10:00p,Phoenix Suns,108,Los Angeles Lakers,90,0,18997.0,Crypto.com Arena,Phoenix Suns,False
474,Thu Dec 23 2021,9:00p,Oklahoma City Thunder,101,Phoenix Suns,113,0,17071.0,Phoenix Suns Arena,Phoenix Suns,True
480,Sat Dec 25 2021,5:00p,Golden State Warriors,116,Phoenix Suns,107,0,17071.0,Phoenix Suns Arena,Golden State Warriors,False
495,Mon Dec 27 2021,9:00p,Memphis Grizzlies,114,Phoenix Suns,113,0,17071.0,Phoenix Suns Arena,Memphis Grizzlies,False
511,Wed Dec 29 2021,9:00p,Oklahoma City Thunder,97,Phoenix Suns,115,0,17071.0,Phoenix Suns Arena,Phoenix Suns,True
517,Fri Dec 31 2021,1:00p,Phoenix Suns,108,Boston Celtics,123,0,19156.0,TD Garden,Boston Celtics,True
537,Sun Jan 2 2022,7:00p,Phoenix Suns,133,Charlotte Hornets,99,0,19088.0,Spectrum Center,Phoenix Suns,False
553,Tue Jan 4 2022,8:00p,Phoenix Suns,123,New Orleans Pelicans,110,0,15158.0,Smoothie King Center,Phoenix Suns,False
569,Thu Jan 6 2022,10:00p,Los Angeles Clippers,89,Phoenix Suns,106,0,17071.0,Phoenix Suns Arena,Phoenix Suns,True
584,Sat Jan 8 2022,9:00p,Miami Heat,123,Phoenix Suns,100,0,17071.0,Phoenix Suns Arena,Miami Heat,False
603,Tue Jan 11 2022,7:30p,Phoenix Suns,99,Toronto Raptors,95,0,0.0,Scotiabank Arena,Phoenix Suns,False
624,Fri Jan 14 2022,7:00p,Phoenix Suns,112,Indiana Pacers,94,0,14019.0,Gainbridge Fieldhouse,Phoenix Suns,False
641,Sun Jan 16 2022,1:00p,Phoenix Suns,135,Detroit Pistons,108,0,18178.0,Little Caesars Arena,Phoenix Suns,False
655,Mon Jan 17 2022,8:30p,Phoenix Suns,121,San Antonio Spurs,107,0,10422.0,AT&T Center,Phoenix Suns,False
672,Thu Jan 20 2022,7:30p,Phoenix Suns,109,Dallas Mavericks,101,0,18306.0,American Airlines Center,Phoenix Suns,False
688,Sat Jan 22 2022,9:00p,Indiana Pacers,103,Phoenix Suns,113,0,17071.0,Phoenix Suns Arena,Phoenix Suns,True
703,Mon Jan 24 2022,9:00p,Utah Jazz,109,Phoenix Suns,115,0,17071.0,Phoenix Suns Arena,Phoenix Suns,True
722,Wed Jan 26 2022,10:00p,Phoenix Suns,105,Utah Jazz,97,0,18306.0,Vivint Smart Home Arena,Phoenix Suns,False
734,Fri Jan 28 2022,9:00p,Minnesota Timberwolves,124,Phoenix Suns,134,0,17071.0,Phoenix Suns Arena,Phoenix Suns,True
749,Sun Jan 30 2022,8:00p,San Antonio Spurs,110,Phoenix Suns,115,0,17071.0,Phoenix Suns Arena,Phoenix Suns,True
764,Tue Feb 1 2022,10:00p,Brooklyn Nets,111,Phoenix Suns,121,0,17071.0,Phoenix Suns Arena,Phoenix Suns,True
776,Thu Feb 3 2022,7:30p,Phoenix Suns,115,Atlanta Hawks,124,0,16958.0,State Farm Arena,Atlanta Hawks,True
791,Sat Feb 5 2022,7:00p,Phoenix Suns,95,Washington Wizards,80,0,18058.0,Capital One Arena,Phoenix Suns,False
805,Mon Feb 7 2022,8:00p,Phoenix Suns,127,Chicago Bulls,124,0,20615.0,United Center,Phoenix Suns,False
808,Tue Feb 8 2022,7:00p,Phoenix Suns,114,Philadelphia 76ers,109,0,20720.0,Wells Fargo Center,Phoenix Suns,False
830,Thu Feb 10 2022,10:00p,Milwaukee Bucks,107,Phoenix Suns,131,0,17071.0,Phoenix Suns Arena,Phoenix Suns,True
848,Sat Feb 12 2022,9:00p,Orlando Magic,105,Phoenix Suns,132,0,17071.0,Phoenix Suns Arena,Phoenix Suns,True
866,Tue Feb 15 2022,10:00p,Los Angeles Clippers,96,Phoenix Suns,103,0,17071.0,Phoenix Suns Arena,Phoenix Suns,True
875,Wed Feb 16 2022,9:00p,Houston Rockets,121,Phoenix Suns,124,0,17071.0,Phoenix Suns Arena,Phoenix Suns,True
887,Thu Feb 24 2022,8:00p,Phoenix Suns,124,Oklahoma City Thunder,104,0,14176.0,Paycom Center,Phoenix Suns,False
896,Fri Feb 25 2022,9:00p,New Orleans Pelicans,117,Phoenix Suns,102,0,17071.0,Phoenix Suns Arena,New Orleans Pelicans,False
907,Sun Feb 27 2022,3:30p,Utah Jazz,118,Phoenix Suns,114,0,17071.0,Phoenix Suns Arena,Utah Jazz,False
934,Wed Mar 2 2022,10:00p,Portland Trail Blazers,90,Phoenix Suns,120,0,17071.0,Phoenix Suns Arena,Phoenix Suns,True
950,Fri Mar 4 2022,10:00p,New York Knicks,114,Phoenix Suns,115,0,17071.0,Phoenix Suns Arena,Phoenix Suns,True
958,Sun Mar 6 2022,3:30p,Phoenix Suns,122,Milwaukee Bucks,132,0,17495.0,Fiserv Forum,Milwaukee Bucks,True
975,Tue Mar 8 2022,7:00p,Phoenix Suns,102,Orlando Magic,99,0,14024.0,Amway Center,Phoenix Suns,False
981,Wed Mar 9 2022,7:30p,Phoenix Suns,111,Miami Heat,90,0,19600.0,FTX Arena,Phoenix Suns,False
1001,Fri Mar 11 2022,9:00p,Toronto Raptors,117,Phoenix Suns,112,0,17071.0,Phoenix Suns Arena,Toronto Raptors,False
1017,Sun Mar 13 2022,9:00p,Los Angeles Lakers,111,Phoenix Suns,140,0,17071.0,Phoenix Suns Arena,Phoenix Suns,True
