,Date,Start (ET),Visitor,PTS,Home,PTS.1,Overtimes,Attend.,Arena,Winner,Home_team_win
10,Wed Oct 20 2021,9:00p,Oklahoma City Thunder,86,Utah Jazz,107,0,18306.0,Vivint Smart Home Arena,Utah Jazz,True
21,Fri Oct 22 2021,8:00p,Oklahoma City Thunder,91,Houston Rockets,124,0,15674.0,Toyota Center,Houston Rockets,True
37,Sun Oct 24 2021,7:00p,Philadelphia 76ers,115,Oklahoma City Thunder,103,0,14256.0,Paycom Center,Philadelphia 76ers,False
50,Tue Oct 26 2021,8:00p,Golden State Warriors,106,Oklahoma City Thunder,98,0,0.0,Paycom Center,Golden State Warriors,False
60,Wed Oct 27 2021,8:00p,Los Angeles Lakers,115,Oklahoma City Thunder,123,0,15783.0,Paycom Center,Oklahoma City Thunder,True
85,Sat Oct 30 2021,8:30p,Oklahoma City Thunder,82,Golden State Warriors,103,0,18064.0,Chase Center,Golden State Warriors,True
101,Mon Nov 1 2021,10:30p,Oklahoma City Thunder,94,Los Angeles Clippers,99,0,13722.0,Crypto.com Arena,Los Angeles Clippers,True
122,Thu Nov 4 2021,10:30p,Oklahoma City Thunder,107,Los Angeles Lakers,104,0,18997.0,Crypto.com Arena,Oklahoma City Thunder,False
143,Sun Nov 7 2021,7:00p,San Antonio Spurs,94,Oklahoma City Thunder,99,0,12972.0,Paycom Center,Oklahoma City Thunder,True
164,Wed Nov 10 2021,8:00p,Oklahoma City Thunder,108,New Orleans Pelicans,100,0,15355.0,Smoothie King Center,Oklahoma City Thunder,False
179,Fri Nov 12 2021,8:00p,Sacramento Kings,103,Oklahoma City Thunder,105,0,12881.0,Paycom Center,Oklahoma City Thunder,True
195,Sun Nov 14 2021,7:00p,Brooklyn Nets,120,Oklahoma City Thunder,96,0,15080.0,Paycom Center,Brooklyn Nets,False
206,Mon Nov 15 2021,8:00p,Miami Heat,103,Oklahoma City Thunder,90,0,12330.0,Paycom Center,Miami Heat,False
220,Wed Nov 17 2021,8:00p,Houston Rockets,89,Oklahoma City Thunder,101,0,12066.0,Paycom Center,Oklahoma City Thunder,True
233,Fri Nov 19 2021,8:00p,Oklahoma City Thunder,89,Milwaukee Bucks,96,0,17341.0,Fiserv Forum,Milwaukee Bucks,True
242,Sat Nov 20 2021,7:30p,Oklahoma City Thunder,105,Boston Celtics,111,0,19156.0,TD Garden,Boston Celtics,True
254,Mon Nov 22 2021,7:30p,Oklahoma City Thunder,101,Atlanta Hawks,113,0,15806.0,State Farm Arena,Atlanta Hawks,True
275,Wed Nov 24 2021,8:00p,Utah Jazz,110,Oklahoma City Thunder,104,0,14081.0,Paycom Center,Utah Jazz,False
285,Fri Nov 26 2021,8:00p,Washington Wizards,101,Oklahoma City Thunder,99,0,14579.0,Paycom Center,Washington Wizards,False
307,Mon Nov 29 2021,8:00p,Oklahoma City Thunder,89,Houston Rockets,102,0,12829.0,Toyota Center,Houston Rockets,True
325,Wed Dec 1 2021,8:00p,Houston Rockets,114,Oklahoma City Thunder,110,0,13222.0,Paycom Center,Houston Rockets,False
329,Thu Dec 2 2021,8:00p,Oklahoma City Thunder,79,Memphis Grizzlies,152,0,13103.0,FedEx Forum,Memphis Grizzlies,True
353,Mon Dec 6 2021,7:00p,Oklahoma City Thunder,114,Detroit Pistons,103,0,10522.0,Little Caesars Arena,Oklahoma City Thunder,False
370,Wed Dec 8 2021,7:30p,Oklahoma City Thunder,110,Toronto Raptors,109,0,19800.0,Scotiabank Arena,Oklahoma City Thunder,False
388,Fri Dec 10 2021,8:00p,Los Angeles Lakers,116,Oklahoma City Thunder,95,0,16523.0,Paycom Center,Los Angeles Lakers,False
399,Sun Dec 12 2021,7:00p,Dallas Mavericks,103,Oklahoma City Thunder,84,0,15747.0,Paycom Center,Dallas Mavericks,False
420,Wed Dec 15 2021,8:00p,New Orleans Pelicans,113,Oklahoma City Thunder,110,0,13253.0,Paycom Center,New Orleans Pelicans,False
442,Sat Dec 18 2021,8:00p,Los Angeles Clippers,103,Oklahoma City Thunder,104,0,15123.0,Paycom Center,Oklahoma City Thunder,True
453,Mon Dec 20 2021,8:00p,Oklahoma City Thunder,102,Memphis Grizzlies,99,0,15721.0,FedEx Forum,Oklahoma City Thunder,False
465,Wed Dec 22 2021,8:00p,Denver Nuggets,94,Oklahoma City Thunder,108,0,14932.0,Paycom Center,Oklahoma City Thunder,True
474,Thu Dec 23 2021,9:00p,Oklahoma City Thunder,101,Phoenix Suns,113,0,17071.0,Phoenix Suns Arena,Phoenix Suns,True
487,Sun Dec 26 2021,7:00p,New Orleans Pelicans,112,Oklahoma City Thunder,117,0,15608.0,Paycom Center,Oklahoma City Thunder,True
505,Tue Dec 28 2021,10:00p,Oklahoma City Thunder,111,Sacramento Kings,117,0,14750.0,Golden 1 Center,Sacramento Kings,True
511,Wed Dec 29 2021,9:00p,Oklahoma City Thunder,97,Phoenix Suns,115,0,17071.0,Phoenix Suns Arena,Phoenix Suns,True
524,Fri Dec 31 2021,8:00p,New York Knicks,80,Oklahoma City Thunder,95,0,16451.0,Paycom Center,Oklahoma City Thunder,True
538,Sun Jan 2 2022,7:00p,Dallas Mavericks,95,Oklahoma City Thunder,86,0,14751.0,Paycom Center,Dallas Mavericks,False
562,Wed Jan 5 2022,8:00p,Oklahoma City Thunder,90,Minnesota Timberwolves,98,0,14375.0,Target Center,Minnesota Timberwolves,True
575,Fri Jan 7 2022,8:00p,Minnesota Timberwolves,135,Oklahoma City Thunder,105,0,14874.0,Paycom Center,Minnesota Timberwolves,False
590,Sun Jan 9 2022,7:00p,Denver Nuggets,99,Oklahoma City Thunder,95,0,14772.0,Paycom Center,Denver Nuggets,False
602,Tue Jan 11 2022,7:00p,Oklahoma City Thunder,118,Washington Wizards,122,0,13985.0,Capital One Arena,Washington Wizards,True
620,Thu Jan 13 2022,8:30p,Oklahoma City Thunder,130,Brooklyn Nets,109,0,16964.0,Barclays Center,Oklahoma City Thunder,False
636,Sat Jan 15 2022,8:00p,Cleveland Cavaliers,107,Oklahoma City Thunder,102,0,15284.0,Paycom Center,Cleveland Cavaliers,False
654,Mon Jan 17 2022,8:30p,Oklahoma City Thunder,102,Dallas Mavericks,104,0,19266.0,American Airlines Center,Dallas Mavericks,True
667,Wed Jan 19 2022,8:30p,Oklahoma City Thunder,96,San Antonio Spurs,118,0,11848.0,AT&T Center,San Antonio Spurs,True
675,Fri Jan 21 2022,7:00p,Oklahoma City Thunder,98,Charlotte Hornets,121,0,15835.0,Spectrum Center,Charlotte Hornets,True
687,Sat Jan 22 2022,8:00p,Oklahoma City Thunder,87,Cleveland Cavaliers,94,0,19432.0,Rocket Mortgage Fieldhouse,Cleveland Cavaliers,True
702,Mon Jan 24 2022,8:00p,Chicago Bulls,111,Oklahoma City Thunder,110,0,14378.0,Paycom Center,Chicago Bulls,False
732,Fri Jan 28 2022,8:00p,Indiana Pacers,113,Oklahoma City Thunder,110,1,15106.0,Paycom Center,Indiana Pacers,False
757,Mon Jan 31 2022,8:00p,Portland Trail Blazers,81,Oklahoma City Thunder,98,0,13812.0,Paycom Center,Oklahoma City Thunder,True
770,Wed Feb 2 2022,8:30p,Oklahoma City Thunder,120,Dallas Mavericks,114,1,19200.0,American Airlines Center,Oklahoma City Thunder,False
788,Fri Feb 4 2022,10:00p,Oklahoma City Thunder,96,Portland Trail Blazers,93,0,15329.0,Moda Center,Oklahoma City Thunder,False
794,Sat Feb 5 2022,10:00p,Oklahoma City Thunder,103,Sacramento Kings,113,0,14097.0,Golden 1 Center,Sacramento Kings,True
806,Mon Feb 7 2022,8:00p,Golden State Warriors,110,Oklahoma City Thunder,98,0,17009.0,Paycom Center,Golden State Warriors,False
820,Wed Feb 9 2022,8:00p,Toronto Raptors,117,Oklahoma City Thunder,98,0,13858.0,Paycom Center,Toronto Raptors,False
833,Fri Feb 11 2022,7:00p,Oklahoma City Thunder,87,Philadelphia 76ers,100,0,20669.0,Wells Fargo Center,Philadelphia 76ers,True
844,Sat Feb 12 2022,8:00p,Oklahoma City Thunder,101,Chicago Bulls,106,0,20072.0,United Center,Chicago Bulls,True
853,Mon Feb 14 2022,7:30p,Oklahoma City Thunder,127,New York Knicks,123,1,18433.0,Madison Square Garden (IV),Oklahoma City Thunder,False
