,Unnamed: 0,Visitor,Home,PTSDF
0,0,BRK,MIL,23
1,1,GSW,LAL,-7
2,2,IND,CHO,1
3,3,CHI,DET,-6
4,4,BOS,NYK,4
5,5,WAS,TOR,-15
6,6,CLE,MEM,11
7,7,HOU,MIN,18
8,8,PHI,NOP,-20
9,9,ORL,SAS,26
10,10,OKC,UTA,21
11,11,SAC,POR,-3
12,12,DEN,PHO,-12
13,13,DAL,ATL,26
14,14,MIL,MIA,42
15,15,LAC,GSW,2
16,16,NYK,ORL,-25
17,17,IND,WAS,1
18,18,CHO,CLE,-11
19,19,TOR,BOS,-32
20,20,BRK,PHI,-5
21,21,OKC,HOU,33
22,22,NOP,CHI,16
23,23,SAS,DEN,6
24,24,PHO,LAL,-10
25,25,UTA,SAC,-9
26,26,ATL,CLE,6
27,27,MIA,IND,11
28,28,DAL,TOR,-8
29,29,DET,CHI,15
30,30,NOP,MIN,7
31,31,MIL,SAS,-10
32,32,PHO,POR,29
33,33,MEM,LAC,-6
34,34,CHO,BRK,-16
35,35,BOS,HOU,-10
36,36,ORL,NYK,-6
37,37,PHI,OKC,-12
38,38,GSW,SAC,-12
39,39,MEM,LAL,3
40,40,BOS,CHO,-11
41,41,MIL,IND,-10
42,42,CHI,TOR,-3
43,43,ORL,MIA,17
44,44,WAS,BRK,14
45,45,DET,ATL,18
46,46,NOP,MIN,-9
47,47,CLE,DEN,-12
48,48,POR,LAC,30
49,49,PHI,NYK,13
50,50,GSW,OKC,-8
51,51,LAL,SAS,-4
52,52,HOU,DAL,10
53,53,DEN,UTA,12
54,54,CHO,ORL,-9
55,55,WAS,BOS,-9
56,56,MIA,BRK,-13
57,57,IND,TOR,18
58,58,ATL,NOP,-3
59,59,MIN,MIL,-5
60,60,LAL,OKC,8
61,61,SAC,PHO,-3
62,62,MEM,POR,20
63,63,CLE,LAC,-13
64,64,ATL,WAS,11
65,65,DET,PHI,8
66,66,UTA,HOU,-31
67,67,NYK,CHI,-1
68,68,SAS,DAL,5
69,69,MEM,GSW,-3
70,70,ORL,TOR,1
71,71,CHO,MIA,15
72,72,IND,BRK,7
73,73,SAC,NOP,-4
74,74,DAL,DEN,31
75,75,LAC,POR,19
76,76,CLE,LAL,12
77,77,BOS,WAS,3
78,78,ORL,DET,7
79,79,NYK,NOP,-6
80,80,TOR,IND,-3
81,81,ATL,PHI,28
82,82,UTA,CHI,8
83,83,MIA,MEM,-26
84,84,SAS,MIL,-9
85,85,OKC,GSW,21
86,86,DEN,MIN,-2
87,87,CLE,PHO,9
88,88,SAC,DAL,6
89,89,POR,CHO,12
90,90,UTA,MIL,-12
91,91,DET,BRK,26
92,92,HOU,LAL,10
93,93,CLE,CHO,-3
94,94,SAS,IND,13
95,95,POR,PHI,10
96,96,WAS,ATL,7
97,97,CHI,BOS,-14
98,98,TOR,NYK,-9
99,99,DEN,MEM,9
100,100,ORL,MIN,-18
101,101,OKC,LAC,5
102,102,MIL,DET,-28
103,103,MIA,DAL,-15
104,104,SAC,UTA,6
105,105,NOP,PHO,12
106,106,HOU,LAL,2
107,107,POR,CLE,3
108,108,NYK,IND,13
109,109,BOS,ORL,-13
110,110,CHI,PHI,5
111,111,TOR,WAS,-9
112,112,ATL,BRK,9
113,113,DEN,MEM,2
114,114,LAC,MIN,-11
115,115,DAL,SAS,-1
116,116,CHO,GSW,22
117,117,NOP,SAC,13
118,118,PHI,DET,-11
119,119,UTA,ATL,-18
120,120,BOS,MIA,-17
121,121,HOU,PHO,12
122,122,OKC,LAL,-3
123,123,BRK,DET,-6
124,124,SAS,ORL,-13
125,125,MEM,WAS,28
126,126,NYK,MIL,-15
127,127,CLE,TOR,-1
128,128,LAC,MIN,-20
129,129,NOP,GSW,41
130,130,IND,POR,4
131,131,CHO,SAC,30
132,132,HOU,DEN,1
133,133,UTA,MIA,3
134,134,PHI,CHI,-9
135,135,BOS,DAL,3
136,136,ATL,PHO,4
137,137,LAL,POR,15
138,138,BRK,TOR,-13
139,139,CLE,NYK,-17
140,140,UTA,ORL,7
141,141,IND,SAC,-3
142,142,MIL,WAS,7
143,143,SAS,OKC,5
144,144,HOU,GSW,13
145,145,CHO,LAC,14
146,146,NYK,PHI,-7
147,147,BRK,CHI,23
148,148,MIN,MEM,7
149,149,NOP,DAL,16
150,150,MIA,DEN,17
151,151,ATL,GSW,14
152,152,PHO,SAC,-5
153,153,CHO,LAL,3
154,154,MIL,PHI,-9
155,155,ATL,UTA,12
156,156,POR,LAC,8
157,157,WAS,CLE,-3
158,158,BRK,ORL,-33
159,159,TOR,BOS,16
160,160,DET,HOU,-8
161,161,MIL,NYK,-12
162,162,DAL,CHI,10
163,163,CHO,MEM,-10
164,164,OKC,NOP,-8
165,165,SAC,SAS,19
166,166,IND,DEN,3
167,167,POR,PHO,10
168,168,MIN,GSW,13
169,169,MIA,LAL,3
170,170,TOR,PHI,-6
171,171,IND,UTA,-11
172,172,MIA,LAC,3
173,173,NYK,CHO,8
174,174,MIL,BOS,9
175,175,DET,CLE,20
176,176,POR,HOU,-12
177,177,PHO,MEM,-25
178,178,BRK,NOP,-8
179,179,SAC,OKC,2
180,180,DAL,SAS,-14
181,181,ATL,DEN,9
182,182,CHI,GSW,26
183,183,MIN,LAL,-24
184,184,MIA,UTA,-6
185,185,PHI,IND,5
186,186,MEM,NOP,11
187,187,WAS,ORL,-12
188,188,DET,TOR,-6
189,189,BOS,CLE,2
190,190,MIN,LAC,27
191,191,SAS,LAL,8
192,192,MIL,ATL,20
193,193,GSW,CHO,4
194,194,PHO,HOU,-26
195,195,BRK,OKC,-24
196,196,POR,DEN,29
197,197,CHI,LAC,-10
198,198,BOS,CLE,-6
199,199,SAC,DET,-22
200,200,NOP,WAS,5
201,201,ORL,ATL,18
202,202,IND,NYK,8
203,203,DEN,DAL,10
204,204,HOU,MEM,34
205,205,PHO,MIN,-3
206,206,MIA,OKC,-13
207,207,TOR,POR,5
208,208,CHI,LAL,-18
209,209,GSW,BRK,-18
210,210,PHI,UTA,35
211,211,SAS,LAC,14
212,212,WAS,CHO,10
213,213,IND,DET,8
214,214,BOS,ATL,11
215,215,CLE,BRK,10
216,216,NOP,MIA,15
217,217,LAL,MIL,7
218,218,ORL,NYK,-6
219,219,SAC,MIN,10
220,220,HOU,OKC,12
221,221,DAL,PHO,7
222,222,CHI,POR,5
223,223,GSW,CLE,-15
224,224,WAS,MIA,15
225,225,LAC,MEM,12
226,226,SAS,MIN,25
227,227,PHI,DEN,-14
228,228,TOR,UTA,16
229,229,IND,CHO,3
230,230,GSW,DET,-3
231,231,LAL,BOS,22
232,232,ORL,BRK,2
233,233,OKC,MIL,7
234,234,LAC,NOP,13
235,235,CHI,DEN,-6
236,236,DAL,PHO,8
237,237,TOR,SAC,-19
238,238,HOU,NYK,7
239,239,NOP,IND,17
240,240,MIA,WAS,3
241,241,CHO,ATL,10
242,242,OKC,BOS,6
243,243,ORL,MIL,9
244,244,MEM,MIN,43
245,245,PHI,POR,7
246,246,UTA,SAC,-18
247,247,DAL,LAC,6
248,248,LAL,DET,-5
249,249,NYK,CHI,6
250,250,DEN,PHO,29
251,251,TOR,GSW,15
252,252,BRK,CLE,-5
253,253,CHO,WAS,-6
254,254,OKC,ATL,12
255,255,HOU,BOS,18
256,256,IND,CHI,-32
257,257,ORL,MIL,31
258,258,MIN,NOP,-14
259,259,PHO,SAS,-4
260,260,MEM,UTA,-1
261,261,PHI,SAC,-8
262,262,MIA,DET,-8
263,263,LAL,NYK,6
264,264,DEN,POR,19
265,265,DAL,LAC,-8
266,266,PHO,CLE,-5
267,267,LAL,IND,-8
268,268,CHO,ORL,-7
269,269,BRK,BOS,-19
270,270,CHI,HOU,5
271,271,TOR,MEM,-13
272,272,DET,MIL,21
273,273,MIA,MIN,12
274,274,WAS,NOP,25
275,275,UTA,OKC,-6
276,276,ATL,SAS,-18
