,Date,Start (ET),Visitor,PTS,Home,PTS.1,Overtimes,Attend.,Arena,Winner,Home_team_win
0,Tue Oct 19 2021,7:30p,Brooklyn Nets,104,Milwaukee Bucks,127,0,17341.0,Fiserv Forum,Milwaukee Bucks,True
1,Tue Oct 19 2021,10:00p,Golden State Warriors,121,Los Angeles Lakers,114,0,18997.0,Crypto.com Arena,Golden State Warriors,False
2,Wed Oct 20 2021,7:00p,Indiana Pacers,122,Charlotte Hornets,123,0,15521.0,Spectrum Center,Charlotte Hornets,True
3,Wed Oct 20 2021,7:00p,Chicago Bulls,94,Detroit Pistons,88,0,20088.0,Little Caesars Arena,Chicago Bulls,False
4,Wed Oct 20 2021,7:30p,Boston Celtics,134,New York Knicks,138,2,19812.0,Madison Square Garden (IV),New York Knicks,True
5,Wed Oct 20 2021,7:30p,Washington Wizards,98,Toronto Raptors,83,0,19800.0,Scotiabank Arena,Washington Wizards,False
6,Wed Oct 20 2021,8:00p,Cleveland Cavaliers,121,Memphis Grizzlies,132,0,15975.0,FedEx Forum,Memphis Grizzlies,True
7,Wed Oct 20 2021,8:00p,Houston Rockets,106,Minnesota Timberwolves,124,0,16079.0,Target Center,Minnesota Timberwolves,True
8,Wed Oct 20 2021,8:00p,Philadelphia 76ers,117,New Orleans Pelicans,97,0,12845.0,Smoothie King Center,Philadelphia 76ers,False
9,Wed Oct 20 2021,8:30p,Orlando Magic,97,San Antonio Spurs,123,0,16697.0,AT&T Center,San Antonio Spurs,True
10,Wed Oct 20 2021,9:00p,Oklahoma City Thunder,86,Utah Jazz,107,0,18306.0,Vivint Smart Home Arena,Utah Jazz,True
11,Wed Oct 20 2021,10:00p,Sacramento Kings,124,Portland Trail Blazers,121,0,17467.0,Moda Center,Sacramento Kings,False
12,Wed Oct 20 2021,10:00p,Denver Nuggets,110,Phoenix Suns,98,0,16074.0,Phoenix Suns Arena,Denver Nuggets,False
13,Thu Oct 21 2021,7:30p,Dallas Mavericks,87,Atlanta Hawks,113,0,17162.0,State Farm Arena,Atlanta Hawks,True
14,Thu Oct 21 2021,8:00p,Milwaukee Bucks,95,Miami Heat,137,0,19600.0,FTX Arena,Miami Heat,True
15,Thu Oct 21 2021,10:00p,Los Angeles Clippers,113,Golden State Warriors,115,0,18064.0,Chase Center,Golden State Warriors,True
16,Fri Oct 22 2021,7:00p,New York Knicks,121,Orlando Magic,96,0,18846.0,Amway Center,New York Knicks,False
17,Fri Oct 22 2021,7:00p,Indiana Pacers,134,Washington Wizards,135,1,15407.0,Capital One Arena,Washington Wizards,True
18,Fri Oct 22 2021,7:00p,Charlotte Hornets,123,Cleveland Cavaliers,112,0,17116.0,Rocket Mortgage Fieldhouse,Charlotte Hornets,False
19,Fri Oct 22 2021,7:30p,Toronto Raptors,115,Boston Celtics,83,0,19156.0,TD Garden,Toronto Raptors,False
20,Fri Oct 22 2021,7:30p,Brooklyn Nets,114,Philadelphia 76ers,109,0,20367.0,Wells Fargo Center,Brooklyn Nets,False
21,Fri Oct 22 2021,8:00p,Oklahoma City Thunder,91,Houston Rockets,124,0,15674.0,Toyota Center,Houston Rockets,True
22,Fri Oct 22 2021,8:00p,New Orleans Pelicans,112,Chicago Bulls,128,0,20995.0,United Center,Chicago Bulls,True
23,Fri Oct 22 2021,9:00p,San Antonio Spurs,96,Denver Nuggets,102,0,19520.0,Ball Arena,Denver Nuggets,True
24,Fri Oct 22 2021,10:00p,Phoenix Suns,115,Los Angeles Lakers,105,0,18997.0,Crypto.com Arena,Phoenix Suns,False
25,Fri Oct 22 2021,10:00p,Utah Jazz,110,Sacramento Kings,101,0,17583.0,Golden 1 Center,Utah Jazz,False
26,Sat Oct 23 2021,6:00p,Atlanta Hawks,95,Cleveland Cavaliers,101,0,16846.0,Rocket Mortgage Fieldhouse,Cleveland Cavaliers,True
27,Sat Oct 23 2021,7:00p,Miami Heat,91,Indiana Pacers,102,1,17147.0,Gainbridge Fieldhouse,Indiana Pacers,True
28,Sat Oct 23 2021,7:30p,Dallas Mavericks,103,Toronto Raptors,95,0,19800.0,Scotiabank Arena,Dallas Mavericks,False
29,Sat Oct 23 2021,8:00p,Detroit Pistons,82,Chicago Bulls,97,0,18888.0,United Center,Chicago Bulls,True
30,Sat Oct 23 2021,8:00p,New Orleans Pelicans,89,Minnesota Timberwolves,96,0,15343.0,Target Center,Minnesota Timberwolves,True
31,Sat Oct 23 2021,8:30p,Milwaukee Bucks,121,San Antonio Spurs,111,0,14353.0,AT&T Center,Milwaukee Bucks,False
32,Sat Oct 23 2021,10:00p,Phoenix Suns,105,Portland Trail Blazers,134,0,18558.0,Moda Center,Portland Trail Blazers,True
33,Sat Oct 23 2021,10:30p,Memphis Grizzlies,120,Los Angeles Clippers,114,0,16748.0,Crypto.com Arena,Memphis Grizzlies,False
34,Sun Oct 24 2021,4:00p,Charlotte Hornets,111,Brooklyn Nets,95,0,17732.0,Barclays Center,Charlotte Hornets,False
35,Sun Oct 24 2021,7:00p,Boston Celtics,107,Houston Rockets,97,0,16069.0,Toyota Center,Boston Celtics,False
36,Sun Oct 24 2021,7:00p,Orlando Magic,110,New York Knicks,104,0,16273.0,Madison Square Garden (IV),Orlando Magic,False
37,Sun Oct 24 2021,7:00p,Philadelphia 76ers,115,Oklahoma City Thunder,103,0,14256.0,Paycom Center,Philadelphia 76ers,False
38,Sun Oct 24 2021,9:00p,Golden State Warriors,119,Sacramento Kings,107,0,13876.0,Golden 1 Center,Golden State Warriors,False
39,Sun Oct 24 2021,9:30p,Memphis Grizzlies,118,Los Angeles Lakers,121,0,18997.0,Crypto.com Arena,Los Angeles Lakers,True
40,Mon Oct 25 2021,7:00p,Boston Celtics,140,Charlotte Hornets,129,1,17238.0,Spectrum Center,Boston Celtics,False
41,Mon Oct 25 2021,7:00p,Milwaukee Bucks,119,Indiana Pacers,109,0,10339.0,Gainbridge Fieldhouse,Milwaukee Bucks,False
42,Mon Oct 25 2021,7:30p,Chicago Bulls,111,Toronto Raptors,108,0,19800.0,Scotiabank Arena,Chicago Bulls,False
43,Mon Oct 25 2021,7:30p,Orlando Magic,90,Miami Heat,107,0,19600.0,FTX Arena,Miami Heat,True
44,Mon Oct 25 2021,7:30p,Washington Wizards,90,Brooklyn Nets,104,0,14487.0,Barclays Center,Brooklyn Nets,True
45,Mon Oct 25 2021,7:30p,Detroit Pistons,104,Atlanta Hawks,122,0,14209.0,State Farm Arena,Atlanta Hawks,True
46,Mon Oct 25 2021,8:00p,New Orleans Pelicans,107,Minnesota Timberwolves,98,0,14435.0,Target Center,New Orleans Pelicans,False
47,Mon Oct 25 2021,9:00p,Cleveland Cavaliers,99,Denver Nuggets,87,0,14221.0,Ball Arena,Cleveland Cavaliers,False
48,Mon Oct 25 2021,10:30p,Portland Trail Blazers,86,Los Angeles Clippers,116,0,15672.0,Crypto.com Arena,Los Angeles Clippers,True
49,Tue Oct 26 2021,7:30p,Philadelphia 76ers,99,New York Knicks,112,0,15218.0,Madison Square Garden (IV),New York Knicks,True
50,Tue Oct 26 2021,8:00p,Golden State Warriors,106,Oklahoma City Thunder,98,0,0.0,Paycom Center,Golden State Warriors,False
